43:13:001:1	Jesus bídahooł'aahii dabikee' yá tánéígis
43:13:001:0	Atis'adeesdzá bee bééhániihii hodílzingo áłah ná'ádleehígíí t'ah bítséedi, díí nahasdzáán bikáá'dóó aTaa' bich'į' Jesus dah nízhdidoodáałgo baa hoolzhiizhígíí hoł bééhózingo, nahasdzáán bikáa'gi diné hwíí' danilíinii ayóó'ájó'nínígíí t'áá ayóó'ájó'níigo nihoolzhiizh. 
43:13:002:0	Áko i'íí'ą́ągo da'jiyą́ągo níłch'i bida'iiníziinii binanit'a'í, éí Júdas Iskáriyat, Sáíman biye', Jesus ninéididoo'áałgo t'áá íídą́ą́' bijéí biih hóóle', 
43:13:003:0	áko Jesus, éí aTaa' t'áá ałtsoní hálák'eidíí'ą́ągo áádóó Diyin God bits'ą́ą́dę́ę́' jiníyáago índa Diyin God bich'į' nízhdoodáałgo hoł bééhózin. 
43:13:004:0	Áko ajííyą́ą́'dóó nízhdii'na'go, ha'éé' akáa'giígíí hazhdii'nilii', bee ádít'oodí nízhdiiłtsoozgo éí bee áká dzíszas. 
43:13:005:0	Ákohgo bii' tá'ádígisí tó biih dzííziidgo, hódahooł'aahii bikee' táádabiz'niigiz, áádóó bee ádít'oodí bee áká dzíszaazii bee bikee' bá dajíít'óód. 
43:13:006:0	Nít'éé' Sáíman Peter baa hoolzhiizhgo áhodííniid, Bóhólníihii, da' niísh shikee' táádíígis lá? 
43:13:007:0	Jesus áhodííniid, Baa naasháhígíí k'ad doo nił bééhózin da, nidi át'ah índa nił bééhodoozįįł. 
43:13:008:0	Peter ánáázhdoo'niid, Ts'ídá doo shikee' táádíígis da. Jesus ánááhodoo'niid, Doo táániségizgóó, doo shídíínít'i' da doo. 
43:13:009:0	Sáíman Peter ánáázhdoo'niid, Bóhólníihii, doo t'áá shikee' t'éiyá da nidi shíla' índa shitsiits'iin ałdó' táádíígis! 
43:13:010:0	Áko Jesus ánááhodoo'niid, T'áá háiida tá'ázdeesgizígíí doo t'áá dzizį́į́ nít'éé' tá'ánáázdidoogis da, t'áá hazhó'ó hakee' t'éiyá, háálá t'áá dzizį́į́ nít'éé' doo hąąh chin da, áko chin nihąąh ádaadin, nidi doo t'áá ánółtso ákónóht'ée da. 
43:13:002:1	Jesus bik'ehgo dooleełígíí áyiilaa
43:13:011:0	Háálá nináhodidoo'áłígíí hoł bééhózin; éí biniinaa, Doo t'áá ánółtso chin nihąąh ádaadin da, jidííniid. 
43:13:012:0	Áko bikee' táádadzizgizdóó bik'ijį' ha'éé' biih nídzoodzá, áádóó názneezdáago ábizhdííniid, Da' nihá ásdzaaígíísh nihił béédahózin? 
43:13:013:0	Na'nitiní índa Bóhólníihii dashidohní, áko t'áá aaníígóó ádadohní, háálá éí nishłį́. 
43:13:014:0	Áko shí nihiBóhólníihii áádóó nihiNa'nitiní nishłį́įgo, nihikee' táádaségizgo, nihí ałdó' nihikee' ahá táádaahgis dooleeł. 
43:13:015:0	Háálá bik'ehgo dooleełígíí nihinááł áshłaa, nihá ásdzaaígíí nihí ałdó' t'áá éí bik'ehgóó ádaaht'į́į dooleeł. 
43:13:016:0	T'áá aaníí, t'áá aaníígóó ánihidishní, Naalte' éí binanit'a'í doo yiláahgo át'ée da; bi'deel'a'ígíí nidi biníł'a'ii doo yiláahgo át'ée da. 
43:13:017:0	Díidí nihił béédahózin ládą́ą́', baa naahkaigo nihił dahózhǫ́ǫ doo. 
43:13:018:0	Doo t'áá ánółtso ádanihidishníi da; bitahálá'ígíí éí shił bééhózin, nidi díí Diyin God bizaad bee ak'e'ashchínígíí bíni' t'áá ákót'éego bohodoolnííł,Diné shits'ą́ą́' ná'ádį́į́h nít'é'ígííłeezh shik'ijį' yiztał.  
43:13:019:0	Díí k'ad t'ah doo áhánééhdą́ą́' bee nihił hashne', ákódzaago, shí Christ ásht'į́įgo deidoohdląął. 
43:13:003:1	Jesus ninábidi'doot'áłígíí yaa hoolne'
43:13:020:0	T'áá aaníí, t'áá aaníígóó ánihidishní, T'áá háiida yíł'aadii bich'į' k'éznídzinígíí éí shich'į' k'éznídzin, índa t'áá háiida shich'į' k'éznídzinígíí éí shiníł'a'ii ałdó' bich'į' k'éznídzin.  
43:13:021:0	Kót'éego Jesus hadzoodzíi'go hwii' sizíinii nitseeltłahgo ázhdííniid, T'áá aaníí, t'áá aaníígóó ánihidishní, Nihí ła' nináshididooh'ááł. 
43:13:022:0	Áko hódahooł'aahii t'áá bił naaki danilį́įgo háí lá ááhyiłníí lá danízingo t'óó da'ahiníl'į́. 
43:13:023:0	Áko Jesus hódahooł'aahii ła', ayóó'ájó'nínígíí, hayid yíniiłtį́, 
43:13:024:0	áko Sáíman Peter éí nayé'ágizhgo ííłní, Háishą' baa yáníłti'? bidiní. 
43:13:025:0	Áko Jesus biyid bízhniitį́įgo ábizhdííniid, Bóhólníihii, háishą' ábidiní? 
43:13:026:0	Jesus ání, Éé'sé'ą́ągo baa deesh'áłígíí éí hó áhodishníi doo. Nít'éé' éé'dzíz'ą́ągo, Sáíman biye', Júdas Iskáriyat, baazhní'ą́. 
43:13:027:0	Áko éé'ást'ánígíí Júdas néidii'ą́ą́dóó bik'ijį', Séítan biih hóóle'. Áko Jesus áhodííniid, Baa nídinidzáhígíí, tsxį́įłgo ánílééh. 
43:13:028:0	Nidi bikáá' adání bich'į' nidzíiztánígíí biniinaa kót'éego bich'į' hadzoodzí'ígíí doo ła'da hoł bééhózin da. 
43:13:029:0	Ła' ádeizniizį́į́', Jesus éí Júdas béeso bizis nei'áhígíí biniinaa, Hodílzingo áłah adooleełgi chodeidoo'įįłígíí nahidííłnih, doodaii', Badahojoobá'íígíí t'áadoo le'é bitaa díínih, yiłní dazniizį́į́'. 
43:13:004:1	Bee haz'áanii ániidíii
43:13:030:0	Áko nít'éé' éé'ást'ánígíí nízhdii'ą́ągo ch'ízhníyá, nít'éé' tł'éé' hazlį́į́' lá. 
43:13:031:0	Ch'ízhníyáádóó bik'ijį' Jesus ádííniid, K'ad lą́ą, Diné Silį́į'ii ayóó át'éii jílį́įgo ííshją́ą́ ályaa, áádóó hó hwee Diyin God ayóó át'éii nilį́įgo ííshją́ą́ ályaa; 
43:13:032:0	hó hwee Diyin God ayóó át'éii nilį́įgo ííshją́ą́ ályaago, Diyin God ałdó' t'áá bí ayóó át'éii jílį́įgo ííshją́ą́ áhodoolííł, áko t'ahaa'go ákóhodoolííł. 
43:13:033:0	Sha'áłchíní, t'óó kónígháníjį' nihitaashá. Shíká danohtáa dooleeł, áko Jew dine'é bich'į' haasdzí'ígi át'éego k'ad ánihidishní, Déyáágóó doo dadohkááh át'ée da. 
43:13:034:0	Bee haz'áanii ániidíii nihaa dinish'aahgo ánihidishní, Ayóó'áda'ahíínóh'níi dooleeł; t'áá ayóó'ádanihíínísh'ní yę́ęgi át'éego, nihí ałdó' ayóó'áda'ahíínóh'ní. 
43:13:005:1	Peter éí Jesus doo bééhasin da bidizhdooniiłígíí t'áá bítséedi baa hane'
43:13:035:0	Ayóó'áda'ahíínóh'níigo shídahooł'aahii danohłį́įgo diné t'áá ałtso bił béédahózin doo. 
43:13:036:0	Nít'éé' Sáíman Peter áhodííniid, Bóhólníihii, háágóoshą' díníyá? Jesus ánááhodoo'niid, Déyáágóó k'ad doo shikéé' dóoya' át'ée da, nidi át'ah índa shikéé' yínáał doo. 
43:13:037:0	Áko Peter ánáádoo'niid, Bóhólníihii, ha'át'éegoshą' k'ad doo nikéé' dósha' át'ée da? Niniinaa dasétsą́ą nidi t'áá áko. 
43:13:038:0	Jesus ánááhodoo'niid, Da' shiniinaásh dadíítsaał? T'áá aaníí, t'áá aaníígóó ándishní, Naa'ahóóhai biką'í t'áadoo ániihí, táadi doo hwééhasin da náshidííní'niidgo índa ádidooniił.
