33:3:001:1	Ízrel dine'é bindanit'a'í bi'deesteh
33:3:001:0	Áádóó ádíshní , Da'íísółts'ą́ą́' , Jéíkab dine'é bá nisoozíinii , Ízrel dine'é binanit'a'í danohłíinii , ánihidishní , Doo haada yit'éii nihił béédahózin doo nít'éé' .
33:3:002:0	Yá'ádaat'éehii deijoołáii áádóó t'áá íiyisí doo yá'áshóonii ayóó'ádayó'níinii danohłíinii , diné bikágí bik'i dahołdlaad índa bits'in bąąhdóó bitsį' nahjį' adahołdlaad ;
33:3:003:0	shidine'é bitsį' ałdó' daołghał áádóó dabikágí bik'i dahołdlaad índa dabits'in nidahohtį́įhgo dahołne' ; atsį' doobish biniyé bee abézhí biih yi'nilígi át'éego ádaoł'į́ .
33:3:004:0	Áko índa Bóhólníihii yich'į' daacha doo , nidi doo hach'į' ééhodoosįįł da , ákwii nahalzhiishgo binii' hats'ąą neinił'in doo , háálá t'áá íiyisí doo yá'áshǫ́ǫ́góó ádajoonííł .
33:3:005:0	Shidine'é ádił da'asiihgo ádayiilaii hódadéét'i'go Bóhólníihii kóní , Biwoo' yee da'a'aałgo ádaaní , K'é danohdzin áádóó doo bida'iisánígíí t'óó yik'ijį' anaa' ádeił'į́ .
33:3:006:0	Éí bąą nihił daatł'ée'go doo nihił ádahat'į́į da doo , índa nihił daatł'ée' doo , áko doo álílee k'ehgo nida'ídółkid da doo áádóó áhodooníiłii yaa dahalne'ii doo bá oo'áał da doo índa jínígíí chahałheeł dooleeł .
33:3:007:0	Áko áhodooníiłii yaa dahalne'ii ádaa yádadínóodzįįł áádóó álílee k'ehgo nida'ídíłkidii t'óó bił dahodooląął ; t'áá aaníí , t'áá ádzíłtso hazéé' dádazhdidoolnih , háálá Diyin God doo hach'į' hadoodzih da .
33:3:008:0	Nidi Jéíkab dine'é bee haz'áanii dayiizti'ii , t'áá éí Ízrel dine'é yee ádił da'asziihii bee bich'į' hadeesdzihgo biniyé t'áá aaníí Bóhólníihii biníłch'i áádóó bibee adziilii áádóó doo haada yit'éii índa bee ayóó ó'óodziilii shii' hadeezbin .
33:3:009:0	Jéíkab dine'é bá aląąjį' nisoozíinii , t'áá éí Ízrel dine'é binanit'a'í danohłíinii , éí doo haada yit'éii dajiinohłáii áádóó aheełt'éego baa nitsáhákeesii t'áá ałtso áts'ą́ąjį' kódaoł'íinii , díí deísółts'ą́ą́' , nihidishní .
33:3:010:0	Záíyan kin haal'áii éí dił bee dahołbį' índa Jerúsalem kin haal'áii éí doo ákwii é'ét'éii bee dahołbį' .
33:3:011:0	Aląąjį' naazíinii éí nályééh dayókeedgo nidahwii'aah áádóó nááda'iiłniihii éí adeenáago t'éí nida'ntin índa áhodooníiłii yaa dahalne'ii éí álílee k'ehgo na'ídíkid yee béeso dayókeed , ákondi Bóhólníihii yaa dadzólí nidahalingo ádaaní , Bóhólníihii nihitah hólǫ́ , áko t'áá íiyisí doo yá'áshóonii doo nihik'i hwiidooleeł da .
33:3:012:0	Éí bąą niniinaa Záíyan dá'ák'eh bi ł nihwiildlaadígi át'éego bił nihwidiyooldlał ; Jerúsalem éí bik'i dahooyolgo yáádaalk'id dooleeł , Diyin God bikin bii' sohodizin bił haz'ánígi dził éí tsin bee hodíłch'ilgi ninádahałaah doo biniyé wódah nahaz'ą́ągo ádaalyaaígíí nahalin dooleeł .
