33:5:001:1	Béthlehemdóó hananit'a'í hodooleełgo bee nihoot'ą́
33:5:001:0	Siláo dah yikahii bitsi' nílíinii , nidine'é ał'ąą dah naazhjaa'go ídadi'doolnííł , háálá nihináshzhiizhgo nihik'ijį' nídiildzil , áko Ízrel dine'é bá hoo'áałii hał yee biniitsį' nídeididoołhał .
33:5:002:0	Nidi nihí , Béthlehem Éfratahdóó dine'é danohłíinii , azhą́ Júdah dine'é miil yilt'éego bitahgi ánółch'į́į́dí nidi , nihits'ą́ą́dóó Ízrel dine'é binanit'a'í éí t'áá ałk'idą́ą́' hool'áádę́ę́' naagháii shá ch'ídoogááł .
33:5:003:0	Éí bąą awéé' bí'nahii ashchį́įjį' nahjį' nihodidoo'ááł , áádóó bik'isóó daadzíi'ii Ízrel dine'é yich'į' t'ą́ą́' kónéidoodlííł .
33:5:004:0	Áádóó Bóhólníihii bibee adziilii índa biDiyin God bízhi' aláahdi át'éii yee sizį́įgo bidibé yi'iisą́ągo atah kéédahat'į́į doo , háálá k'ad éí nahasdzáán nidanees'ą́ąjį' ayóó át'éii nilį́į doo .
33:5:005:0	Díí diné éí k'é nilį́į doo . Asíriya nihikéyahjį' adahakáahgo índa nihinanit'a'í dabighan yik'i nihidiikaigo dibé yaa ádahalyáanii tsosts'id yilt'éego índa naat'áanii tseebílt'éego bił hach'į' nídidiikah .
33:5:006:0	Áko Asíriya kéyah áádóó Nímrad kéyah bich'į' yah ada'iiztiinígíí diltłish yee deidoołchxǫǫł , ákót'éego nihikéyah góne' íínáago áádóó nihináhásdzooígíí yii' tádadikáahgo Asíriya dine'é bits'ą́ąjį' háánihidoo'nił .
33:5:007:0	Jéíkab dine'é yidziihígíí éí dadine'é t'óó ahayóí bitahgi Bóhólníihii bits'ą́ą́dę́ę́' dahtoo' nahalin doo , índa tł'oh bik'i ni'dizhołígíí éí diné índa náás da'ahílchíihii doo yiba' át'ée da nahalin doo .
33:5:008:0	Náshdóítsoh bitsiijį' ditł'ooígíí tsintahdóó naaldlooshii yitaaghá nahalingo áádóó náshdóí yáázh éí dibé yitaagháhígi át'éego Jéíkab dine'é yidziihígíí doo Jew dine'é danilíinii lą'í bitahgi yitaadaakai doo . Éí yitahgóó yigáałgo yik'i nidoogaał índa niidiyoonishgo doo ła'da yisdábidoołtéeł da .
33:5:009:0	Nihíla' bee nihi'ana'í nilíinii bik'eh dadohdlį́ índa nihits'ą́ą́jí nilíinii ałtso ádooldįįł .
33:5:010:0	Éí bijį́įdi nihitahdóó danihilį́į́' bee nida'abaahii índa nihitsindaabąąs bijáád naakiígíí ádeeshdįįł , ní Bóhólníihii .
33:5:011:0	Áádóó nihikéyahdóó kin hadaas'áii nahjį' kódadeeshłííł índa niłdzilgo bine' na'adzi' bił nahaz'áanii ałtso naa'ahideeshtł'ił .
33:5:012:0	Bee idanohdzinii nahjį' kódeeshłíiłgo doo t'áá bąąh dah shoojée' da doo , áko álílee k'ehgo nida'ídíłkidii ádin doo ;
33:5:013:0	eda'alyaii nihee hólóonii índa nihitahgi eda'alyaii naazíinii ádeeshdįįł , áko t'áá nihí ádaohłaii doo bich'į' nináádahohłáa da doo .
33:5:014:0	Áádóó nihitahgi tsin naazkaadii bich'į' nidahohłáii hahideeshts'ǫł , ákót'éego nihikin hadaas'áii ádeeshdįįł .
33:5:015:0	Áádóó ał'ąą dine'é doo ádahozdiilts'a'ii hach'į' sháhodoochįįłgo áádóó hashké dínéesdzįįłgo k'ééhodideeshdlííł .
