33:6:001:1	Bóhólníihii éí Ízrel dine'é yił ałghada'dit'ááh
33:6:001:0	K'ad Bóhólníihii ánínígíí deísółts'ą́ą́' : Nídoohjeeh , dził daní'áii bidááhdóó aghada'dooht'ááh , dah daask'idii bíni'dii nihiinéé' deidiits'į́į́h .
33:6:002:0	Dził danohłíinii áádóó nihí bidziilgo nahasdzáán bee niłdzilii danohłíinii , Bóhólníihii agha'dit'áahgo deísółts'ą́ą́' , háálá Bóhólníihii bidine'é yił ałghada'dit'ááh índa Ízrel dine'é yik'i hodidoo'ááł .
33:6:003:0	Shidine'é nohłíinii , haa lá nihiishłaa ? Ha'át'íísh bee nihíni' yiił'a' ? Bee doo ákǫ́ǫ́ ánísht'éii bee shił dahołne' .
33:6:004:0	Jó , Ííjip kéyahdę́ę́' naalte' danohłį́į́ nít'éé' yę́ędóó nihik'é niná'níshdláago háánihíí'eezh ; Mózes áádóó Éran índa Míriyam nihilą́ąjį' adasíł' a' .
33:6:002:1	Bóhólníihii haa dajít'ée doo , hó'ní
33:6:005:0	Shidine'é nohłíinii , Mó'ab dine'é aláahgo binanit'a'í Béílak yinahazgizii áádóó Bíyor biye' Béílam hach'į' t'ą́ą́' yee hanáádzíi'ii índa Shíttim haz'ánídóó Gílgal kin haal'áajį' áhoodzaii béédaałniih , áko Bóhólníihii bit'áá ákogi át'éii nihił béédahodoozįįł .
33:6:006:0	Ha'át'íísh yishłéełgo Bóhólníihii áádóó Diyin God aláahgo át'éii bidááhdóó nideesháałgo bich'į' yaa ádeeshnííł ? Da' béégashii yáázh ła' binááhaií didlidgo nááháshniihgoósh bidááhdę́ę́' nideeshááł ?
33:6:007:0	Da' deenásts'aa' daamííl bíighahgoósh , doodaii' ak'ah éí neeznáadi mííl tooh danílį́ bíighahgoósh Bóhólníihii bił hóshǫ́ǫ doo ? Da' alą́ąjį' shá yizhchíiniísh éí ádił ni'iisíihii bik'é nááhidoonihgo ninádideesh'ááł ? Da' shits'íís bineest'ą'ásh éí shii' sizíinii ádił ni'iisíihii bik'é nááhidoonihgo ninádideesh'ááł ?
33:6:008:0	Diné nílíinii , yá'át'éehii nich'į' yit'íní ályaa , áko Bóhólníihii éí haa nít'ée doo , nó'ní : Éí t'áá ákogi ááníił doo áádóó ajooba' ayóó'ííní'níi doo índa a' ohgo ánít'éego niDiyin God bił yí'ash doo .
33:6:009:0	Bóhólníihii éí kin haal'áii yich'į' chánahgo biinéé' diits'a' áádóó diné éí nízhi' yidósingo hóyą́ ; tsihał índa éí niinítáanii bik'eh dahonoł'į́ .
33:6:010:0	Doo yá'ádaashóonii bee yódí shódaozt'e'ii índa ina'adlo'go bee ha'iikaahí éí doo yildinii t'ahdiísh diné doo yá'ádaashóonii bighan góne' hólǫ́ ?
33:6:011:0	Bee dah nídiidlohí doo yá'áshóonii índa dah na'alo'ii bina'adlo'go azis bii' sinilii t'áá bee dahólǫ́ǫgoósh doo ádaat'éhígóó bá hadeesdzih ?
33:6:012:0	Jó , diné da'at'íinii éí ádílááh bii' daahééł áádóó yił kéédahat'íinii éí wooch'ííd ádeił'į́ índa na'adlo' yee yádaałti' .
33:6:013:0	Éí bąą atídanihishłéhígíí ałdó' bik'ee nihitah doo dahats'íid da doo , índa ádił nida'ayohsííh biniinaa nihinaagi doo siláhígóó ádeeshłííł .
33:6:014:0	Da'ooyą́ą' nidi , doo hwiih dadohłeeł da áádóó t'áá dichin danihiiłhée doo áádóó t'áadoo le'é hasht'e'nidasooláa nidi , doo áá dasoohsįįd da doo índa hasht'e'nidasooláhígíí diltłish bee nihighadadoolyééł .
33:6:015:0	K'idadi'dohłéeł nidi , doo da'doohhish da áádóó áliv bineest'ą' bik'i nidoohkahgo bik'ah bąąh hadahidoohnihgo doo bee adadidoołtłah da índa ch'il na'atł'o'ii bik'i nidoohkah , nidi wáin doo dadoohdlį́įł da .
33:6:016:0	Háálá Ámri yee nihwiiz'áanii áádóó Éíhab bighandóó baa na'aldeehii kót'éego daaníinii bida'oł'į́įgo bik'eh dayínóhkááh ; éí bąą kints'iil t'éiyágo ándeeshłííł índa nii' kéédahat'íinii nihída'diłts'ǫǫsgo ádeeshłííł ; kót'éego shidine'é nohłíinii bee á nahat'i'ii bił deínóhkáah doo .
