20:26:001:1	Similitudes , Instructions
20:26:001:0	Like snow in summer and like rain in harvest , So honor is not fitting for a fool .
20:26:002:0	Like a sparrow in its flitting , like a swallow in its flying , So a curse without cause does not alight .
20:26:003:0	A whip is for the horse , a bridle for the donkey , And a rod for the back of fools .
20:26:004:0	Do not answer a fool according to his folly , Or you will also be like him .
20:26:005:0	Answer a fool as his folly deserves , That he not be wise in his own eyes .
20:26:006:0	He cuts off his own feet and drinks violenceWho sends a message by the hand of a fool .
20:26:007:0	Like the legs which are useless to the lame , So is a proverb in the mouth of fools .
20:26:008:0	Like one who binds a stone in a sling , So is he who gives honor to a fool .
20:26:009:0	Like a thorn which falls into the hand of a drunkard , So is a proverb in the mouth of fools .
20:26:010:0	Like an archer who wounds everyone , So is he who hires a fool or who hires those who pass by .
20:26:011:0	Like a dog that returns to its vomitIs a fool who repeats his folly .
20:26:012:0	Do you see a man wise in his own eyes ? There is more hope for a fool than for him .
20:26:013:0	The sluggard says , “ There is a lion in the road ! A lion is in the open square ! ”
20:26:014:0	As the door turns on its hinges , So does the sluggard on his bed .
20:26:015:0	The sluggard buries his hand in the dish ; He is weary of bringing it to his mouth again .
20:26:016:0	The sluggard is wiser in his own eyesThan seven men who can give a discreet answer .
20:26:017:0	Like one who takes a dog by the earsIs he who passes by and meddles with strife not belonging to him .
20:26:018:0	Like a madman who throwsFirebrands , arrows and death ,
20:26:019:0	So is the man who deceives his neighbor , And says , “ Was I not joking ? ”
20:26:020:0	For lack of wood the fire goes out , And where there is no whisperer , contention quiets down .
20:26:021:0	Like charcoal to hot embers and wood to fire , So is a contentious man to kindle strife .
20:26:022:0	The words of a whisperer are like dainty morsels , And they go down into the innermost parts of the body .
20:26:023:0	Like an earthen vessel overlaid with silver drossAre burning lips and a wicked heart .
20:26:024:0	He who hates disguises it with his lips , But he lays up deceit in his heart .
20:26:025:0	When he speaks graciously , do not believe him , For there are seven abominations in his heart .
20:26:026:0	Though his hatred covers itself with guile , His wickedness will be revealed before the assembly .
20:26:027:0	He who digs a pit will fall into it , And he who rolls a stone , it will come back on him .
20:26:028:0	A lying tongue hates those it crushes , And a flattering mouth works ruin .
