24:37:001:1	Jeremáíyah yah abi'doolt'e'
24:37:001:0	Bábilan dine'é aláahgo binanit'a'í Nébukadnézzar éí Jiihóíyakim biye' Konáíyah éí Júdah dine'é aláahgo binanit'a'í áyiilaii bitsásk'ehgi Josáíyah biye' Zedekáíyah nant'áá nít'éé' .
24:37:002:0	Nidi bí áádóó bá nidaal'a'í índa bikéyah bikáá'góó diné kéédahat'íinii Diyin God yá halne'ii Jeremáíyah éí Bóhólníihii bizaad yee yá yáłti'go t'áadoo deidiizts'ą́ą' da .
24:37:003:0	Ákondi aláahgo naat'áanii Zedekáíyah éí Shelemáíyah biye' Jiihókal áádóó Méíyasíyah biye' , náá'iiłniihii nilíinii Zefanáíyah éí Diyin God yá halne'ii Jeremáíyah yich'į' ayííł'a'go kóní , NihiDiyin God Bóhólníihii bich'į' nihá sodílzin .
24:37:004:0	Áko Jeremáíyah éí t'ah doo yah abi'dilt'e'góó diné yitaaghá .
24:37:005:0	Íídą́ą́' Kaldíya dine'é bisiláo Jerúsalem kin haal'á yináshzhiizh yę́ędą́ą́' Féro bisiláo Ííjip kéyahdę́ę́' ch'ínínánígíí yaa dahodiizts'ą́ą'go Jerúsalem yits'áníná .
24:37:006:0	Ákohgo Bóhólníihii éí Diyin God yá halne'ii Jeremáíyah yich'į' hanáánáádzíi'go kóní ,
24:37:007:0	Ízrel dine'é biDiyin God Bóhólníihii kóní , Júdah dine'é aláahgo binanit'a'í nashídíłkidgo shich'į' nííł'aadígíí kóbididííniił , Féro bisiláo nihíká adoojah biniyé nihaa nínáhígíí Ííjip kéyahgóó dah nídidoo'nééł , jó'akon .
24:37:008:0	Áádóó Kaldíya dine'é nídoo'néełgo díí kin haal'áhígíí deidoołnéełgo yidahodidoonił áádóó ałtso adeididoołk'ą́ą́ł .
24:37:009:0	Bóhólníihii kóní , Kaldíya dine'é doo kojį' náádadoo'néeł da , dadohníigo t'áadoo ádinda'ohdlo'í . Áádę́ę́' yee' náádoo'nééł .
24:37:010:0	Azhą́ Kaldíya dine'é bisiláo t'áá yíl'áá nít'éé' nihił da'ahigą́ągo bik'eh dadoohdlį́į' nidi , índa diné t'ááłá'í nítínígo tídaalyaaígíí níbaal yii' naazhjée' nidi , nídidoojahgo kin haal'áhígíí yidahodidooniłgo adeididoołk'ą́ą́ł , jó'akon .
24:37:011:0	Ákohgo aadę́ę́' Féro bisiláo yinéełgo Kaldíya dine'é bisiláo nídaasdzíidgo Jerúsalem yits'ánínáago
24:37:012:0	Jeremáíyah éí Bénjamin bikéyahdi diné bitahdóó baa deet'ánígíí shóidoołt'eeł yiniyé ákǫ́ǫ́ dah diiyá .
24:37:013:0	Áádóó Bénjamin bidáń'dítį́hídi jiníyáago Hananáíyah biye' Shelemáíyah biye' Airáíjah éí siláo binanit'a'í nilį́įgo ákwii dáádéesdáá lá , áko éí Diyin God yá halne'ii Jeremáíyah yisiłgo ííłní , Kaldíya dine'é bich'į' yóó'anilyeedgo ánít'į́į́ lá !
24:37:014:0	Áádóó Jeremáíyah ádííniid , Eii doo ákót'ée da . Kaldíya dine'é doo bich'į' yóó'iishyeed da . Nidi Airáíjah doo t'áá k'ad hodiizts'ą́ą' da , nidi hasiłgo naat'áanii danilíinii yidááhdóó nihonílóóz .
24:37:002:1	Zedekáíyah éí Jeremáíyah yí'dííkeed
24:37:015:0	Áko naat'áanii danilíinii éí Jeremáíyah yich'į' bádahazhchįįd , áádóó nídahoneesxaalgo naaltsoos ííł'íní Jánathan bighan góne' awáalyaa áhoolyaa góne' yah adahast'e' .
24:37:016:0	Jeremáíyah éí ná'ayaaí góyaa yah aho'doolt'e'go ákwii lą'í hwiiską́ągo
24:37:017:0	aláahgo naat'áanii Zedekáíyah háká i'ííł'a' áádóó baazhníyáago bił yah ajííyá . Aláahgo naat'áanii t'áá nahont'inee bighan góne' nahódééłkidgo áhodííniid , Bóhólníihiiísh bits'ą́ą́dę́ę́' ła' hane' nááhódlǫ́ ? Jeremáíyah ání , Ła' hólǫ́ , áko ání , Ni Bábilan dine'é aláahgo binanit'a'í baa nidi'doot'ááł .
24:37:018:0	Áádóó ałdó' Jeremáíyah éí aláahgo naat'áanii Zedekáíyah áyidííniid , Haash niishłaago índa ná nidaal'a'í áádóó díí dine'é haash yishłaago biniinaa yah ashííníłt'e' ?
24:37:019:0	Bábilan dine'é aláahgo binanit'a'í doo naatįįh doobah da , índa díí kéyah doo yaatįįh doobah da , daniłníigo nił dahalne'ii éíshą' háájí adahaaskai ?
24:37:020:0	Aláahgo shinanit'a'í nílíinii , baa nánooshkąąh , shidiits'į́į́h . T'óó shaa hojoobá'ígo nánooshkąąhígíí t'áadoo bits'ąą nanít'áhí ; naaltsoos ííł'íní Jánathan bighandi doo dadeestsaałígíí biniyé ákǫ́ǫ́ doo anáshidííł'aał da .
24:37:021:0	Áko aláahgo naat'áanii Zedekáíyah haadzíi'go Jeremáíyah éí awáalyaa bich'éédą́ą'gi hadá'deelkaal áádóó ákwii kin haal'áagi bááh ásdįįdjį' bááh ál'į́įgo atiindóó t'áá ákwíí jį́ bááh t'ááłá'í haa nát'ááh nít'éé' . Áko Jeremáíyah t'áá ákwii awáalyaa bich'éédą́ą'gi dzizdá .
