24:40:001:1	Jeremáíyah áádóó Gedaláíyah yił diné daadzíi'ii
24:40:001:0	Siláo binanit'a'í Nébuzar'éídan éí Jerúsalem kin haal'áádóó áádóó Júdah kéyahdóó deisnáanii Bábilan kéyahgóó adeineeskaadgo Nébuzar'éídan éí Jeremáíyah béésh da'ahólzha'í bąąh sinilgo bił ooldah yę́ę éí Réímah kin haal'áádóó yéidííchidóó bik'ijį' Bóhólníihii kót'éego bich'į' haadzíí' .
24:40:002:0	Siláo binanit'a'í éí Jeremáíyah yił nídiit'áazhgo ííłní , NiDiyin God Bóhólníihii kwe'é haz'ánígíí doo yá'át'ééhgóó yá haadzíí' .
24:40:003:0	Bóhólníihii át'į́ ; yee haadzí'ígi át'éego yi'iilaa . Bóhólníihii bich'į' ádił da'soohsiih áádóó áníinii doo bik'eh dahosooł'įįdígíí biniinaa kónihi'diilyaa .
24:40:004:0	Díí jį́ k'ad béésh da'ahólzha'í nílátsíín binázt'i'go bee ne'estł'óonii nąąh niná'diish'níiłgo néédíshchííd , jó'akon . Bábilan kéyahgóó shił díí'ashígíí nił yá'át'éehgo , tį' , áádóó yá'át'éehgo nik'idíínísh'į́į' doo , nidi Bábilangóó shił díí'ashígíí doo nił aaníígóogo t'áá kǫ́ǫ́ naniná . Jó , nidááhgóó t'áá náhwiist'ą́ą́ nít'éé' . Haa'í shį́į́ kéyah t'áá nił yá'áhoot'éeh dooleełgi náhodii'aahgo ákǫ́ǫ́ dínááh .
24:40:005:0	Ákohgo t'ah doo nát'ą́ą́' nihééjídááhgóó Nébuzar'éídan áháłní , Shéífan biye' Aháíkam biye' Gedaláíyah éí Júdah kéyahdi kin hadaas'áhígíí yinant'áa doo biniyé Bábilan dine'é aláahgo binanit'a'í nibiníłtíinii éí Gedaláíyah bich'į' nídídáahgo bił diné bitahgi kééhót'į́ ; éí doodaii' , t'áá nił yá'áhoot'éhígóó dínáahgo ákwii kééhót'į́ . Áko siláo binanit'a'í éí ch'iyáán áádóó béeso ła' hainínilgo ho'níłnii' .
24:40:006:0	Áko índa Jeremáíyah dah diiyáago Mízpah kin haal'áagi Aháíkam biye' Gedaláíyah yaa níyáago kéyahgi diné daadziihígíí t'áá ákǫ́ǫ́ kéédahat'íinii bitahgi yił kééhat'į́į́ nít'éé' .
24:40:007:0	Íídą́ą́' da'níłts'ą́ą́'góó diné dah naazhjaa'ígíí yindant'áhígíí t'áá ałtso t'áá bił Bábilan dine'é aláahgo binanit'a'í éí Aháíkam biye' Gedaláíyah kéyahgi nant'áago áyiilaago diné áádóó asdzání índa áłchíní kéyahgi t'áá íiyisí badahojoobá'íii Bábilan kéyahgóó t'áadoo anoolkaadii yinant'áa doo biniyé yeidiní'ą́ągo dayíínii' .
24:40:008:0	Nethanáíyah biye' Íshmeiyel áádóó Karíyah biye'ké Johéínan áádóó Jánathan áádóó Tanhúmeth biye' Siiréíyah áádóó Niitófa kin shijaa'dę́ę́' Íífai biye'ké áádóó Méíyakahdę́ę́' diné léi' biye' Jezanáíyah bí áádóó bidine'é yił Mízpah kin haal'áadi Gedaláíyah yaa yíkai .
24:40:009:0	Áádóó Shéífan biye' Aháíkam biye' Gedaláíyah hach'į' ádee haadzíi'go kóní , Kaldíya dine'é bá nidaał'a'go t'áadoo bik'ee nihił daayé'í ; t'áá kǫ́ǫ́ kéédahoht'į́įgo Bábilan dine'é aláahgo binanit'a'í bá nidaał'a' , áko nihá yá'át'éeh doo .
24:40:010:0	Nidi shí éiyá Kaldíya dine'é nihaa nínánígíí bá choosh'į́į doo biniyé t'áá Mízpahdi kééhasht'į́į doo , jó'akon , nidi nihí éí wáin áádóó shį́įgo tsin bineest'ą'ígíí índa ak'ah ádá shónídaołt'eehgo bii' hééł áńda'ooł'įįhii bee ninádaoh'nił doo , áádóó kin hadaas'áago ádaa dadooht'ánígíí ákǫ́ǫ́ kéédahoht'į́ .
