24:23:001:1	Daadziihígíí t'ą́ą́' nináhaaskai
24:23:001:0	Dibé baa ádahojilyáanii shikéyah hootsogi dibé naakaígíí atídajííł'įįd áádóó tadazhnooskaadii éí doo hojooba' ájíníi da , ní Bóhólníihii .
24:23:002:0	Éí bąą diné bá nidzizį́įgo nidazhnitinii éí Ízrel dine'é biDiyin God Bóhólníihii hak'ijį' nilį́įgo kwáháłní , Shidibé hazhó'ó naakai yę́ę nihaa tadaozhjéé' , áádóó da'níłts'ą́ą'gi nihaa adahaaswod , áádóó doo bik'i dasídóo'į́į' da nít'éé' . Shoo , doo yá'át'éhígi ádaohdzaaígíí biniinaa atínihideeshłííł , ní Bóhólníihii .
24:23:003:0	Áádóó da'níłts'ą́ą'gi kédaayahgóó shidibé adahinéłkaadii éí daadziihígíí áádę́ę́' nináhidínéeshkałgo t'ááłáhíjį' áłah áńdeeshdlííł , áádóó ba'áłchíní nínááhodoodleełgo k'ee'ąą náánoot'į́įł doo .
24:23:004:0	Áko diné bik'i dadéez'į́į'ii baa ádahalyą́ą dooleeł biniyé nideeshnił . Éí hada'ałtso' doo , áádóó doo nínáádadzildzid da doo , áádóó doo hąąh náádahaka' da doo , índa t'áadoo bídin dajílíní da doo , ní Bóhólníihii .
24:23:005:0	Bóhólníihii ání , Jó , bich'į' yoołkááł , David bidine'é ahoolchíiłii éí bits'ą́ą́dóó t'áá ákogi át'éego ats'áoz' a' ła' hadínóoséełgo yidootsoh ; éí aláahgo naat'áanii nilį́įgo hóyą́ągo nant'áa doo . Kéyah t'áá náhwiist'ą́ą́ nít'éé' doo haada yit'éégóó áádóó t'áá ákogi át'éego ááníił doo .
24:23:006:0	Éí bíyoołkáałdi Júdah dine'é áádóó Ízrel dine'é yisdádoo'nił , áádóó bi'ana'í danilíinii doo baa nídaat'į́į́góó kééhat'į́į doo . Bóhólníihii bee t'áá ákogi ádaniit'éii , díí yízhíhígíí bee bi'dójíi doo .
24:23:007:0	Bóhólníihii ání , Éí bąą bich'į' yoołkááł , jó'akon , Bóhólníihii éí Ízrel dine'é Ííjip kéyahdę́ę́' ch'íiní'eezhii hiná , doo nááhá'níi da doo .
24:23:002:1	Halne'ii ádahodil'íinii bik'ijį' yáti'
24:23:008:0	Nidi , Náhookǫsdi kéyahdę́ę́' Ízrel dine'é ch'íiní'eezhii índa kédaayahgóó tainooskaadii t'áá át'é áádę́ę́' Ízrel dine'é nináyiizh'eezhii Bóhólníihii hiná , ha'níi doo . Áko t'áá bí bikéyahgi kééhat'į́į doo .
24:23:009:0	Áhodoonííł yaa dahalne'ii biniinaa yínííł nishłį́įgo atínídinishdleeh , áádóó shitah nahwiiłná . Bóhólníihii áádóó bizaad diyinii biniinaa diné éí wáin bik'eh deesdlį́'ígi át'éego shił honeezdo nahonishłin .
24:23:010:0	Háálá kéyah bikáá'góó adilyé t'éí nihinéést'e' . Hóyée'go ha'oodzí'ígíí biniinaa kéyah yínííł nilį́įgo atínídindleeh . Dahonoojíígóó dahootsoígíí nídááltseigo daazgan . Doo yá'át'ééhgóó dahiná , áádóó yee dabidziilii doo ákǫ́ǫ́ ádaat'ée da .
24:23:011:0	Háálá áhodoonííł yaa dahalne'ii éí nááda'iiłniihii bi łgo doo yá'ádajíshǫ́ǫ da . T'áá aaníí , shikin bii' sohodizin bii' doo yá'ádajíshǫ́ǫ́góó shił bééhoozin , ní Bóhólníihii .
24:23:012:0	Éí bąą yildahgóó éí chahałheełgi atiin hwíídéeltǫ' nahalingo bee bá adahwiizt'i' doo . Áko éí hwíídéeltǫ'go da'nítiinjį' adahodí'nóolkałgo atídahodoolííł , háálá atíhodeeshłíiłgo yihah góne' doo yá'áshǫ' haa dideesh'ááł , ní Bóhólníihii .
24:23:013:0	Samériya kéyahdóó áhodoonííł yaa dahalne'ii doo hóshkał yaa nidaakaigo yiiłtsą́ . Béíyal diyin bidi'níinii yinahjį' dahoolne'go shidine'é da'asiihgo ádayiilaa .
24:23:014:0	Nidi Jerúsalem kin haal'áagi áhodoonííł yaa dahalne'ii t'óó baa'ihii yaa naakaigo yiiłtsą́ : dadilé áádóó dabiyooch'íidgo dahiná índa doo yá'át'ééh ádaaníiłii dabidziilgo ádeile' , áko ła'da doo yá'áshóonii yaa naagháhígíí doo yits'ágháah da . Éí t'áá ałtso Sádamgi diné kéédahat'į́į́ nít'éé' yę́ę nahalingo áádóó ákwii kéédahat'ínígíí éí Gomárahgi diné kéédahat'į́į́ nít'éé' yę́ę nahalingo baa nitsídaaskees .
