24:20:001:1	Jeremáíyah yah ajííłt'e'go biniinaa Pásher t'óó báhádzidgo há ha'oodzíí'
24:20:001:0	Áko Ímer biye' Pásher náá'iiłniihii nilíinii éí Bóhólníihii bikin bii' sohodizin si'ą́ągi alą́ąjį' naat'áanii ałdó' nilį́ . Éí Jeremáíyah díí Diyin God yá yaa hoolne'go yiyíínii' .
24:20:002:0	Ákohgo Pásher éí Diyin God yá halne'ii Jeremáíyah yił dzideesxaalgo Bóhólníihii bikin bii' sohodizin si'ánígíí bíighahgóó dáń'dítį́įhgo dego yaa'áhígíí Bénjamin bee wójíhígíí ákwii hála' áádóó hakee' t'áá ałch'ijí tsin hąąh sinilgo áhoolaa .
24:20:003:0	Biiskání Pásher éí Jeremáíyah tsin hąąh sinil nít'é'ídóó haa néidii'nilgo hwéidííchid , áko Jeremáíyah ábíłní , Bóhólníihii éí doo Pásher yee nózhíi da , nidi Méígor-mísabib yinílyée doo , niłní .
24:20:004:0	Háálá Bóhólníihii kóní , Jó , ádééníldzidgo ándeeshłííł , áádóó nik'isóó danilíinii t'áá ałtso néédaaldzid doo . Áádóó hwe'ana'í danilíinii diltłish yee nidahodoołtsiłgo t'áá ni yidííłtsééł . Áádóó Júdah dine'é ts'ídá t'áá ałtso Bábilan dine'é aláahgo binanit'a'í baa hodideesh'ááł , áádóó Bábilan kéyah góne' hoł adínóodah ; áadi diltłish yee nidahodoołtsił .
24:20:005:0	Áádóó díí kin haal'áádóó hanaalye'é t'áá át'é áádóó hanaanish ádajiilaii t'áá át'é índa da'ílíinii hwee dahólóonii t'áá át'é áádóó Júdah dine'é aláahgo bindanit'a'í dajílíinii hanaalye'é t'áá át'é hoda'ana'í baa dideesh'ááł ; éí hanaalye'é t'áá át'é haghadeidiyoo'niłgo Bábilangóó adeidiyooyééł .
24:20:002:1	Jeremáíyah éí Bóhólníihii yich'į' saad hółǫ́
24:20:006:0	Áádóó ni , Pásher , índa nighan góne' nił kééhat'íinii t'áá ałtso nihidi'doolnéełgo Bábilangóó doohkah , áko áadi dadíítsaałgo ni lá áádóó nik'isóó t'áá ałtso wooch'ííd bee bił dahwíínílne'ii t'áá bił yóó'ándi'doolnííł .
24:20:007:0	Bóhólníihii nílíinii , shinisínílo' , áko t'áá íiyisí shi'deesdlo' . Shilááh ánóodziil , áádóó shik'eh dínídlį́į́' . T'áá ákwíí jį́ shá nahat'i' ; diné t'ááłá'í nítínígo shá nidahałt'i' .
24:20:008:0	Háálá yáshti' baa nídiisdzáádóó nidishghaash ; nidishghaashgo doo ts'ííd ánihi'didoolníił da áádóó ałtso ánihi'didooldįįł , dishní , háálá Bóhólníihii bizaad biniinaa shá bíighah shá nidahałt'i'go shaa nídiikai , áádóó shąąh nidayiiłhaał .
24:20:009:0	Ákohgo doo haa nááhodeeshnih da , índa házhi' binahjį' doo nááhodeeshnih da , dííniidgo hazaad éí shijéí bii'di hólǫ́ǫgo shits'in bii'di kǫ' nahalingo bidá'deelkaal , áádóó ch'ééh bił t'ą́ą́' sétį́įgo bąąh niníyá . Áko Diyin God bizaad doo bee yáshti' da dooleeł nisingo ch'ééh ááł'įįd .
24:20:010:0	Diné t'óó ahayóí ałjeeh nídanilniihgo ahił dahalne' . T'áá ałtsodę́ę'go shił dahółyée'go yádaałti' . Shik'isóó bił ahéédahasinii t'áá ałtso ádił adeesihígíí yiniyé shaa nidahaakaigo t'áá doodahígo shá hadahadziihgo ádaaní , Haa'íyee' t'áá doodahígo bá hadadiidzih ; binda'diidlohgo da'át'é . Ákódzaago hak'eh dadidiidleełgo k'éédahodidiilnííł .
24:20:011:0	Nidi Bóhólníihii ayóó ábóodziilii bik'e'íyé'ígi át'éego shił hólǫ́ . Éí bąą atídashijił'íinii ádił dazdoosih , áádóó doo shik'eh dazhdidoodleeł da . T'áadoo adih ádadziidzaaígíí biniinaa t'óó baa yádaznízin doo . Hool'áágóó ádił tsétah da'dziztł'ónígíí éí ts'ídá doo baa hodiyoo'nah da .
24:20:012:0	Nidi t'áá ałtsoní bee Bóhólníihii nílíinii , t'áá ákogi ádaat'éii bééhózingo ádanile'ii , áádóó diné bíni' áádóó bijéí yee yaa nitsídaakeesii yíní'íinii , bíni'dii k'éébidídléehgo yideestsééł , háálá diné bił ałch'į' nidaasdzilígíí báá'dééłtsooz .
24:20:013:0	Bóhólníihii bich'į' dahohtaał , Bóhólníihii baa dahohniih , háálá diné bii' sizíinii bahojoobá'íii diné doo yá'ádaashóonii bits'ą́ą́dóó yisdéíníłtį́ .
24:20:014:0	Shi'dizhchį́ bijį́į́dą́ą́' éí hóyée'go bá ha'ódziih . Shimá shishchį́ yę́ędą́ą́' éí bijínígíí t'áadoo bik'ihojidlíhí .
24:20:015:0	Shizhé'é yił hoolne'go , Ashkii ná yizhchį́ , yiłníigo yił hóóshǫǫd yę́ę éí diné hóyée'go bá ha'ódziih .
24:20:016:0	Áádóó Bóhólníihii éí doo bąąh bíni'góó t'áadoo łahgo át'éego yąąh tsíndeezkéézgóó kin hadaas'áágóó atíyiilaa yę́ęgi át'éego éí diné ákóbi'dólne' . Áko háni'dii abínígo diwosh háá'áhígíí áádóó ałné'é'áahgo anaa' bik'ee diwosh háá'á ,
24:20:017:0	háálá t'óó shi'dizhchį́ yę́ędą́ą́' t'áadoo shiisxį́į da , éí doodaii' shimá biishch'id bii'di dasétsą́ągo shimá bii' shijishcháa' doo nít'éé' , áko hool'áágóó shee bibid nitsaa doo nít'éé' .
24:20:018:0	Áko ha'át'íí lá biniyé shi'dizhchį́įgo naanish áádóó yínííł bénáshááh índa yáhásin bii'góó shíyoołkááł ?
