24:19:001:1	Ásaa' sits'ilii binahjį' na'nitinii
24:19:001:0	Bóhólníihii kóní , Nílááh , ásaa' ííł'íní hashtł'ish ásaa' bee tó naat'áhí áyiilaaígíí ła' nídii'aah , áádóó diné bitahdóó hastóí daazlį́į'ii nídiinííł , índa nááda'iiłniihii bitahdóó hastóí daazlį́į'ii nídiinííł ,
24:19:002:0	áádóó Dáń'dítį́į́h Ásaats'iil wolyéii éí bíighahgóó yíldzis Hínam biye' bíhígíí ákǫ́ǫ́ dínáahgo áadi saad bee nił hodeeshnihígíí bee yádííłtihgo
24:19:003:0	ádidííniił , Júdah dine'é aláahgo bindanit'a'í danohłíinii índa Jerúsalem kin haal'áagi kéédahoht'íinii , Bóhólníihii bizaad dadoohts'į́į́h . Ízrel dine'é biDiyin God t'áá ałtsoní bee Bóhólníihii kóní , Shoo , díí kwe'é haz'ánígi doo yá'áshónígi áhodooníiłgo ádeeshłííł , áko éí t'áá ałtso deidiits'a'ii bijaa' daawozh doo .
24:19:004:0	Jó , yóó'adashideez'ą́ , áádóó díí haz'ánígi doo bééhózingóó ádayiilaa , índa bí lá áádóó dabizhé'é yę́ę áádóó Júdah dine'é aláahgo bindanit'a'í éí diyin dabidi'níinii doo bił béédahózinii yich'į' tsin bijeeh dilidgo łikání halchinii deidiłid nít' éé' , áádóó diné t'áadoo ádidahodiilt'i'ii nideistseedgo dabidił díí haz'ą́ągi naashchii'go ádayiilaa
24:19:005:0	índa dabiye'ké éí Béíyal yich'į' náádayiiłniihgo deidiłid dooleeł biniyé ałdó' Béíyal bá ninádahałaah doo biniyé wódah nahaz'ą́ągo yá ádahoolaa . Ákódaoht'į́į dooleeł , t'áadoo bidííniid da áádóó t'áadoo bee bich'į' yéíłti' da índa t'áadoo nidi bik'ítsídíłkéez da .
24:19:006:0	Éí bąą díí kwe'é haz'ánígi doo Tófet nááhoolyée da dooleeł , índa yíldzis Hínam biye' bíhígíí doo nááhoolyée da dooleeł , nidi yíldzisgi diné naaztseed hoolyée dooleeł , jó'akon , ní Bóhólníihii .
24:19:007:0	Áádóó díí haz'ą́ągi Júdahdóó índa Jerúsalemdóó kót'éego daanínígíí ádingo ádeeshłííł , áádóó diltłish bee nidaho'ditseedgo índa hazéé' nidei'áhígíí nidahałtseedgo ádahodeeshłííł , índa dahats'íís daneeznáanii éí tsídii wódahdi nidaat'a'ii índa nihokáá'góó naaldlooshii dabich'iyą' dooleeł biniyé baa dideesh'ááł .
24:19:008:0	Díí kin haal'áagi dahodeeshzhago áhodeeshłíiłgo naałniih ał'ąą áát'eełii hááłnii'ígíí biniinaa diné díí haz'ánígíí nídayiiltséehgo bik'ee t'óó bił adahayóigo , Tłehee yéi' , daaníigo yą́ą́h nídadikah doo .
24:19:009:0	Áádóó hwe'ana'í honáshzhiizhgo bik'ee nitsijikaigo ádahoolaago índa hazéé' nidei'áhígíí hach'į' nidahwiiłnáago haye'ké áádóó hatsi'ké dabits'íís dahodiyeesį́į́ł índa kwá'ásiní dajó' níinii dabits'íís nídazhdoolghał .
24:19:010:0	Áko índa tó bee naat'áhí éí diné nił yíkaígíí binááł dííłts'ił ,
24:19:011:0	áádóó ábididííniił , T'áá ałtsoní bee Bóhólníihii kóní , Ásaa' ííł'íní éí tó bee naat'áhí hashtł'ish yee áyiilaii ła'da yists'ilgo doo hasht'enáólne'ígi át'éego t'áá ákót'éego díí dine'é áádóó díí kin haal'áhígíí dideeshtah índa Tófetgi yóó'áda'alne' doo , háálá łahgóó doo nááhást'ą́ą da .
24:19:012:0	Díí haz'ánígi índa ákwii kééhojit'ínígíí t'áá bił ts'ídá díigi át'éego áhodeeshłííł , áko díí kin haal'áhígíí t'áá Tófetgi át'éego áhodeeshłííł .
24:19:013:0	Áádóó Jerúsalemgi kin yíl'áhígíí índa Júdah dine'é aláahgo bindanit'a'í bikin naaznilígíí éí Tófet haz'ą́ągi hóóchǫ'ígi át'éego dadoochǫǫł , háálá dahakin t'áá át'é bighą́ą́'dóó wót'ááh hiníláii t'áá át'é bich'į' tsin bijeeh dilidgo łikání halchinii dazhdííłid áádóó diyin dabidi'níinii bich'į' yanáadzi'go náádahaaznii'ii yadaadziid .
24:19:014:0	Áko índa Jeremáíyah éí Tófetdi Diyin God bizaad baa hozhdoolnih biniyé ákǫ́ǫ́ Bóhólníihii ahóół'a' yę́ę áádę́ę́' nídzídzá . Áádóó Bóhólníihii bikin bii' sohodizin binaa haz'ánígi ákwii yiizį'go diné t'áá ałtso áyidííniid ,
24:19:015:0	Ízrel dine'é biDiyin God t'áá ałtsoní bee Bóhólníihii kóní , Jó , díí kin haal'áagi áádóó bik'i dinaago kin t'áá áłch'į́į́dígo dah naazhjaa'ígíí éí t'áá ałtso bik'ijį' doo yá'áshónígi áhodoonííł , dishníigo bee haasdzíi'ii éí k'ad bik'ijį' kóshłééh , háálá doo nihóda'didzilgóó shizaad doo daznízingóó doo t'áá k'ad dazdiizts'ą́ą' da .
