24:44:001:1	Ííjip kéyahdi Jeremáíyah éí Jew dine'é náás áhodooníłígíí yee yił hoolne'
24:44:001:0	Ííjip kéyahdi Jew dine'é t'áá ałtso kéédahat'íinii éí Mígdal nahós'a'di áádóó Tahápaniiz kin haal'áadi áádóó Naf kin haal'áadi índa Páthras nahós'a'di kéédahat'íinii éí Jeremáíyah bich'į' kót'éego baa ha'oodzíí' .
24:44:002:0	Ízrel dine'é biDiyin God t'áá ałtsoní bee Bóhólníihii kóní , Jerúsalem kin haal'áagi índa Júdah kéyahgi kin hadaas'áhígíí atídaashłaa yę́ę t'áá át'é daołtsą́ , áko díí jį́įdi kin yę́ę ahiih nídahaasdááz áádóó ákwii diné doo ła' kééhat'į́į da , jó'akon .
24:44:003:0	Háálá diyin dabidi'níinii t'áadoo béédahonohsinii áádóó bí índa danihizhé'é yę́ę t'áadoo yéédahósinii éí yich'į' nidahasá índa didlidgo nááhániihii náádajiiłniihgo doo yá'áshóonii baa nidziskaígíí biniinaa shá dahojííłchįįd .
24:44:004:0	Nidi shá dahalne'go shá nidaal'a'í dashíínéelą́ą'di nihich'į' ninádaséł'a' kódíshníigo , Díí jooshłxáii doo yíníshdinii t'áadoo baa nidaahkaí .
24:44:005:0	Nidi t'áadoo daz'diizts'ą́ą' da ; diyin dabidi'níinii bich'į' didlidgo nááhániihii náádajiiłniihii índa doo yá'áshóonii baa jookahígíí t'áadoo bits'ádadziiskai da .
24:44:006:0	Éí bąą Júdahgi kin hadaas'áágóó índa Jerúsalemgi t'óó báhádzidgo bee até'ésh'íinii áádóó sháhóóchįįdígíí bee hodiiltłahgo dahóóchxǫ' , áko díí jį́įdi kints'iil t'éí dah naazhjaa' .
24:44:007:0	Éí bąą k'ad , Ízrel dine'é biDiyin God t'áá ałtsoní bee Bóhólníihii kóní , Ha'át'íí lá biniyé díí doo yá'áshóonii ayóó át'éii bee atí'adadołnéehgo Júdah dine'é bitahdóó diné áádóó asdzání áádóó áłchíní índa awééchí'í ádadoołdįįłgo doo ła' dadoohdzih da ?
24:44:008:0	Jó , Ííjip góyaa oonáago áadi tádadohnééh índa tsin bijeeh dilidgo łikání halchinii diyin dabidi'níinii bich'į' náádahołniihgo nihíla' bee baa nidaohkaígíí bik'ee shádahoshoołchįįd , áko ánihidi'dooldįįł áádóó hóyée'go nihá ha'doodzih índa nihokáá'góó ał'ąą dine'é bitahgóó t'óó nihá nidahałt'i' dooleeł .
24:44:009:0	Danihizhé'é yę́ę doo yá'áshónígi ádáát'įįdii índa Júdah dine'é aláahgo bindanit'a'í doo yá'áshónígi ádáát'įįdii índa bida'asdzą́ą́ doo yá'áshónígi ádáát'įįdii áádóó t'áá nihí doo yá'áshónígi ádaot'įįdii índa Júdah kéyahdi áádóó Jerúsalemgi kintaa da'aztiingóó niheda'asdzą́ą́ doo yá'áshónígi ádáát'įįdiísh baa deisoonah ?
24:44:010:0	Nidi díí jį́įjį' t'ah doo ádaa dahojoolbá'í ída'dilnéeh da índa shibee haz'áanii áádóó bee nihoní'áanii nihaa diní'áanii índa danihitaa' baa diní'áanii doo deidósin da nít'éé' áádóó t'áadoo yik'ehgo deíkai da .
24:44:011:0	Éí bąą Ízrel dine'é biDiyin God t'áá ałtsoní bee Bóhólníihii kóní , Nihich'į' nihodiyeeshnaał áádóó Júdah dine'é t'áá ałtso áhodeeshdįįł biniyé nihik'ijį' deeshłeeł , jó'akon .
24:44:012:0	Júdah dine'é daadziihígíí Ííjip kéyah góyaa dii'néełgo áadi kéédahwiit'į́į doo danízinígíí nahjį' kóhodeeshłííł , áko éí Ííjip kéyahdi dazhdínóonééł ; diltłish bee nidahodi'dootsił áádóó dichin dahodooghą́ą́ł ; a'oh ádaat'éédóó ayóó ádaat'éejį' diltłish bee dazhdínóonééł índa dichin nidahodoołtsił ; dabi'dódziihii áádóó bik'ee t'óó ił adahayóii áádóó doo yá'áshǫ́ǫ́góó bá yáti'ii índa t'óó bá nahat'i'ii dazhdooleeł .
24:44:013:0	Jerúsalem atéshłaaígíigi át'éego Ííjip kéyahgi kéédahat'ínígíí diltłish bee áádóó dichin bee índa naałniih bee atídeeshłííł .
24:44:014:0	Áko Júdah dine'é daadzí'ígíí Ííjip kéyahdi kéédahat'į́į dooleeł biniyé ákóyaa adahaaznáanii áádóó Júdah kéyahgóó nídadii'néełgo t'áá áadi kéédahwiit'į́į doo , danízingo yídin danilíinii éí doo ła' yisdázhdoogáał da índa doo ła' jidoodzih da , háálá doo ła' nízhdoodáał da , t'áá hazhó'ó t'áá díkwíí yisdáhastł'áhígíí éí t'éí doodzih .
24:44:015:0	Ákohgo diné éí be'asdzą́ą́ danilíinii diyin dabidi'níinii yich'į' didlidgo nááhániihii náádayiiłniihgo bił béédahózinii t'áá ałtso áádóó asdzání ákǫ́ǫ́ naazíinii t'áá ałtso índa Ííjip kéyahgi Páthras nahós'a'gi diné kéédahat'íinii t'áá ałtso ayóó ánéelą́ą'go áłah silį́į'go Jeremáíyah yich'į' hadaasdzíi'go kódaaní ,
24:44:016:0	Bóhólníihii bízhi' binahjį' saad bee nihich'į' háínídzí' ígíí doo deisíníilts'ą́ą' da doo .
24:44:017:0	Nidi t'áá aaníí saad t'ááłá'í ní'ánígo bee hadahaadzíi'ii bida'diilnííł ; t'áá nihí índa danihizhé'é yę́ę áádóó aláahgo nihindant'áii índa nihinanit'a'í danilį́į́ nít'éé' yę́ę Júdah kéyahgi kin hadaas'áágóó áádóó Jerúsalemgi kintah da'nítiingóó didlidgo nááhániihii áádóó yanáadzi'go nááhániihii éí wót'ááhdę́ę́' asdzą́ą́ naat'ááh bidi'níinii bich'į' náádahiilnii'ii t'áá ákót'éego náádahiilniih doo ; íídą́ą́' t'éiyá nihich'iyą' bee áda'azįįd nít'éé' índa doo nihąąh daatéeh da nít'éé' índa doo nihich'į' nidahwii'náa da nít'éé' .
24:44:018:0	Nidi didlidgo nááhániihii éí wót'ááhdę́ę́' asdzą́ą́ naat'ááh bidi'níinii doo bich'į' náádahiilniih da índa yanáadzi'go nááhániihii doo bá yáádeiidzi' da dasiidlį́į́'dóó té'é'į́ biih niidee' áádóó diltłish bee índa dichin bee ánihidi'niildįįd .
24:44:019:0	Wót'ááhdę́ę́' asdzą́ą́ naat'ááh bidi'níinii bich'į' didlidgo nááhániihii nínádahiilniih yę́ędą́ą́' áádóó yanáadzi'go nááhániihii bá yáádeiidzi' yę́ędą́ą́' ts'ídá nihahastiin nihídaóltą'go ázhnoolninígíí bik'ehgo bááh yázhí ándeiil'įįhgo bee bich'į' nidahwiidláá nít'éé' áádóó yanáadzi'go nááhániihii bá yáádeiidzi' nít'éé' .
24:44:020:0	Ákohgo Jeremáíyah éí hastóí índa sáanii éí diné t'áá ałtso t'áá ákót'éego hach'į' hadahaasdzí'ígíí ábizhdííniid ,
24:44:021:0	Júdah kéyahgi kin hadaas'áágóó índa Jerúsalemgi kintaa da'aztiingóó nihí áádóó danihizhé'é yę́ę índa aláahgo nihindant'áii áádóó nihinanit'a'í danilį́į́ nít'éé' yę́ę índa diné nihikéyah yii' kéédahat'ínígíí tsin bijeeh dilidgo łikání halchinii náádayiisnii'ii éí Bóhólníihii ts'ídá yénálniihgo yaa nitsíkees .
24:44:022:0	Doo yá'áshǫ' ádaohdzaaígíí índa doo yildinígi ádaoht'įįdígíí biniinaa Bóhólníihii doo asohyidoos'įįd da ; éí bąą díí jį́įdi nihikéyah áhoot'éhígi áhoot'é : kints'iil t'éí hadaas'á áádóó bik'ee t'óó ił adahayóí áádóó doo yá'áshǫ́ǫ́góó bá yádaati' índa doo nidaagháhí da .
24:44:023:0	Didlidgo nááhániihii náádahisoołnii'ígíí biniinaa Bóhólníihii bich'į' ádił nida'ayohsí'ígíí áádóó Bóhólníihii ánínígíí t'áadoo bik'eh dahosooł'įįdígíí áádóó bibee haz'áanii áádóó yee nihwiiz'áanii índa yee hahaasdzíi'ii t' áadoo bik'eh danohkaígíí biniinaa kót'éego díí jį́įdi nihił áhoot'éhígi át'éego doo yá'áshónígi ánihi'diilyaa .
24:44:024:0	Áko Jeremáíyah éí diné t'áá ałtso índa sáanii t'áá ałtso áyidííniid , Júdah dine'é danohłíinii , t'áá ánółtso Ííjip kéyahgi kéédahoht'íinii , Bóhólníihii áníinii deísínółts'ą́ą́' :
24:44:025:0	Ízrel dine'é biDiyin God t'áá ałtsoní bee Bóhólníihii kónihiłní , Nihí áádóó niheda'asdzą́ą́ bił hadasoohdzíi'go índa nihíla' bee bida'ohłaago kódadohní , Bee ádee hadasiidzíi'ii éí ts'ídá bida'diilnííł ; wót'ááhdę́ę́' asdzą́ą́ naat'ááh bidi'níinii bich'į' didlidgo nááhániihii náádahiilniih doo áádóó yanáadzi'go nááhániihii bá yáádeiidzi' doo . Nihílááhánee' bee ádee hadasoohdzíi'ii lą́ da'soohłį́į'go ts'ídá bida'ohłééh .
24:44:026:0	Éí bąą Júdah dine'é Ííjip kéyahgi kééhoht'íinii , t'áá ánółtso Bóhólníihii ánihiłníinii deísółts'ą́ą́' . Bóhólníihii ání , Shízhi' ayóó át'éii bee ádee hadeesdzíi'go Júdah dine'é Ííjip kéyah t'áá át'éé nít'éé' kéédahojit'ínígíí éí , Ts'ídá t'áá aaníí Bóhólníihii hiná , ákót'éego áhodoonííł ; doo ła' náázhdidoo'niiłgo bee hanáázdoodzih da , jó'akon .
24:44:027:0	Yá'át'éehii éí doo biniyé hahasíid da doo , nidi doo yá'áshǫ' hach'į' áhodooníłígíí biniyé hahasíid doo ; Ííjip kéyahgi Júdah dine'é kéédahojit'ínígíí t'áá ádzíłtso ałtso ádzísdįįdjį' diltłish áádóó dichin bee hodi'doogą́ą́ł .
24:44:028:0	Nidi diltłish bits'ąą yóó'ádahidínóochéłígíí éí Ííjip kéyahdę́ę́' hááhidoolwołgo Júdah kéyah yiih náhidookahígíí t'áá díkwílt'éhí doo ; áadi índa Júdah dine'é daadziihígíí ádaaníinii daats'í , doodaii' shí ádíshníinii daats'í bohodoolníiłgo hoł béédahodoozįįł .
24:44:029:0	Bóhólníihii ání , Doo yá'áshónígi ánihi'didoolnííł , dííniidii bohodoolníiłgo nihił béédahózin dooleeł biniyé kwe'é atínihideeshłíłígíí díí bee nihich'į' ééhózin doo :
24:44:030:0	Bóhólníihii kóní , Júdah dine'é aláahgo binanit'a'í Zedekáíyah bi'ana'í bidiyoołhéełgo hát'íinii Bábilan dine'é aláahgo binanit'a'í Nébukadnézzar bílák'ee hodíí'ą́ yę́ęgi át'éego Ííjip dine'é aláahgo binanit'a'í Féro-hófra éí bi'ana'í danilíinii índa dabidiyoołhéełgo hádaat'íinii baa hodideesh'ááł .
