24:11:001:1	Aha'deet'ą́ k'éti'
24:11:001:0	Bóhólníihii éí Jeremáíyah yich'į' hanáánáádzíi'go kóní ,
24:11:002:0	Díí bee aha'deet'áanii saad diits'į́įhgo Júdah dine'é áádóó Jerúsalem kin haal'áagi kéédahat'íinii bich'į' bee handziih ,
24:11:003:0	áádóó ábididííniił , Ízrel dine'é biDiyin God Bóhólníihii nilíinii kóní , Díí bee aha'deet'áanii saad doo bik'eh hojíł'íinii hóyée'go há ha'oodzíí' ,
24:11:004:0	Ííjip kéyahdę́ę́' éí béésh bii' déédíljahí bii'dę́ę́' danihizhé'é yę́ę ch'íní'eezh yę́ędą́ą́' bee bich'į' haasdzíi'go ádíshní , Bee nihich'į' hahasdziihígíí t'áá át'é bida'oł'į́įgo bik'eh dahonoł'į́ , áko índa shidine'é nohłį́į doo , áádóó nihiDiyin God nishłį́į doo .
24:11:005:0	Áko díí jį́įdi át'éhígíigi át'éego danihizhé'é yę́ę kéyahgi abe' áádóó tsés'ná bitł'izh bee áda'azįįdígíí nihaa dideesh'ááł , dishníigo bee bich'į' ádee hadeesdzíí' . Áko ádííniid , T'áá ákót'ée le' , Bóhólníihii nílíinii .
24:11:006:0	Áádóó Bóhólníihii áshidííniid , Júdah kéyahgi kin hadaas'áágóó índa Jerúsalem kin haal'áagi kintaa da'aztiingóó díí saad baa nahólne'go kódíní , Díí bee aha'deet'áanii saad deísínółts'ą́ą'go bida'oł'į́ .
24:11:007:0	Shik'eh dahonoł'į́ , dishníigo danihizhé'é yę́ę Ííjip kéyahdę́ę́' ch'íní'eezh yę́ędą́ą́' áádóó díí jį́įjį' t'ah abíínídą́ą́' náádiish'nahgo ts'ídá t'áá aaníí ádíshníigo bił hashne'go hoolzhiizh ;
24:11:008:0	ákondi t'áadoo ak'eh dahóół'įįd da índa t'áadoo da'diizts'ą́ą' da , nidi t'ááłá'í nítínígo doo nibída'didzilgóó bijéí biyi'dę́ę́' doo yá'áshǫ' bił ádaat'íinii yik'ehgo deíkai . Éí bąą díí bee aha'deet'ą́ą́jí saad t'áá át'é hak'ijį' bohoolyaago áshłaa , éí saad bida'oł'į́ hodííniid nít'éé' t'áadoo bida'jiilaa da .
24:11:009:0	Áádóó Bóhólníihii áshidííniid , Júdah dine'é áádóó Jerúsalem kin haal'áagi kéédahat'íinii bitahgóó nidaha'áago bééhoozin .
24:11:010:0	Dabizhé'é yę́ę éí shizaad doo t'áá k'ad deidiizts'ą́ą'ii doo ákwii é'ét'éii yaa nidaaskai yę́ę éí yich'į' t'ą́ą́' anáákaigo diyin dabidi'níinii yich'į' nidahałáá nít'éé' . Ízrel dine'é índa Júdah dine'é dabizhé'é yę́ę bił ahada'dinisht'áanii dayiizti' .
24:11:011:0	Éí bąą Bóhólníihii kóní , Shoo , doo yá'át'éhígi ádahodeeshłíiłgo ts'ídá doo bits'ádazhdínóochéeł da . Azhą́ nídashijookąąh nidi , doo hwíínísts'ą́ą' da doo .
24:11:012:0	Áko índa Júdah kéyahgi kin hadaas'áágóó índa Jerúsalemgi kéédahat'íinii éí diyin dabidi'níinii yich'į' tsin bijeeh dilidgo łikání halchinii náádayiiłniihii yich'į' dadookahgo nídayookąąh doo , nidi hade ádahoodzaago doo yisdáhodoonił da .
