24:36:001:1	Naaltsoos yisdisii iidííłk'ą́ą́'
24:36:001:0	Josáíyah biye' Jiihóíyakim éí Júdah dine'é aláahgo yinant'áago dį́į́' náhááh góne' Bóhólníihii kót'éego Jeremáíyah yich'į' hanáánáádzíi'go ání ,
24:36:002:0	Josáíyah bíyoołkááł yę́ędą́ą́' , t'áá éí bijį́į́ góne' nihich'į' yéíłti' yę́ędą́ą́' áádóó díí jį́įjį' Ízrel dine'é áádóó Júdah dine'é índa ał' ąą dine'é t'áá ałtso bik'ijį' nishłį́įgo naaltsoos yisdisii nídiitįįhgo saad bee haasdzíi'ii t'áá át'é bikáá' ánílééh .
24:36:003:0	Júdah dine'é doo yá'áshónígi áhodeeshłíłígíí t'áá át'é éí deidiizts'ą́ą'go doo yá'áshónígi át'éego deíkáhígíí yits'ánáhidookahgo da'át'é . Áko doo ákwii ádáát'įįdii áádóó ádił nida'iisíi'ii bá yóó'adideesh'ááł .
24:36:004:0	Ákohgo Jeremáíyah éí Niiráíyah biye' Bérak hágo yidííniid , áádóó Bóhólníihii éí Jeremáíyah yee yich'į' hahaasdzíi'ii t'áá át'é Jeremáíyah yáłti'go Bérak éí naaltsoos yisdisii yikáá' áyiilaa .
24:36:005:0	Áádóó Jeremáíyah éí Bérak yich'į' haadzíi'go kóní , Shidá'deelkaal , áko Bóhólníihii bikin bii' sohodizingi doo yah ajóya'ígi át'ée da ,
24:36:006:0	áko doo adą́ jíní góne' ákǫ́ǫ́ díínááł , áádóó Bóhólníihii bizaad bee nich'į' yáshti'go naaltsoos yisdisii bikáá' íinilaa yę́ę kin bii' sohodizin góne' diné áłah silį́'ígíí áádóó Júdah dine'é bikin hadaas'áádę́ę́' nidahaaskaígíí t'áá ałtso ałdó' daníists'ą́ą'go bich'į' yídííłtah .
24:36:007:0	T'ááłá'í jinítínígo doo yá'áshónígi át'éego dajíkáahii bits'áhizhdookahgo nída'jookąąhgo Bóhólníihii há yididoots'į́įłgo da'át'é , háálá Bóhólníihii t'áá íiyisí báhóóchįįdgo t'óó báhádzidígi át'éego yee atí'éł'íinii díí dine'é yee yá haadzíi'go át'é .
24:36:008:0	Áko Niiráíyah biye' Bérak éí Diyin God yá halne'ii Jeremáíyah hach'į' haadzíi'ii bik'ehgo ádziidzaa . Bóhólníihii bikin bii' sohodizin góne' naaltsoos yisdisii Bóhólníihii bizaad bikáá' bik'e'ashchíinii yíyííłta' .
24:36:009:0	Josáíyah biye' Jiihóíyakim éí Júdah dine'é aláahgo yinant'áago ashdla' náhááh góne' áádóó náhást'éí nídízííd binih Jerúsalemgi kéédahat'íinii t'áá ałtso áádóó Judíya kéyahdóó Jerúsalemjį' diné nidahaaskaígíí t'áá ałtso , Bóhólníihii binááł doo da'iidą́ą́góó t'óó dahodíníilzingo ła'a jį́ adooleeł , dadííniid .
24:36:010:0	Ákohgo Bóhólníihii bikin bii' sohodizin góne' éí adeídi haz'ánígi Bóhólníihii bikin bii' sohodizin bidáádílkał ániidíii bíighahgi Shéífan naaltsoos ííł'íní nilíinii biye' Gemaráíyah bighan góne' Bérak éí Jeremáíyah bizaad naaltsoos yisdisii biká'ígíí t'áá át'é diné t'áá ałtso bich'į' jííłta' .
