24:33:001:1	Jerúsalemgi t'áá ałtso yá'ádaat'éehgo áńdadoolnííł
24:33:001:0	Awáalyaa bich'éédą́ą́' góne' Jeremáíyah t'ah bidá'deelkaalgo naakidi aleeh góne' Bóhólníihii bich'į' hanáánáádzíi'go kóní ,
24:33:002:0	Bóhólníihii éí nahasdzáán hasht'e'nayí'nínii'ii áádóó bohoníłdzilgo dah si'ą́ągo áyiilaii , éí Bóhólníihii wolyéii kóní ,
24:33:003:0	Shich'į' sodílzin , áko nich'į' ééhodeesįįłgo ayóó ádaat'éii índa ayóó ádabóodziilii doo nił béédahózinii nich'į' yit'íní ádadeeshłííł .
24:33:004:0	Jó , Ízrel dine'é biDiyin God Bóhólníihii éí díí kin haal'áagi bee hídeilk'idii áádóó diltłish bik'ijį' nidazdooldził biniyé kin yę́ę áádóó Júdah dine'é aláahgo bindanit'a'í dabikin yę́ę naa'adadziiskaadii yaa haadzíi'go kóní ,
24:33:005:0	Kaldíya dine'é bił ałk'i jiijeeh áádóó díí kin haal'áhígíí bii' ats'íís daneeznáago hadeididoołbį́į́ł yiniyé aadę́ę́' yijah . Éí sháhóóchįįdígíí bee índa t'óó báhádzidígi át'éego hashké niisdzį́'ígíí bee hoł jidideeshxał ; jó , díí kin haal'áagi t'áá íiyisí doo yá'áshónígi ádajíít'įįdii t'áá át'é biniinaa hats'ą́ąjigo dínísh'į́į' doo .
24:33:006:0	Doo hąąh daatééhgóó áńdahodeeshdlííł , áádóó nídahodeesdzih . T'áá aaníí nídahodeesdzih , áádóó bee ach'į' hózhóonii índa t'áá aaníinii t'óó ahayóí hólǫ́ǫgo hoł ííshjání ádadeeshłííł , jó'akon .
24:33:007:0	Áádóó Júdah dine'é áádóó Ízrel dine'é yisnááh danilíinii nahjį' kódeeshłíiłgo daabíí' yę́ę bíí' nídadoodleełgo ádeeshłííł índa átséédą́ą́' k'ee'ąą hodiníłt'ą́ yę́ęgi át'éego k'ee'ąą náhodínéesht'į́į́ł .
24:33:008:0	Doo ákwii ádajit'į́į́góó shich'į' ádił nidadziisíi'ii éí t'áá ałtso hąąh dadeeshdah . Doo ákwii ádajit'į́į́góó ádił nidadziisíi'go shibee haz'áanii k'ídadzizti'ii éí t'áá ałtso há k'ééda'deeshchxǫǫł .
24:33:009:0	Kin haal'áa dooleełígíí éí nihokáá'góó ał'ąą dine'é danilíinii yaa dahaniih doo , áádóó ayóó át'éego yaa nitsídaakees doo , áko éí bee bi'dójíhígíí t'áá íiyisí bąą shił hózhǫ́ǫ doo . Yá'át'éehii bá baa naasháhígíí t'áá át'é ał'ąą dine'é yaa dahodiits'a' doo . Yá'át'éehii bá baa naasháhígíí índa t'áá ałtsoní bee áda'azįįdgo bá íínísinígíí éí t'áá ałtso biniinaa ał'ąą dine'é nídaaldzid doo , áádóó bitah dahoditłid doo .
24:33:010:0	Bóhólníihii kóní , Ádadohníigo Júdah kéyahgi kin hadaas'áágóó áádóó Jerúsalem kintaa da'aztiingóó éí ákǫ́ǫ́ doo naagháhí da . Diné nidi , doo ła' naagháa da , índa doo ła' kéédahojit'į́į da , áádóó naaldlooshii nidi ádin . T'áadoo biniyéhígóó haz'ą́ . Diné índa naaldlooshii łá'í nidi ádin , dadohnínígíí ákwe'é díí náádadiits'a' doo ;
24:33:011:0	ił náhooshǫǫł iinéé' áádóó ił hózhǫ́ǫ́jí iinéé' áádóó iiyehii biinéé' índa bá'iigehii biinéé' náádadiits'a' doo . Ahééh hasinjí nááhániihii éí Bóhólníihii bikin bii' sohodizinjį' dayíjáahgo dahataałgo kódaaníi doo , T'áá ałtsoní bee Bóhólníihii bich'į' ahééh danohsin , háálá Bóhólníihii yee aa a'ááh nízinii t'áá yit'éhí yit'éii hool'áágóó hólǫ́ . Háálá yisnááh dajílíinii nahjį' kódeeshłíiłgo áłtséédą́ą́' hakéyah át'é yę́ęgi át'éego daahóó' yę́ę hwíí' nídadoodleełgo ádeeshłííł .
24:33:012:0	T'áá ałtsoní bee Bóhólníihii kóní , Díí kwe'é diné índa naaldlooshiida doo ła' naagháágóó t'óó dzígaigo haz'ánígi áádóó kin hadaas'áágóó t'áá ałtso ákǫ́ǫ́ dibé yaa ádahalyáanii bilį́į́' háádaalyį́įhgo kénáádahat'į́į doo .
24:33:013:0	Daadziłgóó kin hadaas'áágóó , honíteeldi kin hadaas'áágóó , shádi'áahdi kin hadaas'áágóó , Bénjamin dine'é bikéyah bikáá'góó , Jerúsalem kin yíl'áhígíí bik'i dinaago nidahós'a'góó índa Júdah kéyahdi kin hadaas'áágóó dibé yółta'í ákǫ́ǫ́ dibé nááyółta' doo , ní Bóhólníihii .
24:33:014:0	Jó , Ízrel dine'é áádóó Júdah dine'é , Yá'át'éehii nihaa dideesh'ááł , bidííniidii bohodoolníiłjį' bich'į' yoołkááł , ní Bóhólníihii .
24:33:015:0	Éí yoołkáałdi áádóó éí hoolzhishdi David bits'ą́ą́dóó náás oochíiłii éí bitahdóó t'áá ákogi át'éego ats'áoz'a' ła' habidinéesééł , áko éí kéyahgi doo haada yit'éii índa t'áá ákogi át'éii yaa naagháa doo .
24:33:016:0	Éí yoołkáałdi Júdah dine'é yisdádoo'nił , áádóó Jerúsalemgi kéédahat'ínígíí bił sih haz'ą́ą doo , áko Bóhólníihii , Bee T'áá Ákogi Ániit'éii , éí bízhi'ígíí bee bi'dójíi doo .
24:33:017:0	Háálá Bóhólníihii kóní , David éí Ízrel dine'é bitahdóó bikáá' dah asdáhí bikáá'dóó nant'áii yikáá' dah dínóodaałígíí éí doo bídin hóyée' da doo .
24:33:018:0	Shinááł Líívai dine'é bits'ą́ą́dóó náás oochíiłgo náá'iiłniihii danilínígíí éí didlidgo nááhániihii áádóó ak'áán nááhániihii índa náá'iiłniih dooleełii ts'ídá doo bídin hóyée' da doo .
24:33:019:0	Bóhólníihii éí Jeremáíyah yich'į' hanáánáádzíi'go kóní ,
24:33:020:0	Bóhólníihii kóní , Doo jį́ nááhoodleeł da doo , índa doo tł'éé' nááhoodleeł da doo biniyé jį́ áádóó tł'éé' nahjį' kóníléehgo bíninil'ą́ą́ ládą́ą́' ,
24:33:021:0	áko shá naal'a'í David áádóó shá nidaal'a'í Líívai dine'é bits'ą́ą́dóó náás ahoolchíiłii náá'iiłniihii danilíinii éí ałdó' bił ałha'dinisht'áanii k'ídoodlałgo bíighah áádóó David bibikáá' dah asdáhí yikáá'dóó nant'áii David bits'ą́ą́dóó náás oochíiłii éí biye' doo ła' yikáá'dóó dah dínóodaał da .
24:33:022:0	Yót'ááh hiníláii sǫ' doo jóołta' ánéelą́ą́' yíl'áa da índa tónteel bibąąhgóó séí doo bízh'neeł'ąąhígi ánéelą́ą' da ; t'áá ákót'éego ałdó' shá naal'a'í David bits'ą́ą́dóó náás oochíiłii t'óó ahayóigo ádeeshłííł , áádóó shá nidaal'a'í Líívai dine'é t'óó ahayóigo ádeeshłííł .
