24:38:001:1	Jeremáíyah éí tó bá az'ą́ą́dę́ę́' habi'dooltį́
24:38:001:0	Ákohgo Mátan biye' Shefatáíyah áádóó Pásher biye' Gedaláíyah áádóó Shelemáíyah biye' Júkal índa Malkáíyah biye' Pásher éí Jeremáíyah diné t'áá ałtso saad bee bich'į' hadziisdzí'ígíí deidiizts'ą́ą́' .
24:38:002:0	Bóhólníihii kóní , Díí kin haal'áagi t'áá ákǫ́ǫ́ nidajikaígíí éí diltłish áádóó dichin áádóó naałniih nidahodoołtsił , nidi Kaldíya dine'é bich'į' ch'íjiiskaii éí dajiináa doo , háálá bąąh oogą́ą'ii jílį́įgo dajiináa doo .
24:38:003:0	Bóhólníihii kóní , Díí kin haal'áhígíí éí Bábilan dine'é aláahgo binanit'a'í bisiláo dah yinéłígíí éí ts'ídá t'áá aaníí baa didoot'áałgo yidoołnééł .
24:38:004:0	Ákohgo naat'áanii danilíinii éí aláahgo naat'áanii ádeidííniid , Baa nídaniikąąh , bíni'dii díí hastiin diyoolyééł , háálá díí kin haal'áagi siláo daadziihígíí áádóó diné kéédahat'ínígíí t'áá ałtso saad bee bich'į' yájíłti'ígíí bee bitah doo dahojiiłna' da , háálá díí hastiin bidine'é bá yá'át'éeh dooleełii doo yá hát'į́į da ; atídoolnííł t'éiyá yá hát'į́ .
24:38:005:0	Áko aláahgo naat'áanii Zedekáíyah ádííniid , Nihílák'ee sitį́ , jó'akon . Shí doo nihik'ijį' nishłį́į da doo .
24:38:006:0	Ákohgo Jeremáíyah dah deidiilóozgo aláahgo naat'áanii biye' Malkáíyah bitó bá az'ą́ą́ góyaa adayiisxan . Éí awáalyaa bich'éédą́ą'gi tó bá az'ą́ą́ góyaa tł'óół bee Jeremáíyah hadadeizlo' . Tó bá az'ą́ą́ góyaa éí tó ádin , t'áá hazhó'ó hashtł'ish dits'idí t'éiyá hólǫ́ , áko Jeremáíyah nahodits'ǫ' íígo' .
24:38:007:0	Nít'éé' aláahgo naat'áanii éí Bénjamin bidáń'dítį́įhgi sidáago Iithiyópiya dine'é nilíinii Ííbed-míílek , yúnak nilį́įgo éí tó bá az'ą́ą́ góyaa Jeremáíyah adeist'e'go yiyíínii'go
24:38:008:0	Ííbed-míílek éí aláahgo naat'áanii bighandóó ch'íníyáago aláahgo naat'áanii yaa níyáago áyidííniid ,
24:38:009:0	Bóhonishníihii , aláahgo naat'áanii nílíinii , díí diné éí Diyin God yá halne'ii Jeremáíyah tó bá az'ą́ą́ góyaa adahwiisxanígíí éí ádahóół'įįdígíí t'áá át'é yee doo yá'áshǫ' t'éiyá yaa naaskai , áko díí kin haal'áagi bááh ásdįįdígíí biniinaa Jeremáíyah t'áá ákóyaa dadootsaał .
24:38:010:0	Ákohgo aláahgo naat'áanii éí Iithiyópiya dine'é nilíinii Ííbed-míílek yich'į' haadzíi'go kóní , Kodóó diné tádiin yilt'éego nídiiníiłgo Jeremáíyah t'ah doo daatsaahdą́ą́' tó bá az'ą́ą́dę́ę́' háádaołteeh .
