24:10:001:1	Diyin dabidi'níinii áádóó Diyin God t'áá aaníinii
24:10:001:0	Ízrel dine'é nohłíinii , Bóhólníihii saad yee nihich'į' yáłti'ígíí dadoohts'į́į́h .
24:10:002:0	Ał'ąą dine'é yee ádaat'éii t'áadoo bídahooł'aahí . Wót'áahdi łahgo áńdahoo'níłígíí t'áadoo bik'ee nitsináhkahí ; jó , éí ał'ąą dine'é yik'ee nitsinákah , ní Bóhólníihii .
24:10:003:0	Háálá éí dadine'é bi'é'él'į' t'áadoo biniyéhí da ; diné naalnishii tsintahdi tsénił yee tsin ła' k'íítsxił .
24:10:004:0	Béésh łigaii índa óola yee nideich'ąąh ; doo hidoolnáał da biniyé bee atsidí yee yił ada'ałkał .
24:10:005:0	Dá'ák'ehgi ya'díníilzhin íí'á nahalingo doo yádaałti'ii ałtso nideich'ąhgo k'éhézdon adaaz'áa łeh . Doo nidaakaígíí biniinaa ts'ídá nidaajaahgo t'éiyá . Doo yá'át'éehii yaa nidadookahgo doo yídaneel'ą́ą da índa yá'át'éehii yaa nidadookahgo ałdó' doo yídaneel'ą́ą da ; éí bąą t'áadoo béédaałdzidí .
24:10:006:0	Bóhólníihii nílíinii , t'áadoo ła' nigi át'ée da . Ayóó ánít'é , áádóó nízhi' ayóó át'éii ayóó ábóodziil .
24:10:007:0	Ał'ąą dine'é Aláahgo Binanit'a'í nílíinii , háísh doo nidósin da doo ? Jó , ákódajit'į́į doo nít'éé' , háálá ał'ąą dine'é bitahdóó diné dahóyáanii t'áá ałtso índa bee ídahólníihgo bił nahaz'ą́ą́góó t'áá ałtso éí bitahdóó t'áadoo ła' nigi át'éhí da .
24:10:008:0	Nidi t'áá óozyį́į́ nít'éé' doo nitsídaakees da nidahalin áádóó doo ádahalyą́ą da . Be'elyaii éí tsin t'éiyá át'éego bee na'nitinii t'áadoo biniyéhí da .
24:10:009:0	Béésh łigaii náneesne'go áłt'ą́ą́'í ádaalyaii éí Társhish haz'ánídę́ę́' nináhaashjaa' áádóó óola éí Yúfaz hoolyéédę́ę́' nináhaashjaa' ; éí béésh łigaii deitsidii binaanishgo ádaat'é , áádóó óola yee nidaalnishii binaanishgo ádaat'é . E'elyaii dabi'éé' éí yá nahalingo dootł'izh áádóó tsídídééh nahalingo łichí'ígíí , áko éí t'áá ałtso diné da'iichįįhii binaanish ádaat'é .
24:10:010:0	Nidi Bóhólníihii éí t'áá aaníí Diyin God nilį́ ; Diyin God hináanii nilį́įgo hool'áágóó Aláahgo Naat'áanii nilį́ . T'óó báhádzidgo yee atí'éł'íinii yidiiłnáahgo nahasdzáán hidi'nááh , áko doo bił hazhǫǫhígíí yik'ee ał'ąą dine'é doo yich'į' hada'ólníi da .
24:10:011:0	Áko kóbididííniił , Diyin dabidi'níinii éí yót'ááh hiníláii índa nahasdzáán t'áadoo ádayiilaii azhą́ éí nidi nahasdzáán bikáá'dóó ádadoodįįł , áádóó díí yót'ááh hiníláii biyaadóó ádazhdoodįįł .
24:10:012:0	Diyin God éí bibee adziil yee nahasdzáán áyiilaa . Bibee hódzą' yee nahasdzáán bohoníłdzilgo dah yiz'ą́ . Hazhó'ó ts'ídá yá'át'éehgo yaa nitsízkéezgo yót'ááh hiníláii dah yiskaad .
