24:12:001:1	Jeremáíyah ak'í ha'ááh áádóó Diyin God bich'į' énáhoosįįd
24:12:001:0	Bóhólníihii nílíinii , ts'ídá t'áá ákogi ánít'éego doo haada yit'éii bee nich'į' hadeesdzihgo agha'dideesht'ááł . Ha'át'íí lá biniyé diné doo yá'ádaashóonii yaa naakaígíí bee bada'iideeł ? Ha'át'íí lá biniyé t'óó baa yáhásinígi ádaat'éii yaa nidaakaígíí t'áá ałtso bił dahózhǫ́ ?
24:12:002:0	K'idahodíínílá áádóó behétł'óól dahazlį́į́' . Dadínéesą́ áádóó bineest'ą' nídahoodleeł . Naa yádaałti' nidi , doo deeghánídi bits'ąą honílǫ́ .
24:12:003:0	Nidi , Bóhólníihii nílíinii , ni éí shééhonísin . Shiiniłtsą́ , ná hinishnánígíí nabínínítą́ą́' . Dibé nidadootsiłii bits'ázhnínil nahalingo bits'ánínííł , áádóó ła'a jį́ nidadootsiłígíí biniyé hasht'edahólééh .
24:12:004:0	Haa lá nízáágóó kéyahígíí nidínéesdzáago nanise' daniiłna' doo ? Diné doo yá'ádaashóonii ákwii kéédahat'ínígíí biniinaa naaldlooshii índa tsídii daneezná , háálá , Anihídeidoołkáałjį' ahoolzhiizhgo doo yizdoołtséeł da , daaní .
24:12:005:0	Diné bił ałgháádíkahgo bąąh nííníyáago ákoshą' haa yit'éego łį́į́' bił ałghadidííkah ? Kéyah yá'áhoot'éehgi nídígohgo ákoshą' Jórdan tooh bibąąhgóó hodíłch'ilgi haa nit'į́į doo ?
24:12:006:0	Azhą́ nik'isóó danilíinii índa nizhé'é bighandóó nidaakaígíí t'áá éí nidi , ninádandeez'ą́ . T'áá aaníí , éí nikéé' dadilwosh nít'éé' ; nizhónígo nich'į' yádaałti' nidi , t'áadoo yinídlání .
24:12:007:0	Sha'áłchíní yóó'adíí'ą́ ; shíi'ii bits'áníyá ; shii' sizíinii hánígo ayóó'ádayó'nínígíí bida'ana'í baa diní'ą́ .
24:12:008:0	Shíi'ii éí hodíłch'ildi náshdóítsoh bitsiijį' ditł'ooígíí atíshidoolíiłgo shiniyé ánínígíí nahalin . Éí bąą bik'ee dínih .
24:12:009:0	Shíí' nilínígíí éí tsídii łikizhígíí nahalin . Náánáła' tsídii binaagóó nidaat'a'ígíí éí bik'ee dadiniih . Naaldlooshii t'áá ałtso dzígaidę́ę́' áłah áníléehgo da'doolghał .
24:12:010:0	T'óó ahayóí diné aa ádahalyáanii shich'il na'atł'o'ii yíl'áii atídayiilaa ; shíhígíí ałtso yik'i naaskai ; shikéyahgi doo siláhígóó t'óó honoojí ádahoolaa .
24:12:011:0	Doo siláhígóó ádahoolaa . Doo siláhígóó bąą shich'į' yínííł nilį́įgo yicha . Ádił nida'iisíi'ii doo bąąh bíni'ígíí biniinaa kéyah t'áá náhwiist'ą́ą́ nít'éé' doo siláhígóó áhoolyaa .
24:12:012:0	Honoojítahgi wódahgo nahaz'ánígóó nida'iiłchǫǫhii nidahaazná . Ákwii kéyah t'áá náhwiist'ą́ą́ nít'éé' Bóhólníihii bidiltłish bee ni'dootsił . Doo ła'da bił hodéesyéel da doo .
24:12:013:0	Tł'oh naadą́ą́' k'idazdeezláa nidi , hosh t'éí dajííyizh . Nijíkai lá nidi , t'áadoo há bilááh násdlį́į' da . Bik'ee íyé'ígi át'éego Bóhólníihii báhóóchįįdígíí biniinaa dajííyizhii baa yádanohsin doo .
24:12:014:0	Diné doo yá'ádaashǫ́ǫ́góó bił kééhasht'íinii t'áá ałtso Bóhólníihii hak'ijį' nilį́įgo kóní , Shidine'é Ízrel daabí áshłaa yę́ę bizhdeelnii'ii , shoo , éí hakéyah bikáá'dóó náhodideeshjihgo hatahdóó Júdah dine'é nahjį' háádeesh'nił .
24:12:015:0	Hatahdóó hanáásh'nildóó bik'ijį' baa a'ááh nánísdzin doo , áádóó diné t'ááłá'í nítínígo daabíi'ii índa bikéyah baa náhideesh'ish .
24:12:016:0	T'áá Béíyal bízhi' yee ádee hadahididziihgo bíndabizneestą́'ígi át'éego t'áá ákót'éego Bóhólníihii hiná , dajiníigo bee ádee hadahizdidziihgo bídahojiił'ą́ą'go , áko lá índa shidine'é bitahgi hadziilgo ádahodi'doolníił ni .
24:12:017:0	Nidi doo ak'eh dahół'į́į́góó éí dine'é náhodideeshjihgo ałtso áhodeeshdįįł , ní Bóhólníihii .
