24:17:001:1	Júdah dine'é ádił nida'iisdzíi'ii éí dabijéí bikáá' bee ak'eda'ashchį́
24:17:001:0	Júdah dine'é ádił nida'iisdzíi'ii éí dabijéí bikáá' bee ak'eda'ashchį́ índa nihibikáá' nááda'iiniihí bikáá'dóó adee' dadeez'áhígíí éí bąąhgóó bee binída'ashk'aazh . Béésh nitł'izii bee ak'e'alchíhí índa tsé da'ílíinii dáíman wolyéii bee ak'e'alchíhí hááhaashchii'go éí bee binída'ashk'aazh .
24:17:002:0	Dawók'ą́ą́góó tsin dootł'izh naazkaadii dabiyaagóó bikáá' nááda'iiniihí áádóó asdzání bee eda'alyaii naazį́ yę́ęgóó hada'áłchíní t'ahdii yéédaalniih .
24:17:003:0	Kéyahdi shidził nílíinii , nit'íinii áádóó ninaalye'é t'áá ałtso índa ninaagóó kéyah nidahwiisdzojį' ninádahałaah doo biniyé wódah nahaz'ą́ą́góó ádaalyaii ádił nida'iidzííh biniyé bąąh da'oogą́ą'ii át'éego nideeshnih .
24:17:004:0	Sháháchį'go t'óó tsé'édinda shił halchíi'go ádashoołaaígíí éí hool'áágóó dook'ą́ą́ł dooleełígíí biniinaa nihí nihaa diní'ánígíí bidadidoohchiłgo doo danihíi' da dooleeł . Áko kéyah doo dahooh'į́įdi nihi'ana'í danilíinii bá nidaał'a'go ádanihideeshłííł .
24:17:005:0	Bóhólníihii kóní , Diné ła' diné yaa dzólíii áádóó diné bibee adziilii yaa dzólíii índa Bóhólníihii doo yiniizį́į́'góó yóó'iidíí'áanii éí hóyée'go bá ha'oodzíí' .
24:17:006:0	Háálá diné éí séí t'éí dadeesk'idgi k'ai' łichíí' t'áá sáhí íí'áhígíí nahojílin , áádóó yá'át'éehii ach'į' náhodidleeh nidi , doo dziiłtséeh da , nidi honoojíidi doo nahałtindi tááníí' t'éiyá haalgaidi diné ła' doo kééhat'į́įdi kééhojit'į́į doo .
24:17:007:0	Nidi diné éí Bóhólníihii yaa dzólíii áádóó Bóhólníihii bee bił chohoo'íinii éí bik'ihojidlí .
24:17:008:0	Áko hó tábąąhgi t'iis k'idoolyáago éí behétł'óól tábąąhjigo tanooshzhee'ígíigi ájít'ée doo . Nídadiłdoh nidi , doo béédzíldzid da doo áádóó hat'ąą' éí t'áá áłahjį' dootł'izh doo . Doo nahałtingóó yihahgo éí doo ho'diił'áa da doo , áádóó honeest'ą' t'áá náhádleeh doo .
24:17:009:0	Ajéí wolyéii éí na'adlo' nináneel'ą́ąjį' ts'ídá t'áá ałtso biláahgo bina'adlo' , áádóó doo náodziihígi át'éégóó t'áá íiyisí yíchxǫ' . Éí háí bił bééhodoozįįłgo yíneel'ą́ ?
24:17:010:0	Bóhólníihii nishłíinii diné t'ááłá'í nítínígo yee át'éii bik'ehgo , índa ádajooníłígíí bee bineest'ą' bik'ehgo hach'į' ninádi'yeeshdlééł biniyé hajéí haasííd áádóó háni' há nidaashkaah .
24:17:011:0	Déłdánii éí ayęęzhii yik'i sidáago t'áadoo hayiyííłjé'ígi át'éego diné na'adlo' bee yit'íinii nishóiyoołt'eehii ákót'é ; éí hastóí dooleełígíí bich'į' bíídíiską́ągo yit'íinii bits'ą́ą́' háájí shį́į́ silį́į'go doo áhojilyą́ą́góó dazdootsaał .
24:17:012:0	Hodeeyáádą́ą́' ayóó át'éii bikáá' dah asdáhí bikáá'dóó nahat'áago bits'ádi'nílíidii ákwii hodiyingo haz'ánígíí éí nihí .
24:17:013:0	Bóhólníihii éí Ízrel dine'é bee bił chohoo'íinii nílíinii , t'áá ałtso yóó'adanizhdii'aahii t'óó haa yáhásinígi ádahodi'doolnííł ; nits'ą́ąjigo dah dahizhdiikáahii t'áá ałtso házhi' łeezh bikáá' ádadoolnííł , háálá iiná tó háálíinii éí Bóhólníihii nilíinii yóó'adazdeez'ą́ .
24:17:014:0	Bóhólníihii nílíinii , ná shíłdziih , áko náshi'dooldzíi' doo . Yisdáshíłteeh , áko yisdáshi'dooltį́į doo , háálá ni naa hashniih .
24:17:015:0	Shoo , háadiyee' Bóhólníihii bizaad ? Háni'dii k'ad bohodoolnííł , dashiłní .
24:17:016:0	Shí sízį́įgi t'éí dibé baa áháshyą́ągo nikéé' yisháłígíí bits'ą́ą́dóó doo tsį́į́ł nishłį́į da nít'éé' , índa diné atídadíílíłígíí doo bídin nishłį́į da nít'éé' . Baa yéíłti'ígíí éí níínáałgo nił bééhózin .
24:17:017:0	T'áadoo shiyanahółhizí ; doo yá'át'ééhgóó hodidilzhishgo nine' nihesdzííh .
24:17:002:1	Háá'áyį́į́h jį́ éí ts'ídá diyingo óolzin doo
24:17:018:0	Atídashił'íinii háni'dii yádanízin le' ; shí éí t'áadoo yánísiní . Bíni'dii t'áadoo ájóne' hasingi ádaane' . Shí éí ákóoshne' lágo . Doo yá'át'éhígi bohodoolníłígíí bik'ijį' yiighad , áádóó naakidi ahą́ą́h nániiláago atínílééh .
24:17:019:0	Bóhólníihii kóshíłní , Nílááh , diné bidáń'dítį́hígi éí Júdah dine'é aláahgo bindanit'a'í yah anídaakahgi índa ch'éédaakahgi ákǫ́ǫ́ dínáahgo ákwe'é sínízį́ , áádóó Jerúsalem kin haal'áagi dáń'da'ditį́į́hgóó t'áá ałtso ákónínééh ,
24:17:020:0	áádóó ábidiní , Júdah dine'é aláahgo bindanit'a'í danohłíinii t'áá ánółtso áádóó Júdah dine'é danohłíinii t'áá ánółtso índa Jerúsalemgi kéédahoht'íinii t'áá ánółtso , díí dáń'da'ditį́į́hgóó yah anídaohkahii Bóhólníihii áníinii dadoohts'į́į́h .
