24:2:001:1	Bóhólníihii éí Ízrel dine'é t'ą́ą́' anáákaii náyookąąh
24:2:001:0	Náá'áłdó' Bóhólníihii shich'į' haadzíi'go ání ,
24:2:002:0	Nílááh , Jerúsalem kin haal'áagi kéédahat'íinii bijaayi'jį' dah díníit'aahgo kódíníigo bich'į' handziih , Bóhólníihii kóní , Ániid nanináádą́ą́' na'ahódlíí nít' éé' yę́ę áádóó bá'doogehiigi át'éego ayóó'áshííní'nínígíí índa honoojíidi t'áadoo k'idoolyáagi shikéé' tádííníyáhígíí éí bénáshniih .
24:2:003:0	Ízrel dine'é Bóhólníihii bidiyį́į́' nilį́į́ nít'éé' ; Bóhólníihii áłtsé yineest'áanii nilį́į́ nít'éé' ; anadandzinii bit'ááh nájahgo t'áá ałtso ádidahodiilt'i'go doo yá'át'éehii bik'i hwiidooleeł , ní Bóhólníihii .
24:2:004:0	Jéíkab dine'é ahoolchíiłii , éí Ízrel dine'é dah deínóhnéehii danohłíinii t'áá ánółtso Bóhólníihii ánínígíí dadoohts'į́į́h .
24:2:005:0	Bóhólníihii kóní , Ha'át'íí doo ákwii é'ét'éii shį́įshą' danihizhé'é shąąh dayiiłtsą́ągo doo deeghánígóó shits'áhaaskaigo t'áadoo danilíníii yikéé' tádadookai índa t'áadoo nilíníii daazlį́į́' ?
24:2:006:0	Índa Bóhólníihii éí Ííjip kéyahdę́ę́' ch'ínihiní'eezhgo honoojíígóó nihoo'ishgo kéyah bikáa'gi t'áadoo siláhígóó índa kéyah binídahasdzą́ągo áádóó doo nahałtingóó índa kéyah bii' aniné bichaha'ohgóó índa diné t'ah doo ła' ákǫ́ǫ́ ch'éghááhgóó áádóó diné doo kéédahat'į́į́góó nihiní'eezhii éí háájí lá silį́į́' ? T'áadoo nidi dashidííniid da .
24:2:007:0	Áko aneest'ą' índa yá'ádaat'éehii daohsą́ą dooleeł biniyé kéyah bikáá' áda'azįįdii biih nihíí'eezh , nidi yah oonáago shikéyah daołchxǫ' , áádóó shíí' nilíinii doo yildinii ádaohłaa .
24:2:008:0	Nááda'iiłniihii , Háájísh Bóhólníihii ? t'áadoo dadííniid da , áádóó bee haz'áanii yínída'niłtinii doo shéédahósin da , áádóó naat'áanii danilíinii éí shich'į' doo ákǫ́ǫ́ ádáát'įįd da . Áádóó náás áhodooníiłii yaa dahalne'ii éí e'elyaii Béíyal yinahjį' dahoolne' áádóó doo yá'át'ééh nánídlíinii yikéé' tádadookai .
24:2:009:0	Éí bąą t'ahdii t'áá nihił ałgha'disht'áah doo , índa niha'áłchíní áádóó binááda'áłchíní bił ałgha'disht'áah doo , ní Bóhólníihii .
24:2:010:0	Jó , nihílááh Kítim kéyah táyi'dę́ę́' háá'áajį' tsé'naa ninohkáahgo áadi diné kéédahat'ínígíí hazhó'ó danół'į́ índa Kíídar kéyahgóó náádóhkááh , áadi diné kéédahat'ínígíí hazhó'ó baa nitsídaohkeesgo hadaohsííd ; ákǫ́ǫ́ daats'í diné t'áá ákódaat'į́įgo bił nahaz'ą́ .
