24:32:001:1	Ánathathdi Jeremáíyah éí kéyah nayiisnii'
24:32:001:0	Nébukadnézzar éí Bábilan dine'é aláahgo yinant'áago tseebííts'áadah náhááh góne' áádóó Zedekáíyah éí Júdah dine'é aláahgo yinant'áago neeznáá náhááh góne' Jeremáíyah éí Bóhólníihii bich'į' hanáánáádzíí' .
24:32:002:0	Áko íídą́ą́' Bábilan dine'é aláahgo yinanit'a'í nilíinii bisiláo Jerúsalem kin haal'á yináshzhiizhgo t'áá ákǫ́ǫ́ nidahaazná , áádóó Júdah dine'é aláahgo yinanit'a'í nilíinii bighangi awáalyaa bich'éédą́ą́' góne' Jeremáíyah bidá'deelkaal .
24:32:003:0	Háálá Júdah dine'é aláahgo yinanit'a'í Zedekáíyah hadádi'níłkaalgo kóní , Ha'át'íishą' biniyé kódíníigo díí hólne' ? Bóhólníihii kóní , Shoo , Bábilan dine'é aláahgo yinanit'a'í díí kin haal'áhígíí baa dideesh'áałgo yidoołnééł ,
24:32:004:0	áko Zedekáíyah éí Kaldíya dine'é ts'ídá doo bílák'ee hazhdoogáał da , nidi Bábilan dine'é aláahgo yinanit'a'í ts'ídá t'áá aaníí baa hodi'doot'ááł , áádóó éí ahizhníl'į́įgo saad ałch'į' ahizhdoo'nił ,
24:32:005:0	áádóó Zedekáíyah éí Bábilan kéyahgóó iidoolóós , áádóó haa nanítą́ą'jį' áadi dzizdáa doo . Azhą́ Kaldíya dine'é bił da'ahohgą́ą nidi , doo bik'eh dadidoohdleeł da , ní Bóhólníihii .
24:32:006:0	Ákohgo Jeremáíyah ánáádoo'niid , Bóhólníihii shich'į' hanáánáádzíi'go kóní ,
24:32:007:0	Jó , nidá'í Shálam éí biye' Hanámiyel , Ánathath kin haal'áadi shikéyahígíí shaa nahíłniih , háálá ni nahidííłnihgo áłtsé bee ná haz'ą́ , níigo naa doogááł .
24:32:008:0	Nít'éé' shidá'í biye' Hanámiyel éí Bóhólníihii bizaad k'ehgo awáalyaa bich'éédą́ą'gi shaa níyá , áádóó áshidííniid , Bénjamin bikéyahdi Ánathath hoolyéedi shikéyahígíí shaa nahíłniih , háálá nahidííłnihgo níí' dooleełígíí bee ná haz'ą́ , áko ádá nahíłniih . Áadi índa díí Bóhólníihii ádííniidii shił bééhoozin .
24:32:009:0	Áko Ánathathdi kéyahígíí shidá'í biye' Hanámiyel baa naháłnii' . Áko béésh łigaii shékel wolyéii tsosts'idts'áadah bíighahgo bá dah dahidiilo'go baa nínil .
24:32:010:0	Áádóó kéyah nahaaznii'go bee bééhózinii bee dah dzoołtsos dooleełígíí éí shízhi' bikáá' áshłaa , áádóó bídiiłjéé' índa oo'íinii hágo dabidííniidgo bee dah nídiidlohí bee béeso há dah dahidiilo' .
24:32:011:0	Índa na'iiznii'go bee bééhózinii bee haz'áanii bi'é'él'į' bik'ehgo dá'deeljé'ígíí áádóó ła' doo dá'deeljé'ígíí dah diijaa'go
24:32:012:0	shidá'í biye' Hanámiyel áádóó oo'íinii éí na'iiznii'go bízhi' yikáá' ádayiilaii índa Jew dine'é t'áá ałtso éí awáalyaa bich'éédą́ą́' góne' naháaztą́ągo dabinááł Méíyasíyah biye' Niiráíyah biye' Bérak éí kéyah nahaaznii'go naaltsoos bee dahiltsos dooleełii baa nínil .
24:32:013:0	Áádóó dabinááł Bérak bich'į' haasdzíi'go kódíshní ,
24:32:014:0	Ízrel dine'é biDiyin God t'áá ałtsoní bee Bóhólníihii kóní , Kéyah nahaaznii'ígíí bee ééhózinii dá'deeljé'ígíí áádóó ła' doo dá'deeljé'ígíí t'áá áłah nídiinííł , áko nízaadgóó didoonaał biniyé hashtł'ish ásaa' biih dííniłgo ákóne' sinil doo .
24:32:015:0	Háálá Ízrel dine'é biDiyin God t'áá ałtsoní bee Bóhólníihii kóní , Kin áádóó kédaayah índa ch'il na'atł'o'ii k'éédadilyééhgóó éí díí kéyah bii' ninádahaniih doo .
24:32:016:0	Kéyah nahaaznii'go bee bééhózinii Niiráíyah biye' Bérak baa níłtsoozgo Bóhólníihii bich'į' sodeeszingo kódíshní ,
24:32:017:0	Bóhólníihii Diyin God nílíinii ! Ha'át'íí lá ahayóí lá ! Ayóó ánóodziilgo índa k'ídíínílnii'go yádił hił índa nahasdzáán íinilaa . Ts'ídá t'áadoo nániłdzilí da .
24:32:018:0	Éí daashíínéelą́ą'di mííl bíighahgo baa a'ááh nínízin , áádóó da'azhé'é doo ákwii ádáát'įįdii bik'é bikéédę́ę́' bada'áłchíní hanínáánoot'áanii k'éédadídlééh . Ayóó'át'éii , Diyin God Ayóó'ábóodziilii éí t'áá ałtsoní bee Bóhólníihii wolyé .
24:32:019:0	Éí t'áadoo beełt'éhígóó kót'éego níinii ayóó át'é áádóó ayóó át'éego naalnish . Jó , nihokáá' dine'é bee ádajít'éii yoo'į́ , áádóó t'ááłá'í jinítínígo bee ájít'éii índa baa nijigháii bits'ą́ą́dóó bineest'ą' bik'ehgo hach'į' nidi'yoolééł .
24:32:020:0	Éí Ííjip kéyahdi áádóó díí jį́įjį' Ízrel dine'é bitahgóó índa náánáła' dadine'é bitahgóó bee éédahózinii áádóó t'óó bik'e'ayóigo ádahooníiłii yaa naayá . Áko díí jį́ át'éhígi át'éego nízhi' bee ch'índit'áahgo í'diinilyaa ,
24:32:021:0	índa bee éédahózinii bee áádóó t'óó bik'e'ayóigo ádahooníiłii bee áádóó ayóó ánóodziilígíí bee áádóó k'ídíínílnii'ígíí bee índa ayóó át'éego ayahodíníłhizígíí bee nidine'é Ízrel éí Ííjip kéyahdę́ę́' ch'ííní'eezh ,
24:32:022:0	áko díí kéyah éí kéyahgi abe' áádóó tsés'ná bitł'izh bee áda'azįįdgo baa dííní'ą́ , éí t'áá bítséedi dabizhé'é yę́ę daabíí' dooleełgo bich'į' ádee hadíínídzíí' ,
24:32:023:0	áádóó kéyah yiih yínáago daabíí' daazlį́į́' , nidi ádíníinii índa nibee haz'áanii t'áadoo yik'eh dahóół'įįd da . Kót'éego dahinohná , bidiníigo bee bich'į' hahíínídzí'ígíí éí t'áadoo yida'iilaa da ; éí bąą díí doo yá'áshóonii t'áá át'é bik'i yéinitsih .
24:32:024:0	Shoo , kin haal'áhígíí deidoołnééł biniyé áajį' hídeilk'idgo ádayiilaa , áko diltłish áádóó hodííchįįdígíí índa naałniih biniinaa Kaldíya dine'é éí kin haal'áhígíí anadeił'į́įgo yik'eh didoodleełgo baa deet'ą́ . Bee hahínídzíi'ii bohoolyaa . Éí yíní'į́ , jó'akon .
24:32:025:0	Áádóó Diyin God Bóhólníihii nílíinii , áshidííníniid , Azhą́ kin haal'áhígíí Kaldíya dine'é baa deet'ą́ą nidi , oo'íinii ła' nídiiníiłgo kéyahígíí béeso bik'é aniníiłgo nahíłniih .
24:32:026:0	Bóhólníihii éí Jeremáíyah yich'į' hanáánáádzíi'go kóní ,
24:32:027:0	Jó , ats'íís nináneel'ą́ąjį' biDiyin God Bóhólníihii nishłį́ . T'áadoo le'éésh shá niłdzil ?
24:32:028:0	Éí bąą Bóhólníihii kóní , Díí kin haal'áhígíí éí Kaldíya dine'é índa Bábilan aláahgo binanit'a'í Nébukadnézzar baa dideesh'áałgo yidoołnééł , jó'akon .
24:32:029:0	Kaldíya dine'é díí kin haal'áhígíí yik'ijį' anadeił'į́įgo áajį' dah didoojahgo yidahodidooniłgo deididoołił . Yee shá dahodoołchįįłgo kin bighą́ą́'góó diyin dabidi'níinii bich'į' yanáadzi'go nááhániihii yadayiinilii áádóó didlidgo nááhániihii Béíyal yich'į' náádayiiłniihii éí t'áá bił ałtso deididoołił .
24:32:030:0	Jó , Ízrel dine'é áádóó Júdah dine'é t'áá áłchíní danilį́į́dę́ę́' shich'į' doo yá'áshónígi t'éí ádáát'įįd , áko Ízrel dine'é yaa nidaaskaígíí t'éiyá yee shánídahałchįįh nít'éé' , ní Bóhólníihii .
24:32:031:0	Jó , díí kin haal'áhígíí t'óó nii'nil yę́ędóó díí jį́įjį' ákwii kéédahat'ínígíí shánídahałchįįhgo t'óó báhádzidígi át'éego bee atí'ésh'íinii hayiyííłtah , áko doo nísh'į́į da doo biniyé nahjį' kódeeshłííł .
