24:6:001:1	Jerúsalem áádóó Júdah t'óó báhádzidgo atídoolnííł
24:6:001:0	Bénjamin dine'é danohłíinii , Jerúsalem kintahdóó hasih haz'ą́ąjį' ch'ínóhjeeh ! Tekówadi deenásts'aa' bidee' bee í'dílzoołí bee ádidoohniił , índa Beth-hákaremdi bee ééhózin dooleeł biniyé didoołjeeh , háálá náhookǫsdę́ę'go doo yá'áshǫ́ǫ́góó atí'oolíiłii yit'íní yileeh .
24:6:002:0	Záíyan bich'é'é éí asdzání ayóó ánóolninii áádóó yilzhólíii nahjį' kódeeshłííł .
24:6:003:0	Dibé yaa ádahalyáanii bidibé yił haadahidoonééł ; hak'i dinaago biníbaal nideidiyoonił . T'ááłá'í nítínígo bił nahaz'ą́ą́góó bilį́į́' da'ałchozh doo .
24:6:004:0	Hak'iidohjah biniyé hasht'edadoohnééh . Nídoohjeehgo ałní'ní'ą́ągo hach'į' hadii'nééł . Hatihíláane' k'adę́ę e'e'aah , biká'ígi ii'a'go chaha'oh nineez daazlį́į́' .
24:6:005:0	Tł'ée'go áajį' hadii'néłígíí biniyé nídoohjeeh . Naat'áanii danilíinii bighan naaznilii atídadiilnííł .
24:6:006:0	Jó , t'áá ałtsoní bee Bóhólníihii ání , Da'ootsxeełgo tsin daotsxeełígíí Jerúsalem biná'ástł'inígíí bíilk'idgo ádaohłééh . Díí kin haal'áhígíí atídoolníiłii át'é ; ade áhólzinii t'éiyá ákwii hólǫ́ .
24:6:007:0	Tó háálį́į́dóó tó háálínígíí nahalingo hó ałdó' hats'ą́ą́dóó doo yá'áshóonii háálį́ . T'áá na'níle'dii iiná índa atí'él'į́ áádóó yínííł índa ada'deeznih t'éiyá t'áá áłahjį' hólǫ́ .
24:6:008:0	Jerúsalem nílíinii , shii' sizíinii doo nits'ą́ą́' dahodidooleełígíí biniyé índa nihidíínítąądgo doo áándidoolníłígíí biniyé áádóó ákwii kéyahgi diné t'áá kééhat'į́į dooleełígíí biniyé nani'dintingo í'díínílzin .
24:6:009:0	T'áá ałtsoní bee Bóhólníihii kóní , Ch'il na'atł'o'ii yaa nahodikaígíí nahalingo Ízrel dine'é daadziihii ts'ídá ałtso yaa nahodidookah . Ch'il na'atł'o'ii yíníbį́į'go t'áá ákǫ́ǫ́ bąąh náádidílnííh .
24:6:010:0	Dadi'doots'į́łígíí biniyé háí lá bich'į' hadeesdzihgo bi'deeshnih lá ? Bijaa' doo daalzį́į́'góó doo t'áá k'ad da'diizts'ą́ą' da , jó'akon . Shoo , Bóhólníihii bizaad t'óó yá nidahałt'i'go doo yaa bił dahózhǫ́ǫ da .
24:6:011:0	Éí bąą Bóhólníihii t'óó báhádzidgo báhóóchįįdígíí shii' hadeezbingo t'ą́ą́' kwíínísingo bąąh nanííłna' . Kintaa da'aztiingóó áłchíní nidaakaígíí índa dinééh áłah danilínígíí bik'ijį' yaanííł . Ahastiin danilíinii índa e'asdzą́ą́ danilíinii t'áá ahídawóltą'go áádóó haastihii yíighah asłį́į'ii dadoolnééł .
24:6:012:0	Dahaghan áádóó hakédaayah índa hoda'asdzą́ą́ éí náánáła' baa dahididoot'ááł , háálá éí kéyahgi kéédahojit'íinii hach'į' k'ídideeshnih , ní Bóhólníihii .
24:6:013:0	T'áá a'oh át'éédóó níléí aláahgo át'éii nilį́įjį' adáhonooní yaa ádadeest'ą́ągo adádanoolní , áádóó áhodoonííł yaa dahalne'ii danilį́į́dóó hodees'áago náá'iiłniihii danilį́įjį' binda'adlo' .
24:6:014:0	Hasht'ehodít'é , t'áá ałtsogóó hasht'ehodít'é , daaníigo shidine'é adadeeznihii t'óó t'įįhdígo nídayííłdzíí' . Nidi doo hasht'ehodít'ée da .
24:6:015:0	Doo daaldinígi ádaadzaa yę́ędą́ą́'ásh yaa yádaniizį́į́' ? Nidaga' , t'áadoo nidi yaa yádaniizį́į' da . Yik'ee yaa dadínóot'áłígíí nidi , t'áadoo bił béédahózin da . Éí bąą atíhásh'į́įjį' ahoolzhiizhgo hak'eh hodidoodleełgo t'áá íídą́ą́' nidaaztseedii bitahgóó nidahodidootsił , ní Bóhólníihii .
24:6:016:0	Bóhólníihii kóní , Da'nítiingóó nisoozį́įgo dasídóo'į́į́' . T'áá náshiinídą́'ídi bee nida'nitinii , éí yá'át'éehgo atiinígíí bínda'ídółkidgo ákǫ́ǫ́ deínóhkááh , áko nihii' naazíinii háá'áyį́į́h yik'ídahidookah . Nidi , Éí bik'ehgo doo dayíníikáah da doo , dadííniid .
24:6:017:0	Náá'áłdó' hada'asíid dooleełii éí , Deenásts'aa' bidee' bee í'dílzoołí ánínígíí deísółts'ą́ą́' , daaníi doo biniyé nihá ninínil . Nidi , Doo t'áá k'ad dasidiits'ą́ą' da , daaní .
24:6:018:0	Éí bąą , ał'ąą dine'é danohłíinii , da'íísółts'ą́ą́' índa , dah oonéełii nohłíinii , haa dabidi'doolníłígíí nihił béédahoozį́į́' .
24:6:019:0	Nihokáá' dine'é nohłíinii , da'íísółts'ą́ą́' : shizaad índa shibee haz'áanii doo dadzíists'ą́ą́'góó áádóó doo dazhniizį́'ígíí biniinaa díí dine'é yaa nitsídaazkéezgo ádáát'įįdii , éí doo yá'áshǫ' át'éego hak'ijį' kódeeshłííł , jó'akon .
24:6:020:0	Shííba kéyahdóó tsin bijeeh dilidgo łikání halchinii índa kéyah nízaadę́ę́' akaz łikanii kálamas wolyéii ha'át'íí biniyé shaa hageeh ? Didlidgo nááhániihii doo nisxin da , índa náádahołníihii doo shił łikan da .
