24:25:001:1	Bábilan dine'é biniinaa Ízrel dine'é bikéyah tsosts'idiin nááhaijį' doo naagháhí da dooleeł
24:25:001:0	Josáíyah biye' Jiihóíyakim éí Júdah dine'é aláahgo yinant'áago dį́į́' náhááh góne' áádóó ałdó' Nebukadnézzar éí Bábilan dine'é aláahgo yinant'áago ts'ídá áłtsé náhááh góne' Jeremáíyah éí Júdah dine'é t'áá ałtso baa yáti'go bił hóóne' yę́ędą́ą́' ,
24:25:002:0	Diyin God yá halne'ii Jeremáíyah éí Júdah dine'é t'áá ałtso índa Jerúsalem kin haal'áagi kéédahat'íinii t'áá ałtso yee yich'į' haadzíi'go kóní ,
24:25:003:0	Éíman biye' Josáíyah éí Júdah dine'é aláahgo yinant'áago táá'ts'áadah náhááh góne' áádóó wóshdę́ę́' díí jį́įjį' Bóhólníihii shich'į' hanádzihgo naadiin táá' nááhai , áko t'ah abíínídą́ą́' náádiish'nahgo nihich'į' yáshti'go t'áadoo dasidoots'ą́ą' da .
24:25:004:0	Bóhólníihii bá nidaal'a'ii t'áá ałtso Diyin God yá dahalne'ii danilíinii nihich'į' ałnááyiis'aad , nidi t'áadoo da'íísóołts'ą́ą' da , índa da'íídóołts'įįł biniyé t'áadoo bíká dah dadínóoht'ą́ą da .
24:25:005:0	Éí ádaaní , Ts'ídá t'ááłá'í nootínígo doo yá'áshǫ́ǫ́góó deínóhkáahii índa doo yá'áshǫ' baa nidaahkaii bits'ánóhkááh . Áádóó Bóhólníihii éí kéyah ałk'idą́ą́' danihizhé'é yę́ę índa nihí ałdó' kéyah hool'áágóó bii' kééhoht'į́į dooleeł biniyé nihaidiní'áanii bii' kééhoht'į́ .
24:25:006:0	Áádóó diyin dabidi'níinii bá nidaał'a' dooleeł biniyé índa bich'į' nidahohłáa dooleeł biniyé t'áadoo bich'į' dah nídoohjahí , áádóó baa nidaahkaígíí bee t'áadoo shá nídahołchįįhí , áko doo atínihideeshłíił da .
24:25:007:0	Nidi t'áadoo dashíísóołts'ą́ą' da , áko t'áá nihí baa nidaahkaígíí bee atí'ádadołnéehgo shá dahodoołchįįł , ní Bóhólníihii .
24:25:008:0	Éí bąą t'áá ałtsoní bee Bóhólníihii kóní , Shizaad t'áadoo shá dasidoots'ą́'ígíí biniinaa
24:25:009:0	náhookǫs biyaají dahooghandóó dah da'íldéehii t'áá ałtso náhideeshłahgo shá naal'a'í Bábilan dine'é aláahgo binanit'a'í Nébukadnézzar éí díí kéyahígíí yaatįįh doo'ish biniyé bich'į' deesh'aał , índa yikáá' kééhat'íinii áádóó bik'i dinaago ał'ąą dine'é kééhat'ínígíí ts'ídá t'áá ałtso yaatįįh dookah , áádóó ts'ídá ałtso atíhodeeshłííł , áádóó hak' ee t'óó bił adahayóigo , Tłehee yéi' , daaníigo hą́ą́h nídadikah doo , índa hool'áágóó doo naagháhígóó haz'ą́ągo áhodeeshłííł , jó'akon , ní Bóhólníihii .
24:25:010:0	Áádóó ałdó' diné yee ahił dahólzhóonii , áádóó diné yaa bił nidahoozhǫǫhii , áádóó iiyehii baa bił hózhóonii , áádóó bá'doogehii baa bił hózhóonii , áádóó tsé daashjéé' bikáa'gi tsé daashch'íní bee da'jik'áago dadiits'a'ii , índa bee hool'iní bee adinídíinii hats'ą́ą́' nahjį' kódeeshłííł .
