24:30:001:1	Yisnááhdę́ę́' nináhizhdoo'néełgo bee nihoot'ą́
24:30:001:0	Bóhólníihii éí Jeremáíyah yich'į' haadzíi'go kóní ,
24:30:002:0	Ízrel dine'é biDiyin God Bóhólníihii kóní , Saad bee nich'į' hahásdzíi'ii t'áá ałtso naaltsoos bikáá' ánílééh .
24:30:003:0	Bóhólníihii ání , Shoo , beiníłką́ągo shidine'é daasnáanii Ízrel dine'é áádóó Júdah dine'é nídeesh'ish , áádóó dabizhé'é yę́ę kéyah baa diní'áanii nahwé'éshniihgo biih nídahizhdoo'nééł , áádóó éí kéyah náádaahó doo , ní Bóhólníihii .
24:30:004:0	Áko Bóhólníihii díí saad yee Ízrel dine'é áádóó Júdah dine'é yaa halne'go haadzíí' .
24:30:005:0	Jó , Bóhólníihii kóní , Diné nitsinákahgo áádóó nídaaldzidgo dasidiits'ą́ą́' , áko doo hodéezyéel da .
24:30:006:0	K'ad na'ídíłkid , áádóó nił bééhoozį́į́' , Dinéésh t'áá adoołchííł ? Ákoshą' ha'át'íí biniyé asdzání éí awéé' bídii'na' nahalingo diné t'ááłá'í nítínígo biníí' gónaa yik'i dadéesnii' ? Áádóó ha'át'éegoshą' t'áá ádzíłtso hanii' deitsxoii ?
24:30:007:0	K'ad índa lą́ą t'áá íiyisí bik'e'íyée'go hoolzhish doo . Hádą́ą'da t'ah doo ákót'éego hodilzhíish da nít'éé' . Jéíkab bich'į' nahwii'náago hoolzhish doo , nidi bits'ą́ą́dóó yisdábidi'dooltééł .
24:30:008:0	T'áá ałtsoní bee Bóhólníihii ání , Éí baa hoolzhiizhdi hazéédadéetání há dahideeshtihgo bee dah dadziistł'óonii há dahideeshnish , áádóó dé'éyóní doo bá nináádajil'a' da doo ,
24:30:009:0	nidi Bóhólníihii haDiyin God áádóó aláahgo honanit'a'í David há nábiideesįįłgo bá nidajil'a' doo .
24:30:010:0	Bóhólníihii ání , Éí bąą shá naal'a'í nílíinii Jéíkab , t'áadoo náníldzidí , índa Ízrel dine'é nohłíinii , t'áadoo nitsidaohkaí , háálá doo deeghánídę́ę́' yisdánánihideesh'nił , áádóó niha'áłchíní éí kéyah yii' yisnááh danilį́į́dę́ę́' yisdádeeshnił , áádóó Jéíkab nídoodáałgo bił hodéezyéelgo hanályį́įh doo , índa ła'da doo bił yéé' ánáhodoodlíił da , jó'akon .
24:30:011:0	Bóhólníihii ání , Jó , yisdánídeeshtééł biniyé nił honishłǫ́ . Ał'ąą dine'é bitahgóó adanihinííłkaadii éí ałtso ádeeshdįįł , nidi doo ałtso ánihideeshdįįł da : doo haada yit'éii bee hasht'éénihideeshdlííł , áádóó t'áá ánóht'é atínánihiish'įįh doo .
