24:50:001:1	Bábilan dine'é bich'į' náasdi áhodoonííł baa hane'
24:50:001:0	Kót'éego Diyin God yá halne'ii Jeremáíyah binahjį' Bóhólníihii éí Bábilan dine'é índa Kaldíya dine'é bikéyah yik'ijį' haadzíí' .
24:50:002:0	Bábilan dine'é éí bi'disnááh ; Bel diyin bidi'níinii t'óó baa yáhásinígi ábi'diilyaa , Mérodak diyin bidi'níinii éí nibi'diisti' ; bi'eda'alyaii t'óó baa yáhásinígi ádabi'diilyaago nidabi'diisti'go ał'ąą dine'é bee bił dahołne'go dah na'at'a'go ádaohłééh . Baa dahołne'go hane' bitaadaoh'a'go t'áadoo nidanoł'iní .
24:50:003:0	Háálá náhookǫsdę́ę'go ła' dine'é hak'ijį' nídidoonéełgo hakéyah doo naagháhígóó ádahodoolíiłgo ákwii doo ła' kééhat'íní da doo ; diné éí naaldlooshii t'áá ałtso yił ch'íheezná .
24:50:004:0	Éí hoolzhishdi índa éí yoołkáałdi Ízrel dine'é índa Júdah dine'é daachago biDiyin God hádaat'į́įgo nídeíkáah doo , ní Bóhólníihii .
24:50:005:0	Záíyanjigo dadéez'į́į'go atiin yínda'ídíłkidgo kódaaníi doo , Sołtį' , bee aha'deet'áanii doo baa hodiyoo'nahii hool'áágóó bee Bóhólníihii bididiikah .
24:50:006:0	Shidine'é éí dibé yóó'aheeskaígíí nidahalin ; baa ádahalyáanii yóó'adabiizh'eezhgo dziłghą́ą'di t'óó bida'asnii' ; dziłghą́ą́'dóó dah daask'idgóó nidaakaigo háádahalyįhgi yaa dayooznah .
24:50:007:0	Bik'ídahaaskaígíí t'áá ałtso dabooldéél áádóó bi'ana'í ádaaní , Nihí doo ádidahodiilt'i' da , háálá Bóhólníihii éí t'áá ákogi é'ét'éii bee hólónígíí , t'áá éí Bóhólníihii bee dahazhé'é yę́ę bił chodahoo'íinii bich'į' ádił nida'jiisíí' .
24:50:008:0	Bábilan dine'é áádóó Kaldíya dine'é bitahdóó nahjį' haohnéehgo tł'ízíchǫǫh éí tł'ízí yilą́ąjį' yikahígíí nidahonohłin .
24:50:009:0	Háálá náhookǫsdę́ę'go Bábilan dine'é biniyé ał'ąą dine'é ayóó ádaat'éii ahiih dadoonéełgo yich'į' nídidoonééł ; yich'į' ałkéé' ni'ahidoo'niłgo dahodoołnééł ; diné doo na'asi'ii bik'aa' nidahalingo doo ła' ch'ééh nidadoobah da .
24:50:010:0	Kaldíya dine'é łíbidi'doocháásh áádóó diné łídahodoocháashii hwiih dadooleeł , ní Bóhólníihii .
24:50:011:0	Shíí' dooleełii atídaohłaaígíí danohłíinii , baa nihił dahózhǫ́ǫgo áádóó baa nihił nidahoozhǫǫhgo biniinaa índa béégashii yáázh hootsogóó naalgeedígíí índa łį́į́'chogi áníinii nidahonohłingo biniinaa
24:50:012:0	nihimá t'óó nihaa yádínóozįįł ; nihishchíinii t'áá íiyisí ádaa yádínóozįįł , háálá ał'ąą dine'é bitahdóó a'ohgo dine'é jílį́į doo , hoł haz'ánígi honoojítah dooleeł índa t'óó dzígaigo doo naagháhí da dooleeł , jó'akon .
24:50:013:0	Bóhólníihii t'óó báhádzidgo hashké niidzį́'ígíí biniinaa ákwii diné doo ła' kééhat'į́į da doo áádóó t'áá át'é doo naagháhí da doo . Bábilan dine'é yą́ą́h nídadikahii t'áá ałtso bik'ee t'óó bił adahayói doo áádóó , Tłehee yéii' , daaníi doo .
24:50:014:0	Ałtį́į́' nídaołtasii t'áá ánółtso Bábilan dine'é bináłzhíísh ; k'aa' t'áadoo áádaohsįįhí deínółt'óóh , háálá Bóhólníihii yich'į' ádił asiih .
24:50:015:0	Anaa'jį' hódadołwoshgo honáłzhíísh ; ááhoost'įįdgo yadidiilchid , yee niłdzilii naa'ahineezdee' ; binaa ahééda'astł'inii naa'aheeskaad , háálá kót'éego Bóhólníihii k'éédiidzaa . K'éédadohdlééh ; ła' ádayííł'įįdígi át'éego t'áá ákónídaohdlééh .
24:50:016:0	Bábilan kéyahdóó k'éé'dídléehii áádóó da'agizhgo bee iikaałí neich'idii naniłtseed ; diltłish bik'ee bił yéé' dahazlį́į'go t'áá bí bidine'é yich'į' nidahididoolwoł áádóó t'áá bí bikédaayahgóó anídahidínóochééł .
