24:24:001:1	Fig sikaadii bineest'ą' yá'át'éehii áádóó doo yá'át'éehii binahjį' na'nitinii
24:24:001:0	Ákohgo Bábilan dine'é aláahgo yinanit'a'í Nébukadnézzar éí Jiihóíyakim biye' Jekonáíyah , éí Júdah dine'é aláahgo yinanit'a'í nilį́įgo áádóó Júdah dine'é yinaat'áanii danilíinii índa kin ádeił'íinii áádóó béésh nitł'izii deitsidii Jerúsalem kin haal'áádóó yisnáago Bábilan kéyahdi yiní'eezhdóó bik'ijį' kót'éego Bóhólníihii bits'ą́ą́dę́ę́' shił áhoodzaa : shoo , Bóhólníihii bikin bii' sohodizin bich'éédą́ą'gi fig sikaadii bineest'ą' tsits'aa' naakigo bee niiką́ .
24:24:002:0	Fig áłtsé neest'ánígíí yá'ádaat'éehii tsits'aa' t'ááłá'í bee siką́ . Ła' éí fig doo yá'ádaat'éhígíí , t'áá íiyisí t'óó badaa'ihígíí , doo jóoyą́'ígi ádaat'éhígíí tsits'aa' bee siką́ .
24:24:003:0	Ákohgo Bóhólníihii áshidííniid , Jeremáíyah , ha'át'íísh yíní'į́ ? Áko ádíshní , Fig bineest'ą' . Ła' fig yá'ádaat'ééh , t'áá íiyisí yá'ádaat'ééh , áádóó ła'ígíí éí fig doo yá'ádaat'éeh da , t'áá íiyisí doo yá'ádaat'éeh da , doo jóoyą́'ígi ádaat'ée da .
24:24:004:0	Áádóó Bóhólníihii shich'į' hanáánáádzíi'go kóní ,
24:24:005:0	Ízrel dine'é biDiyin God Bóhólníihii kóní , Júdah kéyahdóó dabi'disnáago dah bi'diijaa' ígíí díí fig yá'ádaat'éhígíí nahalingo baa ákodínéesįįł . Éí bá yá'ádaat'éeh dooleeł biniyé kodóó Kaldíyadę́ę́' dine'é bikéyahgóó dahóół'aad .
24:24:006:0	Há yá'ádaat'éeh dooleeł biniyé hak'i dísh'į́į' doo , áádóó t'áá díí kéyahjį' nináhodeeshjih . Áádóó k'ee'ąą náázhnoot' į́įłgo ánáhodeeshdlííł . Doo t'ą́ą́' kónáhodeeshdlíił da , áádóó k'idahodideeshłééł . Doo hadahodiyeests'ǫł da .
24:24:007:0	Áádóó Bóhólníihii nishłį́įgo shéédahodzísin dooleełígíí biniyé hajéí ákót'éego bee nitsídadzikees dooleełígíí haa dadideesh'ááł , áádóó shidine'é dajílį́į doo , índa haDiyin God nishłį́į doo , háálá hajéí t'áá át'é bee shaa nízhdookah .
24:24:008:0	Nidi Bóhólníihii kóní , Fig t'óó baa'ihgo doo jóyą́ą́' át'ée daígi át'éego Júdah dine'é aláahgo binanit'a'í Zedekáíyah áádóó binaat'áanii danilíinii áádóó díí kéyah si'ą́ągi Jerúsalemgi dadzidziihígíí índa Ííjip kéyahdi kéédahat'ínígíí yóó'ahodideesh'ááł .
24:24:009:0	Áádóó t'áá tahwiidínéeshkałgóó nahasdzáán t'áá si'ą́ą́ nít'éé' bikáá'góó diné kéédahat'į́į́góó hak'ee t'óó bił adahayóigo , áádóó doo yá'áshóonii dajílį́įgo , áádóó há nidahałt'i'go , áádóó hwee ałdlodadilchíigo , áádóó hwee niyá'ádahodilti'go , índa dahódziihgo áhodeeshłííł .
24:24:010:0	Hó áádóó dahazhé'é yę́ę kéyah baa diní'áanii bikáá'dóó áhosíłdįįdjį' hatahgóó diltłish bee nidahodi'dootsiłii áádóó dichin nidahodoołtsiłii índa naa łniih bik'ee ázhdoodįįłii baa hodideesh'ááł .
