24:52:001:1	Zedekáíyah nant'áii
24:52:001:0	Zedekáíyah éí naadiin ła' binááhaigo aláahgo naat'áanii silį́į́' , áádóó Jerúsalem kin haal'áagi ła'ts'áadah nááhaijį' aláahgo naat'áanii nilį́į́ nít'éé' . Bimá éí Hamútal wolyéego Líbnah kin haal'áádóó Jeremáíyah yitsi' nilį́į́ nít'éé' .
24:52:002:0	Áádóó Jiihóiyakim éí Bóhólníihii boo'į́įgo doo yá'áshóonii yaa naayáii t'áá éí bik'ehgo baa nijiyá .
24:52:002:1	Jerúsalem kin haal'á bik'eh hodeesdlį́į́'
24:52:003:0	Áko Bóhólníihii báhóóchįįdígíí bee Jerúsalemgi áádóó Júdah kéyahgi hólónídóó áts'ą́ąjį' nahjį' kóhoolaa ; ákohgo Zedekáíyah éí Bábilan dine'é aláahgo binanit'a'í yich'į' nídiiltee' .
24:52:004:0	Náhást'éí náhááh góne' aláahgo naat'áanii nilį́įgo neeznáá nídízííd binih índa neeznáágóó yoołkáałgo Bábilan dine'é aláahgo binanit'a'í Nébukadnézzar áádóó bisiláo dah yinéełii t'áá át'é yił Jerúsalem deidoołnééł yiniyé niheezná , áko yinaagóó bíniilk'idgo ádayiilaa .
24:52:005:0	Áko Zedekáíyah aláahgo naat'áanii nilį́įgo ła'ts'áadah náháahjį' kin haal'áhígíí t'áá yináshzhiizh .
24:52:006:0	Dį́į́' nídízííd binih índa náhást'éí yoołkááł góne' éí kin haal'áagi ayóó át'éego hodííchįįdígíí biniinaa diné éí ch'iyáán bits'ą́ą́' ádaasdįįd .
24:52:007:0	Ákohgo kin haal'á tsé ahénátł'inígíí tł'óó'dę́ę'go yighá da'aznilgo , azhą́ Kaldíya dine'é bisiláo éí kin haal'á yinás'áa nidi , siláo t'áá ałtso éí aláahgo naat'áanii bitsin bił dah nídzíltsogóó naakigo tsé yítł'inígíí bita' ch'íhonít'i' góne' tł'ée'go ch'ídahineezhchą́ą́' , áko siláo éí dzígaijigo adahineezhchą́ą́' .
24:52:008:0	Nidi Kaldíya dine'é bisiláo éí aláahgo naat'áanii baa dadeeyáago Jériko dzígaidi yíníłná , áko hasiláo t'áá ałtso hats'ą́ą́' taozhjéé' .
24:52:009:0	Kót'éego aláahgo naat'áanii Zedekáíyah deisnáago Héímath kéyahgi Ríblah kin haal'áadi Bábilan dine'é aláahgo binanit'a'í yił yaa daaskai , áko áadi há nihoot'ą́ .
24:52:010:0	Áádóó Bábilan dine'é aláahgo binanit'a'í éí Zedekáíyah t'áá binááł haye'ké neistseed áádóó t'áá Ríblahgi Júdah dine'é binanit'a'í danilíinii t'áá ałtso yiyííghą́ą́' .
24:52:003:1	Júdah dine'é dabi'disnááh
24:52:011:0	Índa Zedekáíyah ałdó' bináá' haa'nil , áádóó Bábilan dine'é aláahgo binanit'a'í éí béésh da'ahólzha'í yee dahwiistł'ǫ́ǫgo Bábilan kéyahgóó tsinaabąąs bee hoł aníbą́ą́z . Áko dajiztsą́ bijį́įjį' awáalyaa góne' ahóółt'e' .
24:52:012:0	Nébukadnézzar éí Bábilan dine'é aláahgo binanit'a'í nilį́įgo náhást'éíts'áadah náhááh góne' , ashdla' nídízííd binih , neeznáá yoołkááł góne' , aláahgo naat'áanii yá naal'a'í léi' éí siláo yinanit'a'í nilíinii Nébuzar'éídan Jerúsalemjį' níyá .
24:52:013:0	Áádóó Bóhólníihii bikin bii' sohodizin áádóó aláahgo naat'áanii bikin áádóó Jerúsalemgi daakinígíí t'áá át'é índa diné dahayóii dabighan t'áá ałtso adeidiyiisk'ą́ą́' .
24:52:014:0	Áko Kaldíya dine'é bisiláo t'áá ałtso siláo yinanit'a'í yił naakaígíí éí Jerúsalem binaagóó ahééda'astł'inígíí naa'adayiiskaad .
24:52:015:0	Diné bahojoobá'ígíí ła' áádóó kin haal'áagi diné daadziihígíí índa Bábilan dine'é aláahgo binanit'a'í yaa dahineezhchą́ą'ii t'áá bił ahóltą'go t'óó ahojíyóigo éí siláo binanit'a'í Nébuzar'éídan ahwiizh'eezh .
24:52:016:0	Nidi siláo yinanit'a'í Nébuzar'éídan éí kéyahgi diné badahojoobá'ígíí ła' ch'il na'atł'o'ii yaa ádahalyą́ą dooleeł áádóó dá'ák'eh yindaalnish doo biniyé t'áá ákǫ́ǫ́ kéédahojit'į́įgo áhoolaa .
24:52:017:0	Áádóó Bóhólníihii bikin bii' sohodizin góne' áyah danii'áhígíí béésh łitsoii bee ályaii áádóó béésh łitsoii bii' tá'ádígisí bá si'ánígíí éí Bóhólníihii bikin daabíi'ii Kaldíya dine'é nidayiizti'go éí béésh łitsoígíí t'áá át'é Bábilan kéyahgóó adeizyį́ .
24:52:018:0	Índa ásaa' dantsaaígíí , łeeshch'iih bee hahakahí , kǫ' bee daniltsésí , bii' tá'ádígisí , tsin bijeeh dilidgo łikání halchinii bá łeets'aa' índa łeets'aa' béésh łitsoii bee ádaalyaii chodajooł'į́į́ nít'ée'ii t'áá át'é Bábilangóó adeizyį́ .
24:52:019:0	Áádóó łeets'aa' nímazí , áádóó tsííd bee nidaakáhí , bii' tá'ádígisí , ásaa' dantsaaígíí , bee hool'iní bá yadaa'áhígíí , tsin bijeeh dilidgo łikání halchinii bá łeets'aa' índa łeets'aa' bee yahiidzídígíí , éí óola nídoolyį́į'ii índa béésh łigaii nídoolyį́į'ii bee ádaalyaii , éí siláo binanit'a'í ayííyį́ .
24:52:020:0	Áko áyah nii'áii naakigo bii' tá'ádígisí nitsaaígíí áádóó dóola naakits'áadahgo béésh łitsoii bee ádaalyaago bii' tá'ádígisí biyaa sinilígíí éí aláahgo naat'áanii Sálaman yę́ę Bóhólníihii bikin bii' sohodizin yiniyé áyiilaii ayííyį́ ; éí béésh łitsoii bee ádaalyaii t'áá át'é doo dah hizhdooleehígi aníłdáás .
24:52:021:0	Íí'áhígíí t'áá áłah dego naadiin tsosts'id ké silá áníłnééz , tseebííts'áadah ké silá áníłtsááz , áko dį́į́' bik'ehgo íídéetą́ą́' ; biyi'dę́ę́' éí bii' hahodiidzą́ .
24:52:022:0	Áádóó bílátah dah si'ánígíí éí tsosts'idóó náá'áłníí' ké silá áníłnééz ; béésh łitsoii naneesdizgo da'ahólzha'go áádóó tsin pámgrenit aneest'ą' nahalingo éí bílátah dah si'ánígíí binázt'i'go ályaa ; łahjí t'áá ákót'éego béésh łitsoii bik'i naneesdizgo ałdó' ályaa .
24:52:023:0	Bááłk'iisjígo náhást'édiindóó ba'aan hastą́ą́h tsin pámgrenit bineest'ą' nahalingo dah sinil áádóó béésh łitsoii naneesdizgo da'ahólzha'í éí t'ááłáhídi neeznádiin tsin pámgrenit bineest'ą' nahalingo bąąh sinilgo ahééhool'á .
24:52:024:0	Siláo binanit'a'í éí aláahgo náá'iiłniihii Siiréíyah áádóó bikéé' góne' náá'iiłniihii Zefanáíyah áádóó diné táa'go dáádílkał yaa ádahalyánígíí dah yidii'eezh .
24:52:025:0	Áádóó kin haal'áádóó éí siláo yinanit'a'í nilíinii ła' áádóó diné tsosts'idgo , éí aláahgo naat'áanii yíighah naazíinii kin haal'áagi nidaakaígíí áádóó siláo dah yinéełii yinanit'a'í binaaltsoos ííł'íní , éí kéyahdóó dine'é ahíyiinilígíí índa kéyahdóó diné hastą́diingo kin haal'áagi nidaakaígíí dah yidii'eezh .
24:52:026:0	Áko éí dinéhígíí siláo yinanit'a'í Nébuzar'éídan éí Ríblah kin haal'áajį' Bábilan dine'é aláahgo binanit'a'í yich'į' yiní'eezh .
24:52:027:0	Áádóó Bábilan dine'é aláahgo binanit'a'í éí Héímath kéyahgi Ríblahdi nahastseed . Kót'éego Júdah dine'é hakéyahdóó dahodisnáago ch'ího'diisht'eezh .
24:52:028:0	Nébukadnézzar éí díí diné deisnáago ayíí'eezh ni : tsosts'id náhááh góne' Jew dine'é táadi mííldóó ba'aan naadiin táá' ayíí'eezh ;
24:52:029:0	Nébukadnézzar aláahgo naat'áanii nilį́įgo tseebííts'áadah náhááh góne' tseebíidi neeznádiindóó ba'aan tádiindóó ba'aan naaki Jerúsalem kin haal'áádóó anááyíí'eezh .
24:52:004:1	Jehóíyakin ch'énált'e'go Bábilangi ił jíílįįd
