24:16:001:1	Bóhólníihii éí bidine'é atíidoolíiłgo yich'į' haadzíí'
24:16:001:0	Áádóó ałdó' Bóhólníihii shich'į' haadzíi'go ání ,
24:16:002:0	Ne'asdzą́ą́ ts'ídá doo nee hodooleeł da , áádóó kwe'é niye'ké índa nitsi'ké ts'ídá doo hodooleeł da .
24:16:003:0	Háálá aye'ké índa atsi'ké kwe'é nidahaazhchínígíí áádóó díí kéyahgi amá nida'jiishchínígíí índa azhé'é há nida'iizhchínígíí Bóhólníihii hwee haadzíi'go kóní ,
24:16:004:0	Naałniih na'ałtseedii nidahodoołtsił . Doo haa yínííł hodoosįįł da , índa doo yóó'ádahodi'doolníił da . Chąą'gi át'éego nihokáá'góó nizdeeztąąd doo . Diltłish bee nidaho'didootsił áádóó dichin nidahodoołtsił . Dahats'íís daneeznánígíí éí tsídii wódahdi nidaat'a'ii áádóó naaldlooshii nihokáá'góó naaldeehii dahodooyį́į́ł .
24:16:005:0	Háálá Bóhólníihii kóní , Nii'oh nánídáahgo baa yínííł sínídá yíila' , áádóó baa atínídinídleeh yíila' , índa baa chaał nidísiih yíila' , háálá shibee ach'į' hózhóonii áádóó ajooba' índa aa a'ááh hasin díí dine'é bits'ą́ą́' nahjį' kóshłaa , ní Bóhólníihii .
24:16:006:0	Díí kéyahgi ayóó ádaat'éii áádóó a'ohgo ádaat'éii dadínóonééł . Doo yóó'ádahodi'doolníił da índa doo ła' haa tínídindleeh da doo , áádóó doo ła' haa yínííł nilį́įgo ni'ídidoolgish da , doo nidi bitsii' ałtso yidooshih da .
24:16:007:0	Daneeznáanii yaa atínídadindleehii doo ła'da yił da'dooyį́įłgo hayida'íídóołnih da , índa bizhé'é , doodaii' bimá yaa atínídindleehii éí yee hada'íídóolniiłii bee adlání bee doo ła'da yeidookáałgo yidoodlį́įł da .
24:16:008:0	Kin bii' áda'azįįdii góne' bitahgi díníídaałgo adííyį́į́ł áádóó adíídlį́į́ł biniyé doo yah adíínáał da .
24:16:009:0	Jó , Ízrel dine'é biDiyin God t'áá ałtsoní bee Bóhólníihii kóní , Shoo , níyoołkáałdi t'áá níníł'į́įgo díí haz'ą́ą́dóó diné bił nidahoozhǫǫhgo biinéé' hahosiilts'įįhii áádóó diné bił dahózhǫ́ǫgo biinéé' hahosiilts'įįhii áádóó diné da'iiyehii dabiinéé' hadahosiilts'įįhii índa asdzání báda'doogehii dabiinéé' hadahosiilts'įįhii ni' kódadeeshł ííł .
24:16:010:0	K'ad díí dine'é díí saad t'áá át'é bee bił hwíínílne'go , áko ádandidooniił , Ha'át'íishą' biniyé doo yá'áshónígi ánihi'didooníłígíí Bóhólníihii yee nihá haadzíí' ? Ha'át'éegishą' doo ákwii ádeiit'įįd da ? Bóhólníihii nihiDiyin Godshą' haa yit'éego bich'į' ádił nida'ayeelzíí' ?
24:16:011:0	Ákohgo ábididííniił , Bóhólníihii ání , Danihizhé'é yę́ę yóó'adashideez'ánígíí biniinaa diyin dabidi'níinii yá nidaas'a' , áádóó yich'į' nidahałáá nít'éé' , áko yóó'adashideez'ą́ągo shibee haz'áanii t'áadoo yik'eh dahóół'įįd da .
24:16:012:0	Áádóó nihí danihizhé'é yę́ę t'ah bilááh át'éhígo t'óó tsé'édinda ádaot'įįd ; jó , doo dashíínółts'ą́ą' da dooleełígíí biniyé t'ááłá'í nootínígo danihijéí doo yá'áshóonii biyi'dóó doo nihída'didzilgóó deínóhkááh .
24:16:013:0	Éí bąą díí kéyahdóó náánáła' kéyah doo éédahózingóó anihidínéeshkał . Nihí doo dahooh'į́į da , índa danihizhé'é yę́ę t'áadoo dahoołtsą́ą da , áko ákwii t'áá ákwíí jį́ índa t'áá ákwíí tł'éé' diyin dabidi'níinii bá chodaoh'į́į doo . Áadi doo nihich'ooshníi da doo .
24:16:014:0	Bóhólníihii ání , Éí bąą Bóhólníihii éí Ízrel dine'é Ííjip kéyahdę́ę́' ch'íiní'eezhii hiná , doo nááhá'níi da dooígíí bich'į' yoołkááł , jó'akon .
24:16:015:0	Nidi , Bóhólníihii éí náhookǫs kéyahdę́ę́' Ízrel dine'é ch'íiní'eezhii índa kédaayahgóó Ízrel dine'é tainooskaadę́ę́' nináyiizh'eezhii hiná , ha'níi doo . Áko dabizhé'é yę́ę kéyah baa diní'áníjį' nináhideesh'ish .
24:16:016:0	Bóhólníihii ání , Łóó' hadayiileehii t'óó ahayóí bíká i'ííł'a' ; éí hadah hodiyooloh , jó'akon . Áádóó éí bik'ijį' nidaalzheehii t'óó ahayóí bíká i'deesh'aałgo daadziłgóó áádóó deílk'idgóó índa tsé daak'izgóó háká nidaalzheehgo áádę́ę́' ninádahodiyoo'ish .
24:16:017:0	Háálá yee ádaat'éii t'áá át'é yish'į́ , áko ts'ídá t'áadoo shits'ąą dínót'į́łí da , índa doo ákwii ádajit'ínígíí nidi doo shits'ąą nidanil'in da .
24:16:018:0	Doo ákwii ádajíít'įįdígíí índa ádił nida'dziisíhígíí biniinaa naakidi ahą́ą́h nániiláago átsé k'ééhodideeshdlííł , háálá doo dahináanii bééda'alyaii doo daaldinii éí shikéyah bee dajííłchxǫ' , áko shíi'ii doo daaldinii bii' hadazdeesbįįd .
24:16:019:0	Bóhólníihii nílíinii , nee shidziilgo bine' na'adzi'ii shá nílį́ ; shich'į' náhodii'náahgo bine' ahinishchéehii nílíinii , nahasdzáán nidahonees'ą́ą́dę́ę́' ał'ąą dine'é naahakáahgo t'áá aaníí danihizhé'é yę́ę wooch'ííd áádóó t'áadoo nánídlíinii índa doo bee a'ídeełii bíí' daazlį́į́' , daaníi doo .
24:16:020:0	Dinéésh ła' diyin dabidi'níinii ádá ádeidoolííł ? Aoo' , nidi éí doo dadiyin da .
24:16:021:0	Éí bąą díí k'ad t'éiyá hoł béédahózingo áhodeeshłííł ; éí shidziilgo áádóó ayóó áshóodziilgo hoł béédahózin doo , áko Bóhólníihii éí shízhi'go hoł béédahodoozįįł .
