9:29:001:1	Filístiya dine'é éí David yaa ayadahooliih
9:29:001:0	Áko Filístiya dine'é bisiláo t'áá ałtso Éífek kin shijaa'ígi áłah silį́į́' , índa Ízrel dine'é éí Jézriyel nahós'a' tó háálínígi dah yinééł .
9:29:002:0	Filístiya dine'é bindanit'a'í éí neeznádiingo áádóó miil daalt'éego ałkéé' deínééh , índa David áádóó diné hoł naakaígíí éí Éíkish bił akéédę́ę́' níná .
9:29:003:0	Filístiya dine'é bindanit'a'í ádadííniid , Díí Hííbrew dine'éshą' kwe'é ha'át'íí yaa naakai ? Áko Éíkish éí Filístiya dine'é bindanit'a'í áyidííniid , Díísh doo David át'į́į da ? Éí Ízrel dine'é aláahgo binanit'a'í Saul yá naal'a'í , t'áá shił tádí'aashgo díí jį́į́góó yoołkááł áádóó nináháháahgo hoolzhish , áko t'áá shich'į' dah diiyáádóó díísh jį́įjį' doo aaníinii doo ła' bá shił bééhoozin da .
9:29:004:0	Nidi Filístiya dine'é bindanit'a'í doo hasht'é'égóó hach'į' hashké daniidzį́į́' áádóó ádahodííniid , Díí diné nihééníł'á , áko kéyah baa dííní'ą́ yę́ęgóó nihéédoodááł ; bíni'dii anaa'góó doo nihił jidoobah da , áko anaa'gi doo nihi'ana'í dooleeł da . Haash yit'éego binanit'a'í yił k'éná'ahididoo'niił ? Doósh nihisiláo bitsiits'iin hizhdoołniiłígíí bee ákójíléeh da ?
9:29:005:0	Da' díísh doo David át'į́į da ? Éí baa hoł dahózhǫ́ǫgo da'jilzhishgo dahojitaałgo kódabizhdííniid , Saul éí damíilgo neistseed , índa David éí neeznáá damííl biláahgo neistseed .
9:29:006:0	Ákohgo Éíkish éí David hágo yidííniidgo ííłní , Ts'ídá t'áá aaníí Bóhólníihii hiná ; ákót'éego ts'ídá t'áá aaníí t'áá ákóne' ánít'į́ , índa hidínááhgóó ts'ídá nizhónígo shinááł shił anaa' áníł'į́ , háálá yoołkááłdę́ę́' shéíníyáádóó díí jį́įjį' doo aaníinii ts'ídá t'áadoo ła' ná shił bééhoozin da . Azhą́ ákót'ée nidi naat'áanii danilíinii doo nich'ijí na'astą́ą da .
9:29:007:0	Nílááh , t'óó náádááł ; nił hózhǫ́ǫgo náádááł , áko Filístiya dine'é bindanit'a'í bił dahoníshǫ́ǫgo yá'át'ééh .
9:29:008:0	Áádóó David éí Éíkish ábizhdííniid , Haashą' yít'įįd ? Yoołkááłdę́ę́' nił naash'aashgo díí jį́įdi ha'át'íí ná naal'a'í bá nił bééhoozin ? Bóhonishníihii aláahgo naat'áanii nílíinii , ha'át'éegoshą' ni'ana'í doo bił da'ahideeshgą́ął da ?
9:29:009:0	Áko Éíkish éí David ánéídoo'niid , Diyin God bidiyingo naal'a'í nahonílingo shinááł ts'ídá t'áadoo bee nik'íhót'ahí daígíí shił bééhózin , nidi Filístiya dine'é bindanit'a'í ádaaní , Anaa'góó doo nihił dajidoobah da .
9:29:010:0	Ákohgo t'áá íiyisí yikáíhdą́ą́' ninanit'a'í bá nidaal'a'í nił yíkaígíí ch'éédaasdzidgo ałtso hoos'įįdgo dah nídidoohkah .
9:29:011:0	Áko David éí diné bił nijikaígíí t'ah abíínídą́ą́' ch'éédaasdzidgo Filístiya dine'é bikéyahgóó aníjookai . Nidi Filístiya dine'é éí Jézriyel nahós'a' góde dah diiná .
