9:15:001:1	Saul doo ak'eh hóół'įįd dago doo bidi'niidzį́į' da
9:15:001:0	Sámuel éí Saul áyidííniid , Bóhólníihii éí ak'ah nik'i yeideesiłgo bidine'é Ízrel binant'áa doo biniyé shiníł'a' . Éí bąą k'ad Bóhólníihii bizaad yísíníłts'ą́ą́' .
9:15:002:0	T'áá ałtsoní bee Bóhólníihii ání , Ámalek dine'é éí Ízrel dine'é ádajííł'įįdígíí bénáshniih . Jó , Ííjip kéyahdę́ę́' ch'ékai yę́ędą́ą́' bidááh nijiyeekai .
9:15:003:0	K'ad nílááh , Ámalek dine'é nidadoołtsił índa bee dahólónígíí t'áá ałtso ádadoołdįįł , doo ła' áádadoohsįįł da , nidi diné áádóó asdzání , awéé'chí'í índa awéé' t'ah da'ałt'o'ii , béégashii áádóó dibé , ghą́ą́'ask'idii índa télii ałtso ádadoołdįįł .
9:15:004:0	Áádóó Saul éí Tiiléíyim kin haal'áagi diné áłah ájiilaago jííłta'go diné t'áá ni' nidaabaahígíí naakidi neeznádiindi mííl lá índa Júdah dine'é éí neeznáadi mííl lá .
9:15:005:0	Áko Saul éí Ámalek dine'é bikin haal'áagi jiníyá áádóó yíldzisdę́ę́' baa nidziyeedzá .
9:15:006:0	Áádóó Saul éí Kííni dine'é ábizhdííniid , Nihílááh , dah doohkáahgo Ámalek dine'é bits'ánóhkááh , doodago éí t'áá bił ánihideeshdįįł , háálá Ízrel dine'é t'áá ałtso Ííjip kéyahdę́ę́' ch'ékai yę́ędą́ą́' baa dajiisoohba' . Áko Kííni dine'é éí Ámalek dine'é bits'ájíkai .
9:15:007:0	Áádóó Saul éí Ámalek dine'é neistseed ; Hávilah nahós'a'dóó Shur nahós'a'góó Ííjip kéyah bíighahjį' ákwáát'įįd .
9:15:008:0	Áko Ámalek dine'é aláahgo binanit'a'í Éígag t'áá hináago nízhdiiłtį́ , nidi diltłish bee diné ałtso nidadzistseed .
9:15:009:0	Nidi Saul áádóó diné danilíinii éí Éígag yi'oh áda'asdįįdgo dibé áádóó béégashii áádóó béégashii yáázh daalk'ai índa dibé yázhí agháadi bił yá'ádaat'éhígíí áádóó ha'át'íhída bił yá'ádaat'éhígíí t'áá ałtso t'áadoo ádeisdįįd da , nidi t'áá ałtsoní t'óó badaa'ihígíí índa doo danoodzį́į́' ádaat'éhígíí éí ałtso ádeisdįįd .
9:15:010:0	Bóhólníihii bizaad yee haadzíi'go Sámuel áyidííniid ,
9:15:011:0	Saul aláahgo naat'áanii nilį́įgo áshłaaígíí bąąh shíni' , háálá doo shikéé' yigáał da silį́į́' índa shibik'eh ó'oo'níiłii doo yik'ehgóó át'ée da . Áko Sámuel éí baa yínííł dzizlį́į́' áádóó Bóhólníihii níjookąąhgo yiską́ .
9:15:012:0	Áko Sámuel t' ah abínídą́ą́' nízhdii'na'go Saul bidááh deeshááł jiniizį́į́' ; nít'éé' Sámuel hoł hóóne' , Kármel kin shijaa'gi Saul níyá , hodoo'niid , índa áadi tsé bee ééhániihii ádá áyiilaa , áádóó t'óó Gílgal haz'ání góyaa ííyá ni .
9:15:013:0	Áádóó Sámuel éí Saul yaa níyá , áko Saul áhodííniid , Bóhólníihii nik'ijidlí , shí éí Bóhólníihii yee haadzíi'ii bik'eh ásdzaa .
9:15:014:0	Áádóó Sámuel ádííniid , Áko ha'át'éegoshą' díí dibé índa béégashii ádaaníigo diists'a' ?
9:15:015:0	Áádóó Saul ánáádoo'niid , Ámalek dine'é bits'ą́ą́dę́ę́' nídeineeskaad , háálá diné éí dibé índa béégashii agháadi yá'ádaat'éehii áádeisįįd , éí Bóhólníihii niDiyin God bich'į' náádahaniih doo biniyé , áádóó łahjį'ígíí éí ałtso ádasiildįįd .
9:15:016:0	Ákohgo Sámuel áhodííniid , Át'ahálo , tł'éédą́ą́' Bóhólníihii áshidííniidígíí bee nił hodeeshnih . Áádóó áhozhdííniid , Haa'íyee' , baa hólne' .
9:15:017:0	Áko Sámuel ázhdííniid , Ayáhígo ádíínílzin yę́ędą́ą́' Ízrel dine'é biląąjį' sínízį́įgo áń'diilyaa , Ízrel dine'é aláahgo binanit'a'í nílį́įgo binanít'áa doo biniyé Bóhólníihii ak'ah nik'i yayiiziidgo ni'doolzį́į' ni' .
9:15:018:0	Áádóó Bóhólníihii nííł'aadgo ání , Nílááh , Ámalek dine'é ádił nida'ílzíihii áníłdįįh , áádóó ałtso ásíníłdįįdjį' bił da'ahígą́ą doo .
9:15:019:0	Ha'át'íishą' biniyé Bóhólníihii bizaad doo bik'eh hosíníł'įįdgóó t'óó diné bindaalye'é ła' náhíníláá' , áádóó Bóhólníihii binááł doo yá'áshónígi íinidzaa ?
9:15:020:0	Áko Saul éí Sámuel áyidííniid , T'áá aaníí Bóhólníihii bizaad bik'eh honish'į́į́ nít'éé' , índa Bóhólníihii t'áá shił'áágóó bá hidishááh nít'éé' , áádóó Ámalek dine'é aláahgo binanit'a'í Éígag bił nánísht'áázh , nidi Ámalek dine' é éí ałtso áséłdįįd .
9:15:021:0	Nidi diné éí Ámalek dine'é bindaalye'é bitahdóó dibé índa béégashii ádadooldįįł nít'é'ígíí agháadi yá'ádaat'éehii éí Gílgal haz'ánígi Bóhólníihii niDiyin God bich'į' náádahidoonih biniyé nídeidiinil .
9:15:022:0	Áádóó Sámuel ání , Da' Bóhólníihii éí didlidgo náádahaniihii áádóó náádahidoonihii Bóhólníihii bizaad bik'eh hól'ínígíísh biláahgo ayóó át'éego yaa bił hózhǫ́ ? Jó , ak'eh hól'ínígíí éí nááhániihii biláahgo yá'át'ééh , índa adzíists'ą́ą'go éí deenásts'aa' bik'ah nááhániihii biláahgo yá'át'ééh .
9:15:023:0	Háálá na'alteeh éí adilgąshiigi át'éego ádił oodzíí' át'é , áádóó doo na'ídídzil éí doo ákwii áhát'íinii índa eda'alyaii bich'į' nahadláii át'é . Háálá Bóhólníihii bizaad doo ninizį́į' da ; bí ałdó' aláahgo naat'áanii nílį́į dooígíí doo yiniizį́į' da .
9:15:024:0	Áko Saul éí Sámuel áyidííniid , Ádił asisziih . Jó , Bóhólníihii bibik'eh ó'oo'níiłii áádóó nizaad k'íníti' , háálá diné bik'ee shił yé'ígíí biniinaa dabizaad bik'eh íisdzaa .
9:15:025:0	Éí bąą k'ad , baa nánooshkąąh , ádił ni'ayésí'ígíí shá yóó'anídí'aah áádóó shił nídít'aash , áko Bóhólníihii bich'į' nahodeeshłaał .
9:15:026:0	Áko Sámuel éí Saul ánááyidoo'niid , Doo nił nihéédeesht'ash da , háálá Bóhólníihii bizaad doo ninizį́į' da , índa Ízrel dine'é aláahgo binanit'a'í nílį́į dooígíí éí Bóhólníihii doo yiniizį́į' da .
9:15:027:0	Áko Sámuel dah diigháahgo Saul ha'éé' yąąh dah neeshjį́įdgo hak'i nayíízǫ́ǫ́z .
9:15:028:0	Áko Sámuel éí Saul áyidííniid , Bóhólníihii éí Ízrel dine'é binanit'a'í nílíinii díí jį́ nąąh néist'įįd , áádóó bił kééhót'íinii ła' yeidiní'ą́ ; éí niláahgo yá'át'éehii nilį́ .
9:15:029:0	Áko ałdó' Ízrel dine'é Yee Bidziilii doo biyooch'íid da , doo nidi łahgo át'éego tsíńdíkees da , háálá doo diné nilį́įgo łahgo át'éego tsíńdookos da .
9:15:030:0	Áko Saul ázhdííniid , Ádił asisiih , nidi shidine'é aląąjį' naazíinii áádóó Ízrel dine'é dabinááł shił nílį́į dooígíí k'ad baa nánooshkąąh , shił nídít'aash , áko Bóhólníihii niDiyin God bich'į' nahodeeshłaał .
9:15:031:0	Áko Sámuel éí Saul yił nát'áázh áádóó Saul éí Bóhólníihii bich'į' nahodzisá .
9:15:032:0	Ákohgo Sámuel ání , Ámalek dine'é aláahgo binanit'a'í Éígag bił nídiit'aash . Áádóó Éígag éí łį́į́' bikétsíín be'estł'ónígi át'éego haa níyá . Áko Éígag ání , Dooládó' t'áá aaníí aniné bik'e'íyée' da nít'éé' .
9:15:033:0	Nidi Sámuel ání , T'áá nidiltłish bee asdzání bada'áłchíní ásíníłdįįdígi át'éego sáanii bitahgi nimá ałdó' ba'áłchíní ádooldįįł . Áko Gílgal haz'ánígi Bóhólníihii binááł Sámuel éí Éígag niyiisne' .
9:15:034:0	Áádóó Sámuel éí Réímah kin haal'áágóó ííyá ; Saul éí Gíbiyah kin haal'áadi bighangóó anáádzá .
9:15:035:0	Áko Sámuel dadziztsą́ bijį́įjį' Saul t'áadoo nídziiltsą́ą da , nidi Sámuel éí Saul baa yínííł nijiyá . Bóhólníihii éí Saul wolyéii Ízrel dine'é aláahgo binanit'a'í áyiilaa yę́ę yąąh bíni' .
