9:20:001:1	David áádóó Jánathan ałch'oo'ní
9:20:001:0	Áádóó Réímah nahós'a'gi Néíyathdóó David dah náázhdíníichą́ą'go Jánathan baazhníyáago ábizhdííniid , Haa lá yít'įįd ? Ha'át'íísh bee doo ákwii íít'įįd da ? Índa nizhé'é binááłshą' ha' át'íí bee ádił ni'iisíihgo biniinaa hodiyeeshxééł shó'ní ?
9:20:002:0	Áko áhodííniid , Dooda lą́ą ! Doo dadíítsaał da . Jó , shizhé'é éí ha'át'íida ayóó át'éii , doodaii' áłts'ísígo át'éii t'áadoo yee shił halne'é doo áyóle' át'ée da , áko ha'át'íí biniyé shizhé'é díí shits'ąą neinił'in doo ? Dooyee' ákót'į́į da .
9:20:003:0	Áádóó David ánáádoo'niidgo ání , Nizhé'é ts'ídá t'áá yíní át'éego bił bééhózingo éí ajooba' bee shich'oninéego shaa nitsíníkeesígíí bąą ání , Háni'dii Jánathan díí doo bił bééhózin da le' , doodago éí yínííł dooleeł . Nidi ts'ídá t'áá aaníí Bóhólníihii hiná , índa ni ałdó' hiníná ; ákót'éego dadeestsaałjį' t'ááłáhídi nináádi'dooltał hadziih .
9:20:004:0	Ákohgo Jánathan éí David áyidííniid , T'áá ha'át'íhída bídin nílį́įgo éí naa jooshba' doo .
9:20:005:0	Áko David éí Jánathan áyidííniid , Jó , yiską́ągo dah yiitįįh ; aláahgo naat'áanii bikáá' adání bich'į' bił dah dínéeshkeełgo doo deesih da , nidi shíni' yishááł , táá' yiską́ą́dóó hiłiijį́įjį' hootsotahgi nídideesht'į́į́ł .
9:20:006:0	Nizhé'é shíhoosa' ládą́ą́' kóbijiniih , David ts'ídá haleebee náshookąąhgo badi'ní'ą́ągo Béthlehem t'áá bí bikin shijaa'ígóó anáádzá , háálá t'áá nínáhah bik'eh bik'éí t'áá ałtso náá'iiniih bá néit'aah .
9:20:007:0	Yá'át'ééh lą́ą , dííniidgo éí ná naal'a'í bił hózhǫ́ǫ doo , nidi t'áá íiyisí báhóóchįįdgo éí t'áá aaníí doo yá'át'ééhgóó shąąh tsídookos .
9:20:008:0	Éí bąą ná naal'a'í t'áá íiyisí baa jiiníbaah , háálá Bóhólníihii binááł bee aha'deet'áanii bee ná naal'a'í bił aha'díínít'ą́ . Nidi doo ákwii é'ét'éii shii' hólǫ́ǫgo t'áá ni shidiyííłhééł ; ha'át'íísh ałdó' biniyé nizhé'é bich'į' shił díí'ash ?
9:20:009:0	Áádóó Jánathan áhodííniid , Doo ákóndi'doolníił da ! Háálá ts'ídá t'áá yíní át'éegi shił bééhózingo shizhé'é doo yá'át'éhígi ándoolíiłgo doósh nił hodeeshnih da ?
9:20:010:0	Ákohgo David éí Jánathan ábijiní , Nizhé'é t'áá na'níle'dii nich'į' haadzíi'goshą' , éí háí shił hodoolnih ?
9:20:011:0	Áádóó Jánathan éí David áyidííniid , Tį' , hootsogóó diit'ash . Áko t'áá ájíłah ákǫ́ǫ́ jiní'áázh .
9:20:012:0	Áko Jánathan éí David áyidííniid , Ízrel biBóhólníihii Diyin God binááł ! Yiską́ągo , doodaii' naakiiską́ągo t'áá kwe'é nahalzhiishgo shizhé'é naa nitsíkeesígíí shił bééhodoozįįł ; ákohgo yá'át'éehgo naa nitsíkees ládą́ą́' doósh nił nínáhodeeshnih da ?
9:20:013:0	Nidi nits'ąą díníł'į́į'go Bóhólníihii éí Jánathan yinishyéii atíshidoolííł , áádóó t'ah yówehígi át'éego shich'į' áhodoonííł . Shizhé'é ts'ídá atínídoolííł t'éí yaa nitsíkeesgo éí bee nił hodeeshnih áádóó háájída andeesh'aałgo hózhǫ́ǫgo nanináa doo . Áko Bóhólníihii éí shizhé'é yił hólǫ́ǫ́ nít'éé' yę́ęgi át'éego nił hólǫ́ǫ doo .
9:20:014:0	T'ah hinishnáago Bóhólníihii bee ajooba' yee ayóó'ó'ó'níinii doo t'áá shí t'éí shił bééhózingo ádíílíił da , ákót'éego doo dadeestsaał da .
9:20:015:0	Áko ne'ajooba'ii sha'áłchíní náás ahoolchíiłii hool'áágóó doo bits'ą́ąjį' ádíílíił da . Bóhólníihii éí David bi'ana'í t'ááłá'í nítínígo nahasdzáán bikáa'gi áyoołdįįłgo doo nihits'ą́ąjį' kódíílíił da .
9:20:016:0	Jánathan éí bee aha'deet'áanii binahjį' David ba'áłchíní yił ahada'deest'ą́ągo ání , Háni' Bóhólníihii éí David bi'ana'í k'éididoodlííł .
9:20:017:0	Áko Jánathan binahjį' David ádee hanááyiyííłdzíí' , háálá ayóó'ájó'ní ; jó , t'áá hó hwii' sizíinii ayóó'ájó'nínígi át'éego David ayóó'ájó'ní .
9:20:018:0	Áádóó Jánathan éí David áyidííniid , Yiską́ągo dah yiitįįh ; dah nánídaah yę́ęgi doo dah sínídáágóó nídahozdoosah .
9:20:019:0	Táá' yiską́ągo díí baa nídiildee'go ts'ídá tsxį́įłgo nídidíít'į́į́łgóó díínááł , áádóó Íízel tsé si'ánígi shiba' sínídáa doo .
9:20:020:0	Áko índa k'aa' táa'go bee yínísht'óóh nahalingo t'óó bíighah góne' bee iizhdiyeesht'oh .
9:20:021:0	Áádóó , shoo , ákǫ́ǫ́ ashkii deesh'aałgo , Nílááh , k'aa' náhílááh , bidideeshniił . Áádóó ashkii ánáábidideeshniił , Shoo , k'aa' wóshch'ishjígo ahineezdee' ; náhílááh , bidííniidgo áádę́ę́' ch'ídíínááł ; nich'į' k'é hólǫ́ǫgo t'áadoo atínóle'ígóó hinínáa doo ; ts'ídá t'áá aaníí Bóhólníihii hiná ; ákót'éego hinínáa doo .
9:20:022:0	Nidi ashkii , K'aa' niláahdi ahineezdee' , bidííniidgo éí nílááh yínáał doo , háálá Bóhólníihii ákǫ́ǫ́ anííł'a' doo .
9:20:023:0	Jó , bee ahadi'niit'ą́ągo ałch'į' bee haiidzíi'ii bídéét'i'go ádíshní , Bóhólníihii nihita'gi hool'áágóó hólǫ́ǫ le' .
9:20:024:0	Áko hootsogi David nídeest'į́į́' , áádóó dah yiitą́ągo aláahgo naat'áanii adooyį́į́ł yiniyé dah neezdá .
9:20:025:0	Áádóó bee nástł'ahjí aláahgo naat'áanii dah nánídaahígi dah neezdá , áádóó Jánathan yiizį' , áádóó Ábner éí Saul bíighahgi dah neezdá ; David dah nánídaah yę́ęgi éí doo naagháhí da .
9:20:026:0	Nidi éí bijį́į́dą́ą́' Saul éí doo ha'át'íhída dííniid da , háálá íinízin , T'áadoo le'égi daats'í hach'į' áhóót'įįd . Jó , t'óó haa'ih ; t'áá aaníí , t'óó haa'ih , nízin .
9:20:027:0	Áádóó biiskání naaki jį́į́ góne' David dah nánídaah yę́ęgi t'áá bíni' nááhást'ą́ . Áko índa Saul biye' Jánathan nayídééłkidgo ání , Ha'át'éegoshą' Jésii biye' adą́ą́dą́ą́' áádóó jį́į́dą́ą́' nída'iidį́įhgi t'áadoo níyáa da ?
9:20:028:0	Áádóó Jánathan éí Saul yich'į' haadzíi'go ání , David éí haleebee náshoohkąąhgo Béthlehem kin shijaa'góó bi'níłnii' ,
9:20:029:0	David kóníigo bąą , Shíni'dii yishááł , baa nánooshkąąh , háálá shik'éí éí kin shijaa'gi náá'iiniih dayiił'aah , índa shínaaí áadi nanináa doo , shidííniid . Áko k'ad ajooba' bee shich'oninéego shaa nitsíníkees ládą́ą́' , háni'dii shínaaíké nídeideestsééł biniyé ákǫ́ǫ́ deeshááł . Díí biniinaa aláahgo naat'áanii ná'ádįįhgi David doo nádáah da .
9:20:030:0	Áádóó Saul éí yik'ee nídiiltáalgo Jánathan yich'į' báhóóchįįdgo áyidííniid , Asdzání be'ádíláahgo naalteehii biyáázh nílíinii , da' doósh shił bééhózin da , t'óó baa yáhásinígi át'éego Jésii biye' nídiniłtį́ , índa nimá nidi t'óó baa yáhásinígi át'éego t'áá ákohígo nííníłt'e' ?
9:20:031:0	T'áá nahasdzáán bikáá' Jésii biye' hináago ni índa aláahgo naat'áanii nílį́įgo bee níhólníihgo bił haz'áanii doo chánah dooleeł da . Éí bąą bíká i'dííł'aałgo shich'į' nidahodoohłóós , háálá t'áá aaníí dazdootsaał .
9:20:032:0	Áádóó Jánathan éí bizhé'é Saul áyidííniid , Ha'át'íishą' biniinaa hodi'yoolyééł ? Haash jíít'įįd ?
9:20:033:0	Áádóó Saul éí tsiidétáán yee hwííníisi' , áko Jánathan hoł bééhoozin , hazhé'é éí David ts'ídá diyoolyéłí , yó'níí lá .
9:20:034:0	Áko Jánathan éí t'óó báhádzidgo báhóóchįįdgo bikáá' adání si'ánídóó nídii'na' áádóó naaki jį́į́ góne' t'áadoo ajííyą́ą' da , háálá David baa yínííł dzizlį́į́' ; jó , hazhé'é éí David t'óó baa yáhásinígi áyííł'įįd .
9:20:035:0	Áádóó t'ah abínídą́ą́' Jánathan éí hootsogi David bá nihozhní'áníjį' ashkii yázhí bił jiní'áázh .
9:20:036:0	Áádóó ashkii ábizhdííniid , K'aa' bee adizhyeesht'ohígíí nááhidííla biniyé ákǫ́ǫ́ nídidíílwoł . Áko ashkii nídiilwodgo k'aa' bee biláahjį' iidziist'oh .
9:20:037:0	Áádóó ashkii éí Jánathan k'aa' yee adziist'ohíjį' yílwodgo Jánathan ábidííniid , Da' niláahdiísh k'aa' doo ahineezdee' da ?
9:20:038:0	Áádóó Jánathan éí ashkii bíká ázhdííniid , Tsxį́įłgo , nánílyeed ; t'áadoo t'áá aadi nanináhí ! Áko Jánathan be'ashkii éí k'aa' náyiizláá' áádóó binanit'a'í yaa nálwod .
9:20:039:0	Nidi díí biniyé áhóót'įįdígíí ashkii doo bił bééhózin da ; Jánathan áádóó David t'éiyá bił bééhózin .
9:20:040:0	Áko Jánathan hak'aayééł éí ashkii baazhnínilgo ábijiní , Nílááh , kin haal'áágóó díjááh .
9:20:041:0	Áádóó ashkii dah diilwodgo t'áá áko shádi'ááh bich'ijígo David nízhdii'na' áádóó ni'jį' nitsizhdinígo'go táadi yaa áńdziidzaa áádóó ahidiníłnáago ahidzizts'ǫs índa David yéego hajííchxago ahaa jíícha .
9:20:042:0	Ákohgo Jánathan éí David áyidííniid , Nílááh , hózhǫ́ǫgo yínááł le' , shą́ą́' Bóhólníihii bízhi' binahjį' t'áá ákót'éego ałhadi'niit'áani' , Bóhólníihii nihita'gi hólǫ́ǫ doo , índa shéélchíín áádóó néélchíín bita'gi hool'áágóó hólǫ́ǫ doo . Áádóó nízhdii'na'go dashdiiyá ; Jánathan éí kin haal'áágóó anáádzá .
