9:24:001:1	Engíídaigi David éí Saul t'áadoo yiyiisxį́į da
9:24:001:0	Ákódzaadóó bik'ijį' Saul éí Filístiya dine'é yikéé' yijah yę́ę t'ą́ą́' nákaigo , Shoo , David éí Engíídai nahós'a' honoojíidi diné bił nijikai , hodoo'niid .
9:24:002:0	Ákohgo Saul éí Ízrel dine'é bitahdóó na'abaah yee danilíinii táadi mííl néidiinilgo Tł'ízí Ałchinii Bitsétah hoolyéégóó David índa diné bił naakaii há adeineeztą́ą́' .
9:24:003:0	Áko atiingi dibé dabighan léi'góó jookah , ákwe'é tsé'áán góne' Saul nii'ozhdoogááł biniyé yah ajííyá . David ałdó' ná'áne'ídi diné hoł naakaígíí hoł naháaztą́ .
9:24:004:0	Áko David éí diné bił nijikaígíí ádahodííniid , T'áá aaníí Bóhólníihii nich'į' yee haadzíi'ii beiníłką́ ; jó , ni'ana'í nílák'ee yidíí'ą́ . Áko nizhónígi át'éego nich'į' áhodooníłígi át'éego bich'į' ádíínííł . Áádóó hazhóó'ógo David nízhdii'na'go Saul bi'éénééz łahjį' bits'ą́ą́' bizhdííłgizh .
9:24:005:0	Áádóó kódziidzaadóó bik'ijį' bik'ee David hwii' hadahodéébįįd , háálá Saul bi'éé' k'ízhnígizh .
9:24:006:0	Áádóó diné bił nijikaígíí ábizhdííniid , Bóhólníihii éí shinanit'a'í kódeeshłíiłgo doo yee shá has'ą́ą da ; Bóhólníihii ak'ah yik'i yayiiziidgo yiyíísį́į'ii doo ákwii ííł'įįd da ; jó , Bóhólníihii ak'ah yik'i yayiiziidgo yiyíísį́į'ii nilį́ .
9:24:007:0	Áko David éí diné bił nijikaígíí díí saad bee bich'į' hadzoodzíi'go t'áadoo Saul yik'iijée' da . Nidi tsé'áándę́ę́' Saul ch'íníyáago dah nídiidzá .
9:24:008:0	Ákódzaadóó bik'ijį' David nídii'na'go tsé'áándę́ę́' haayáago Saul yikéé' hadoolghaazhgo ání , Bóhoníshníihii , aláahgo shinanit'a'í nílíinii . Áko nít'éé' Saul t'ą́ą́' nídéét'į́į'go hoołtsą́ , t'áá áko David yaa ádziidzaago ni'jį' tsé'yaa jineeshjool .
9:24:009:0	Áko David éí Saul áyidííniid , Shoo , ha'át'éegoshą' saad yee hadahadziihgo yísíníłts'ą́ą́' , David atínídoolííł , daniłní ?
9:24:010:0	Jó , t'áá nináá' bee níníł'į́ , díí jį́ tsé'áandi Bóhólníihii shílák'ee nííłtį́į́ nít'éé' . Ła' , Nidi'yoolyééł , daniłníí nít'éé' nidi t'áadoo ákóniishłaa da . Nidi ádíshní , Shí éí doo haa dahodeeshłíił da . Shinanit'a'í doo atídeeshłíił da , háálá Bóhólníihii bíísį́į'go ats'ábiníłtíinii nilį́ .
9:24:011:0	Shoo , shizhé'é , ni'éé' bidííłgizhígíí dah yistsosgo níníł'į́ , háálá ni'éé' bidííłgizhígíí áádóó t'áadoo niyéłhį́į daígíí díí bee nił bééhózin : nił bééhózin índa yíní'į́įgo doo yá'áshónígi t'áadoo ániishłaa da , doodaii' bee haz'áanii t'áadoo nił k'íníti' da índa t'áadoo nich'į' ádił asésiih da . Shidiyííłhééł biniyé shíkanítáá nít'éé' nidi t'áadoo ná hashja'iishłaa da .
9:24:012:0	Bóhólníihii nihaa nídóot'įįł , atíniishłaago éí Bóhólníihii atínáshidoodlííł , nidi shí éí doo atínídeeshłíił da .
9:24:013:0	Ałk'idą́ą́' hastóí dahóyáanii ádaaní , Doo yá'áshóonii bits'ą́ą́dę́ę́' doo yá'áshónígi áhát'į́ nihwiileeh , nidi shí doo atínideeshłíił da .
9:24:014:0	Ízrel dine'é aláahgo binanit'a'í háí lá yiniyé naaghá ? Háishą' naníłchéego ánít'į́ ? Łééchąą'í daaztsáanii daats'í , naaldlooshii biya' daats'í ?
9:24:015:0	Éí bąą Bóhólníihii ánihwii'aahii nilį́į doo ; éí nihaa nídóot'įįł , áádóó ááshníiłii shá yoo'į́įgo shá na'ak'íyáłti'go nits'ą́ąjį'go yisdáshidoołtééł .
9:24:016:0	Áádóó bik'ijį' David éí Saul bich'į' díí saad ałtso bee yájííłti'go Saul áháłní , David , shiye' nílíinii , niísh ádíní ? Áko Saul chánahgo haadzíi'go yícha .
9:24:017:0	Áko David áyidííniid , Shiláahgo ts'ídá t'áá ákogi át'éii nílį́į́ lá , háálá yá'át'éhígi áshiinilaa , nidi shí éí doo yá'áshónígi ániishłaa .
9:24:018:0	Jó , bééhózínígo haash yit'éego díí jį́ yá'át'éhígi áshiinilaa , háálá éí Bóhólníihii nílák'ee shííłtį́įgo t'áadoo shisíníłhį́į da .
9:24:019:0	Jó , diné ła'da bi'ana'í yik'íníyáago , da' bíni'diísh yá'át'éehgo yi'doołnih ? Éí bąą Bóhólníihii yá'át'éehgo nich'į' ni'doolééł , háálá díí jį́ yá'át'éhígi áshiinilaa .
9:24:020:0	Áko k'ad shoo , díí ts'ídá baa ákoniizį́į́' : t'áá aaníí aláahgo naat'áanii dííleeł lá , áádóó Ízrel dine'é aláahgo bee bóhólníihgo bił haz'áanii chánah ályaago nílák'ee doot'ą́ą doo lá .
9:24:021:0	Éí bąą Bóhólníihii binahjį' shich'į' ádee hadídziihgo sha'áłchíní shikéé' náá'ahideeshchínígíí doo adííłdįįł da áádóó shizhé'é ba'áłchíní náás da'ahílchííhgóó shízhi' doo bąąh díí'įįł da .
9:24:022:0	Áko David éí Saul bich'į' ádee hazdoodzíi'go Saul hooghangóó dah nídiidzá , nidi David áádóó diné bił nijikaígíí éí bidziilgo nahont'in nahaz'ą́ą́góó bił dah nízhdiikai .
