9:16:001:1	David aláahgo naat'áanii dooleeł biniyé bi'doolzį́į́'
9:16:001:0	Bóhólníihii éí Sámuel áyidííniid , Haash nízáágóó Saul baa yínííł nílį́į doo ; shą́ą́' , nináałgo Ízrel dine'é binanit'a'í jílį́į́ nít'éé' nidi doo honiizį́į' da ? Ak'ah ni'adee' bii' hadíłbin , áádóó Béthlehem kin shijaa'dóó diné nilíinii Jésii bighangóó nideesh'aał , háálá éí biye'ké bitahdóó ła' aláahgo naat'áanii dooleełgo ádá nídiishtį́ .
9:16:002:0	Áko Sámuel ádííniid , Haash yit'éego ákǫ́ǫ́ deeshááł ? Jó , Saul shaa hodidoots'į́įłgo shidiyoołhééł . Áádóó Bóhólníihii ádííniid , Béégashii yáázh bi'ádígíí ła' yílóosgo kódidííniił , Bóhólníihii bich'į' náádi'yeeshnih biniyé níyá .
9:16:003:0	Áádóó náá'ayíłniihjį' Jésii hágo bididíínii ł , áádóó ádííníłígíí nił bééhodeesįįł , índa bízhi' bee nił hodeeshnihii ak'ah bik'i yeidííziłgo díísį́į́ł .
9:16:004:0	Áko Sámuel éí Bóhólníihii hach'į' yee haadzíi'ii bik'eh ádziidzaago Béthlehem kin shijaa'gi jiníyá . Áko kin shijaa'dóó hastóí bich'į' joogáałgo hak'ee bitah dahoditłidgo ádaaní , K'éésh bił yíníyá ?
9:16:005:0	Áko ázhdííniid , K'é bił níyá , Bóhólníihii bich'į' náádi'yeeshnih biniyé diyingo ats'á'ádadidooht'ááł , áko shił náádadi'yoołnih . Áádóó Jésii índa biye'ké diyingo ats'ábizhdiní'ą́ągo náádi'yoonihjį' hágo bizhdííniid .
9:16:006:0	Áádóó ákódzaago nidahaaskaigo Sámuel éí Iiláíyab jinééł'į́į'go íizniizį́į'go ázhdííniid , T'áá aaníí Bóhólníihii ak'ah yik'i yeidooziłii binááł dzizį́ .
9:16:007:0	Nidi Bóhólníihii éí Sámuel áyidííniid , Bííyis jinoolninígíí , doodaii' ázníłtsooígíí t'áadoo nabik'ítsíníłkeesí , háálá doo honisin da ; jó , diné ha'asíidgo aníł'ínígi át'éego Bóhólníihii éí doo diné haisíidgo yiníł'į́į da , háálá nihokáá' dine'é éí diné ánoolninígíí yiníł'į́ , nidi Bóhólníihii éí ajéí haisíidgo yiníł'į́ .
9:16:008:0	Jésii éí Abínadab hágo yidííniidgo Sámuel bidáahgi nijigháago áhoolaa . Áko Sámuel ájíní , Díí ałdó' doo Bóhólníihii náhodiiłtį́į da .
9:16:009:0	Áádóó Jésii éí Shámmah hadáahgi ánááyiidlaa . Áko ábijiní , Díí ałdó' doo Bóhólníihii náhodiiłtį́į da .
9:16:010:0	Jésii éí biye'ké tsosts'idígíí Sámuel bidáahgi nídíkahgo áyiilaa . Áádóó Sámuel éí Jésii áyidííniid , Díí doo Bóhólníihii néidiinil da .
9:16:011:0	Áko Sámuel éí Jésii áyidííniid , Na'áłchíníísh t'áá ałtso kwe'é ? Áko ázhdííniid , Akéédę́'ígíí t'éiyá t'ah doo yígháah da ; éí dibé yaa áhályą́ . Áádóó Sámuel éí Jésii ánéidoo'niid , Ła' ákǫ́ǫ́ díł'áago áádę́ę́' doogááł , háálá doo díníibįįł da , jiníyáago índa .
9:16:012:0	Áko ákǫ́ǫ́ i'jííł'a'go yił nídaaskai . Áko éí t'óó jilchíí' lá áádóó ázhnoolninígíí éí t'áá íiyisí dinééh bííyisii jílį́į́ lá . Áádóó Bóhólníihii ádííniid , Nídiidáahgo ak'ah bik'i yeidííziłgo díísį́į́ł , háálá díí éí át'į́ .
9:16:002:1	David éí tsin tł'óół bąąh daneelzhee'go bee nida'a'néii yee Saul yá naazne'
9:16:013:0	Áko Sámuel éí ak'ah adee' bii'ígíí nízhdii'ą́ áádóó bik'is bitahgi ak'ah yik'i yayiiziid , áko Bóhólníihii biNíłch'i Diyinii éí David bik'i hoole' bijį́į́dóó bił hólǫ́ǫgo hahoolzhiizh . Ákohgo Sámuel nízhdii'na'go Réímah kin haal'áágóó aníjoodzá .
9:16:014:0	Nít'éé' Bóhólníihii biNíłch'i Diyinii éí Saul bits'áhoníle' , áádóó Bóhólníihii éí níłch'i doo yá'áshóonii hach'į' nahwiiłnáago áhoolaa .
9:16:015:0	Áko Saul há nidaal'a'í ádahodííniid , Jó , k'ad Diyin God éí níłch'i doo yá'áshóonii nich'į' nahwiiłnáago ániilaa .
9:16:016:0	Bídahwííníilníihii , bíni'dii kóoní ná nidaal'a'í éí diné ła' tsin tł'óół bąąh daneelzhee'go bee nida'a'néii yiyiichįįhígíí ná hadeidínóotaał . Áko éí ná yee naanéego Diyin God éí níłch'i doo yá'áshóonii nich'į' nahwiiłnáago ániilaaígíí nits'ą́ąjį' kónéidoodlíiłgo yá'át'ééh nídíídleeł .
9:16:017:0	Áko Saul há nidaal'a'í ábizhdííniid , Diné yá'át'éehgo naanéhígíí t'áá k'ad shá bił nánóhkááh .
9:16:018:0	Ákohgo há nidaal'a'ígíí ła' ánáádoo'niid , Jó , Béthlehem kin shijaa'dóó Jésii biye' éí tsin tł'óół bąąh daneelzhee'go bee nida'a'néii yee naané yiyiichįįhgo yish'į́ , índa dinééh bidziilii doo nánílyéesii nilį́ , índa dinééh ana'ał'íinii ałdó' nilį́ , áádóó yá'át'éehgo yáłti' , áko Bóhólníihii bił hólǫ́ǫgo dinééh yá'át'éehii nilį́ .
9:16:019:0	Éí bąą Saul éí hane' nidei'áhí ła' Jésii bich'į' ajííł'a'go ábizhdííniid , Niye' David na'niłkaadígíí shaa dííł'aał .
9:16:020:0	Áádóó Jésii éí bááh áádóó tó abid bee wáin áádóó tł'ízí yázhí ałdó' éí télii béédzíiztł'ingo haye' David éí Saul yich'į' ayíílóóz .
9:16:021:0	Áko David éí Saul yaa níyáago yich'į' yiizį' , áko Saul t'áá íiyisí ayóó'áhó'ní , áádóó bibee na'abaahí bá nijijaahii dzizlį́į́' .
9:16:022:0	Áko Saul éí Jésii yich'į' i'ííł'a'go ání , Háni'dii David sha'ałk'ee sidáa dooígíí baa nánooshkąąh , háálá hach'oha'né dzizlį́į'go haa nitséskees .
9:16:023:0	Áádóó ákódzaago Diyin God éí níłch'i doo yá'áshóonii Saul yik'ijį' kóyiilaaígíí bik'i nááhoodle'go David tsin tł'óół bąąh daneelzhee'go bee nida'a'néii há yee naazne'go Saul bik'éé hóótaad áádóó yá'át'ééh ánábiidlaa índa níłch'i doo yá'áshóonii bits'áldoh .
