9:5:001:1	Tsits'aa' dílzinii éí Filístiya dine'é bikéyahdi si'ą́
9:5:001:0	Filístiya dine'é éí Diyin God bitsits'aa' dílzinii nídeidii'ą́ągo Ében-íízer kin shijaa'dóó Áshdad kin haal' áajį' deiz'ą́ ,
9:5:002:0	áko Filístiya dine'é éí Diyin God bitsits'aa' dílzinii nídeidii'ą́ągo bidiyin bidi'níinii Déígan wolyéii bikin góne' yah adeiz'ą́ . E'elyaii Déígan wolyéhígíí bíighahgi nideiz'ą́ .
9:5:003:0	Áádóó Áshdad dine'é abíínídą́ą́' nízhdiijéé' nít'éé' , shoo , Déígan éí ni'jį' Bóhólníihii bitsits'aa' dílzinii yiyaajį' tsé'yaa íítłizh lá . Ákohgo Déígan nídazhdiidzį́įzgo nídabidziisį' .
9:5:004:0	Ákohgo biiskání abíínídą́ą́' nínáázhdiijéé' nít'éé' , shoo , Bóhólníihii bitsits'aa' dílzinii biyaajį' Déígan wolyéii éí ch'é'étiin gónaa sitánígíí yikáa'jį' tsé'yaa anáánáátłizh lá , áádóó bitsiits'iin índa bíla' heestǫ'go nideeztąąd ; t'áá hazhó'ó Déígan bizhi' t'éiyá yidzíí' lá .
9:5:005:0	Éí bąą Áshdad kin haal'áadi Déígan binááda'iiłniihii áádóó t'áá ałtso Déígan bikin góne' yah anídaakahígíí díí jį́į́góó ch'é'étiin gónaa sitánígíí doo yik'i dadiiltaał da .
9:5:006:0	Bóhólníihii éí ts'ídá yéego Áshdad dine'é yich'į' hodiyiisnáa'go ch'ozh yee atíyiilaa ; Áshdad dine'é índa binaagóó kédaayahgóó kéédahat'íinii ałdó' ákóyiilaa .
9:5:007:0	Áko Áshdad dine'é éí áhoot'éhígíí yaa ákodaniizį́į'go ádadííniid , Ízrel dine'é biDiyin God bitsits'aa' dílzinii doo t'áá nihitah hólǫ́ǫ da doo , háálá nihí atínihił'į́ áádóó nihidiyin Déígan atííł'į́ .
9:5:008:0	Ákohgo Filístiya dine'é aląąjį' bídahólníihii yíká ada'iis'a'go áłah ádayiilaago ádeidííniid , Ízrel dine'é biDiyin God bitsits'aa' dílziniishą' , haa dadiilnííł ? Áko hadaasdzíi'go ádaaní , Bíni'dii Ízrel dine'é biDiyin God bitsits'aa' dílzinii Gath kin haal'áágóó nídoot'ááł . Ákohgo Ízrel dine'é biDiyin God bitsits'aa' dílzinii ákǫ́ǫ́ anídeiz'ą́ .
9:5:009:0	Nidi tádazhdíí'ą́ągo Bóhólníihii éí kin haal'áhígi ayóó át'éego atíyiilaa , índa kin haal'áhídi kéédahat'íinii diné danilínígíí ániid nidaakaii áádóó hadaastihii t'áá ałtso bijágiizhgóó ch'ozh bąąh hadaaskai .
9:5:010:0	Ákohgo Diyin God bitsits'aa' dílzinii Ékran kin haal'áajį' ánáádajiidlaa . Nidi Ékranjį' yít'ą́ągo Ékran dine'é hahodííłdláadgo ádaaní , Ízrel dine'é biDiyin God bitsits'aa' dílzinii nihitah deiz'ą́ą́ lá , áko nihí áádóó nihił kéédahat'íinii t'áá bił ánihidoołdįįł .
9:5:011:0	Éí bąą Filístiya dine'é binanit'a'í yich'į' ada'iis'a'go t'áá ałtso áłah ádayiilaago ádaaní , Ízrel dine'é biDiyin God bitsits'aa' dílzinii níláhgóó kónáhdlééh , índa bíni'dii t'áá bí bá haz'áníjį' ninát'aah , áko nihí nihidine'é t'áá bił doo ánihidoołdįįł da . Háálá éí kin haal'áhígi t'áá át'éé nít'éé' t'óó báhádzidgo hahonííchaad . Diyin God ayóó át'éego atí'iilaa ;
9:5:012:0	diné doo daneeznáanii éí ch'ozh bitah níłnii' , áádóó kin haal'áhídóó yá'ąąshiigóó chaał adahoyiinííh .
