9:26:001:1	Zif honoojíidi David éí Saul t'áadoo yiyiisxį́į da
9:26:001:0	Ákohgo Gíbiyah kin haal'áagi Saul nijigháago Zif honoojí dine'é danilíinii ła' haa yíkaigo ádaaní , Ts'ídá t'áá aaníí Jiisháíman honoojíijigo Hakíílah yanáalk'idígi David nant'in .
9:26:002:0	Ákohgo Saul dah diiyáago Ízrel dine'é bitahdóó diné táadi míilgo néidiinilgo Zif honoojíígóó yił yíkai ; Zif honoojíidi David hádazhdídóo' įįł biniyé ádajit'į́ .
9:26:003:0	Áko Jiisháíman honoojíijigo Hakíílah yanáalk'idgi atiin bąąhgóó Saul bisiláo yił dah yinééł . Nidi David éí honoojíidi nijigháago honoojíígóó Saul hakéé' heedzáago baa ákozniizį́į́' .
9:26:004:0	Éí bąą David éí naalchi'í ákǫ́ǫ́ adziis'a'go Saul t'áá aaníí níyáá lágo hoł bééhoozin .
9:26:005:0	Áádóó David dashdiiyáago Saul ninínánígóó jiníyá , áádóó David éí Saul índa Ner biye' Ábner siláo yinanit'a'í nilíinii ał'ąą ałhoshgo dziiłtsą́ . Dah oonéłígíí ałníi'gi Saul sitį́įgo siláo binadeel'á .
9:26:006:0	Ákohgo Ahímelek éí Het dine'é nilíinii áádóó Jó'ab bik'is Abísheiyai éí Zerowáíyah biyáázh nilíinii David ábidííniid , Háishą' Saul dah yinéłígóó shił doo'ash ? Áko Abísheiyai ání , Shí ákóyaa nił deesh'ash .
9:26:007:0	T'áá éí bitł'éé' David áádóó Abísheiyai t'áá ájíłah siláo dah yinéłí góyaa jiní'áázh . Áko dah oonéłígíí ałníi'gi Saul ałhoshgo bitsiidétáán bits'iiyahgi łeeh yí'á . Áko hanaagóó siláo éí Ábner yił shijéé' .
9:26:008:0	Ákohgo Abísheiyai éí David áyidííniid , Díí jį́ Diyin God éí ni'ana'í nilíinii nílák'ee yidíí'ą́ą́ lá ; éí bąą k'ad , haa'íyee' t'ááłáhídi ni'jį' tsiidétáán bee bighá'níshxíísh , baa nánooshkąąh , áko doo naakidi adooleeł da .
9:26:009:0	Nidi David éí Abísheiyai áyidííniid , Doo atídíílíił da , háálá Bóhólníihii ak'ah yik'i yayiiziidgo yiyíísį́į'iishą' háí atíjiilaago doo ádihozhdiilt'i' da doo ?
9:26:010:0	Áko David ádííniid , Ts'ídá t'áá aaníí Bóhólníihii hiná ; ákót'éego ts'ídá t'áá aaníí Bóhólníihii hodiyoołhééł , doodaii' dazhdootsaałjį' ahwíidoołkááł , doodaii' anaa' baa na'aldeehgóó jidoogáałgo dazdootsaał .
9:26:011:0	Bóhólníihii ak'ah yik'i yayiiziidgo yiyíísį́'ígíí bik'ijį' nishłį́įgo atídeeshłíłígíí doo yee shá has'ą́ą da , nidi tsiidétáán bits'iiyah sitánígíí nídidíítį́į́ł , baa nánooshkąąh , áádóó tóshjeeh ałdó' bits'ą́ą́' nídidíí'áałgo t'óó néit'ash dooleeł .
9:26:012:0	Ákohgo David éí tsiidétáán áádóó tóshjeeh Saul bits'iiyah sinil yę́ę nízhdiinilgo dah nízhdiit'áázh . Diné t'áadoo ła' hoołtsą́ą da , t'áadoo ła' hóónii' da , índa t'áadoo ła' ch'énádzidí da , háálá Bóhólníihii bíniik'ehgo t'áá íiyisí da'jiiłhaazh lá .
9:26:013:0	Áko David éí yíldzisígíí ha'naa nizhníyáago hata'gi ayóó ánízáadgo dah yisk'id léi' bighą́ą'jį' hajiyá .
9:26:014:0	Áádóó David éí diné yich'į' hadoolghaazhgo Ner biye' Ábner áyidííniid , Ábner , doósh hadíídzih da ? Áko Ábner haadzíi'go ání , Háishą' ánít'į́įgo aláahgo naat'áanii bich'į' dílwosh ?
9:26:015:0	Áko David éí Ábner áyidííniid , Da' doósh diné doo nánílyéesii nílį́į da ? Háishą' nigi át'éego Ízrel dine'é yitahdóó ayóó át'é ? Ha'át'éegoshą' ninanit'a'í aláahgo naat'áanii nilíinii doo bik'i ha'ídííníl'į́į' da ? Háálá diné ła' éí ninanit'a'í aláahgo naat'áanii yidiyoołhééł yiniyé nich'į' niníyáá nít'éé' .
9:26:016:0	Ákónít'į́įgo éí doo yá'át'éeh da , ts'ídá t'áá aaníí Bóhólníihii hiná ; ákót'éego ts'ídá t'áá aaníí aniné t'éí bąąh anohłį́į doogo át'é , háálá ninanit'a'í éí Bóhólníihii ak'ah yik'i yayiiziidgo yiyíísį́'ígíí doo bik'i ha'adííníl'į́į' da . Jó , k'ad aláahgo naat'áanii bitsiidétáán áádóó tóshjeeh bits'iiyah sinil yę́ęgi díní'į́į́' .
