9:4:001:1	Filístiya dine'é éí tsits'aa' dílzinii deisná
9:4:001:0	Áko Sámuel ádííniidígíí Ízrel dine'é t'áá ałtso dayíínii' . Íídą́ą́' Ízrel dine'é éí Filístiya dine'é yił da'ahidoogą́ą́ł biniyé Ében-íízer kin shijaa'gi niníná áádóó Filístiya dine'é éí Éífek kin haal'áagi niníná .
9:4:002:0	Filístiya dine'é éí Ízrel dine'é yich'į' nídadiibaa'go yaa dahoneesná ; éí nahós'a'gi diné dį́įdi mííl nidabi'diztseed .
9:4:003:0	Áádóó dah da'ínéhíjį' diné níjíkaigo Ízrel dine'é yá aląąjį' naazíinii ádadííniid , Ha'át'éegoshą' Bóhólníihii éí Filístiya dine'é bits'ąą daníichéehgo ánihiilaa ? Sołtį' , Bóhólníihii bitsits'aa' dílzinii éí bee aha'deet'áanii bii' sinilii t'áá bił Sháíloh haz'ánídę́ę́' kojį' nídadidiit'ááł , áko deíníit'aahgo éí nihi'ana'í t'áá bił bits'ą́ąjį' yisdánihidoonił .
9:4:004:0	Áko diné danilíinii Sháílohgóó ada'as'a' , áko t'áá ałtsoní biBóhólníihii bitsits'aa' dílzinii éí bee aha'deet'áanii bii' sinilii áádę́ę́' nídeidoo'ááł ; éí Bóhólníihii jílíinii diyingo naal'a'í chérabim wolyéii bita'gi wódahdi hojílǫ́ , áko Íílai biye'ké Háfnai áádóó Fíniyas áadi Diyin God bitsits'aa' dílzinii éí bee aha'deet'áanii bii' sinilii yéské .
9:4:005:0	Bóhólníihii bitsits'aa' dílzinii éí bee aha'deet'áanii bii' sinilii éí dah da'ínéhígi nídeiz'ą́ , áko Ízrel dine'é t'áá ałtso ayóó íits'a'go hadadeeshghaazh , ákohgo nihokáá'góó hodiists'ą́ą́' .
9:4:006:0	Nít'éé' Filístiya dine'é éí ayóó íits'a'go dazhdilwoshígíí deidiizts'ą́ą'go ádaaní , Ha'át'íishą' biniinaa Hííbrew dine'é dah yinéłígi ayóogo hahóó'á ? Áko índa Bóhólníihii bitsits'aa' dílzinii éí dah da'ínéhígi nídeiz'ą́ągo yaa ákodaniizį́į́' .
9:4:007:0	Áko Filístiya dine'é t'áá íiyisí nídaasdzííd , háálá ádaaní , Dah da'ínéehgi Diyin God ga' níyáá lá . Áko ádaaní , Hatíhíláane'ee' ! Háálá t'ah doo kóhánéeh da nít'éé' .
9:4:008:0	Hatíhíláane'ee' ! Háishą' díí diyin dabidziilii yits'ą́ąjį' yisdánihidoonił ? Díí diyinii éí honoojíidi bee atí'él'į́ ałtah áát'eełii yee Ííjip dine'é ałtso neistseedígíí ádaat'į́į́ lá .
9:4:009:0	Danihidziil le' índa diné bidziiliigi át'éego áda'díínółzin , Filístiya dine'é danohłíinii , áko bí nihinaalte' danilį́į́ nít'éé' yę́ęgi át'éego doo Hííbrew dine'é binaalte' dadoohłeeł da . Diné bidziiliigi át'éego áda'díínółzin áádóó bił da'ahohgą́ .
9:4:010:0	Ákohgo Filístiya dine'é hak'iijéé' , áádóó Ízrel dine'é bik'eh hodeesdlį́į'go dabiníbaal naaznilgóó t'áá ałtso anídahineezhchą́ą́' , áko ayóogo nidabi'diztseed ; jó , kwe'é tádiindi mííl Ízrel bisiláo t'áá ni' nidaakaígíí bi'doogą́ą́' .
9:4:011:0	Áádóó Diyin God bitsits'aa' dílzinii nídiit'ą́ , áádóó Íílai biye' nidilt'éhígíí , Háfnai áádóó Fíniyas , t'áá áłah nabi'diztseed .
9:4:012:0	T'áá éí bijį́ Bénjamin dine'é nilíinii ła' bitsiijį' łeezhgo áádóó bi'éé' neheesdǫ́ǫzgo da'ahijigánídę́ę́' Sháíloh haz'ánígi yílwod .
9:4:013:0	Áko jílwodgo Íílai éí ha'ízdées'į́į'go atiin bąąhgi bik'i dah asdáhí yikáá' dah sidá , háálá Diyin God bitsits'aa' dílzinii bąąh háni' . Áko díí diné yílwodígíí kin haal'áhí góne' eelwodgo áhóót'įįdígíí yaa hoolne' ; nít'éé' diné t'áá ałtso hahodííłdláád .
9:4:014:0	Hahodííłdládígíí Íílai yidiizts'ą́ą'go ání , Díísh ha'át'íí biniinaa hahóó'á ? Áádóó diné éí tsxį́įłgo Íílai yaa yílwodgo yił hoolne' .
9:4:015:0	Áko íídą́ą́' Íílai náhást'édiindóó ba'aan tseebíí binááhai ; haná'oh halbáago doo hazhó'ó ajoo'į́į da .
9:4:016:0	Áko diné éí Íílai áyidííniid , Shí da'ahijigánídę́ę́' nánísdzá ; jį́į́dą́ą́' da'ahijigánídę́ę́' yóó'eeshwod . Áko Íílai ání , Áadi haa dahat'į́ , shiye' ?
9:4:017:0	Áko hane' yiní'ánígíí ání , Ízrel dine'é éí Filístiya dine'é yik'ee yóó'adahineezhchą́ą́' , áádóó diné t'óó ahayóí nidabi'diztseed , áádóó niye'ké Háfnai áádóó Fíniyas t'áá áłah ałdó' neezná , índa Diyin God bitsits'aa' dílzinii nídiit'ą́ .
9:4:018:0	Ákódzaago Diyin God bitsits'aa' dílzinii nídiit'ánígíí bee Íílai bił ch'íhozhní'ą́ągo ch'é'étiingi bik'i dah asdáhí bikáá'dóó tséde íítłizh , áko bik'os k'é'éltǫ'go daaztsą́ , háálá t'áá íiyisí hadzistih áádóó hatah hódaaz . Ízrel dine'é bá nihozhdiyii'aahgo dízdiin nááhai .
