9:2:001:1	Hánnah biyiin
9:2:001:0	Áko Hánnah sozdoolzingo ájíní , Dooládó' shijéí bee Bóhólníihii t'áá íiyisí baa shił nihoozhǫǫh da ; Bóhólníihii bee shidziil sélį́į́' . Shide ádeinízinii t'óó bá nahasht'i' , háálá nibee yisdá'iildéehii t'áá íiyisí baa shił nihoozhǫǫh .
9:2:002:0	Bóhólníihiigi át'éego doo ła' náádíyin da , háálá nigi át'éii doo ła' nááhódlǫ́ǫ da ; nihiDiyin God éí tsé bine' na'adzi'ígi át'éego doo ła' nááhódlǫ́ǫ da .
9:2:003:0	T'áadoo ayóó át'éego ádaa hó'niihgo yáníłti'í ; t'áadoo ádaa hodzódlí bee hahídziihí , háálá Bóhólníihii Diyin God t'áá ałtsoní bił bééhózin , áádóó bí t'éiyá baa nida'aldeehígíí t'áá ákóne' yeinít'į́ .
9:2:004:0	Diné ayóó ádaat'éii be'ałtį́į́' nidahaastǫ' , áádóó bijáyah da'nijilii bidziilgo áńdeidle' .
9:2:005:0	T'áadoo bídin dajílíní da yę́ę k'ad éí t'áá bídin hóyée'go da'jiyą́ , nidi dichin danilį́į́ nít'éé' yę́ę éí doo dichin danilį́į da daazlį́į́' . Doo ałchíii yę́ę ba'áłchíní tsosts'id hazlį́į́' , nidi ła' ba'áłchíní t'óó ahayóí yę́ę éí doo ałchíi da silį́į́' .
9:2:006:0	Bóhólníihii na'ałtseed áádóó hinááh áńda'adle' ; jishcháa'jį' i'iiłnííh áádóó jishcháá'dę́ę́' náá'di'yiiłjeeh .
9:2:007:0	Bóhólníihii éí ahojoobá'ígo ó'oolííł , áádóó at'į́įgo ałdó' ó'oolííł , ayáhígo ó'oolííł , áádóó ayóó é'ét'éego ałdó' ó'oolííł .
9:2:008:0	Ayóó ádaat'éii yił dah naháaztą́ą doo biniyéáádóó bikáá'dóó nahat'áii bits'ádi'nílíidii bíí' dadooleeł biniyébadahojoobá'íii éí łeezh dibahí bits'ą́ą́dę́ę́' náyiilááháádóó da'dókeedii éí chąą' biłeeshch'iih tahdę́ę́' hááyii'nííł , háálá nahasdzáán bee niłdzilii éí Bóhólníihii bíí' , áádóó éí bikáa'gi nahasdzáán niiní'ą́ .
9:2:009:0	Bidiyį́į́' danilíinii deíkááhgóó yaa áhályą́ , nidi doo yá'ádaashóonii éí chahałheeł yii' dadéesxéel doo , háálá diné bibee adziilii doo yee ak'eh doodleeł da .
9:2:010:0	Bóhólníihii bi'ana'í danilíinii deididooséí ; yá'ąąshdę́ę́' ii'ni' nahalingo hach'į' hadoodzih . Bóhólníihii éí nahasdzáán nidahonees'ą́ąjį' aa nídóot'įįł , áádóó bee adziilii éí há aláahgo naat'áanii nilíinii yeididoo'ááł , áko t'áá hó ak'ah bik'i yajiidziidii ayóó át'éego ázhdoolííł .
9:2:002:1	Íílai ba'áłchíní bik'ijį' ha'oodzíí'
9:2:011:0	Áko Elkéínah dah nízdiidzáago Réímah kin shijaa'ídi haghangi nídzídzá . Áádóó ashkii Sámuel éí náá'iiłniihii Íílai binááł Bóhólníihii yá nihidiil'a' .
9:2:012:0	Áko Íílai biye'ké éí diné doo yá'áshóonii nilį́ ; Bóhólníihii doo yééhósin da .
9:2:013:0	Íídą́ą́' nááda'iiłniihii éí kót'éego diné yá áda'ał'į́į́ nít'éé' : t'áá háiida náá'iiłniihgo náá'iiłniihii binaal'a'í nilíinii bíla'táa'ii nineezígíí yootį́įłgo yighááh , áko atsį' yibéezhgo
9:2:014:0	tsee'í , doodaii' ásaa' nímazí , doodaii' ásaatsoh , doodaii' ásaa' éí bíla'táa'ii yee yiih atsihgo atsį' t'áá át'é hayé'áłtsihígíí éí náá'iiłniihii bíí' yileeh . Sháíloh haz'ánídi Ízrel dine'é t'áá ałtso nehekáhígíí ákódeiił'į́į́ nít'éé' .
9:2:015:0	Ákohgo atsį' bąąh ak'ahígíí t'ah doo didlidgóó náá'iiłniihii binaal'a'í yighááh áádóó diné náá'iiłniihígíí ááhyiłniih , Atsį' éí náá'iiłniihii ła' bá doolt'isígíí baa diní'aah , háálá atsį' shibézhígíí éí doo yinízin da ; t'áá t'éehgo t'éiyá yinízin .
9:2:016:0	Áko diné ła' áhodííniidgo ání , Bíni'dii ak'ahígíí átsé dadidlid , áko índa t'áá nínízinígi ánéelt'e'go bá nídidíínił , hałniih , nidi ábijiniih , Dooda , t'áá k'ad shaa diní'aah ; éí doodago t'áá shizááká nídideesh'ááł .
9:2:017:0	Éí bąą díí dinééh nidilt'éego Bóhólníihii binááł ayóó át'éego ádił ni'iisíí' , háálá Ízrel dine'é éí Bóhólníihii yich'į' nááda'iiłniihgo t'áá íiyisí ák'eh dahal'į́ daazlį́į́' .
9:2:018:0	Nidi Sámuel éí t'ahdii ashkii yázhí nilį́įgo Bóhólníihii yá naal'a' ; yisdizígíí bee na'at'ą́hí łigaii dits'idgo ályaii bee íífad wolyéii yił ákászaaz .
9:2:019:0	Áádóó Sámuel hamá éí éétsoh yázhí há ánáyiil'įįhgo haa néíłtsos ; t'áá nináháhááh bik'eh Hánnah áádóó hahastiin bił náázhdi'yoołnihgóó ałnáájít'ashgo nááhidoonihii náájiiłniih .
9:2:020:0	Ákohgo Íílai éí Elkéínah áádóó hwe'asdzą́ą́ yił yik'ijisdli'go ání , Bóhólníihii éí díí asdzání binahjį' áłchíní neidiyii'aahígíí Bóhólníihii baa nídinoo'áanii bitsásk'ehgi niha'áłchíní danilį́į doo . Áádóó haghangóó aníjoot'áázh .
9:2:021:0	Áko Bóhólníihii éí Hánnah yik'iníjídliih , áko Elkéínah bá anáz'niiltsąąhgo ashiiké tált'é índa at'ééké nidilt'é éí t'áá ałkéé' nijiishchį́ . Áko Bóhólníihii binááł ashkii Sámuel noosééł .
9:2:022:0	Áko Íílai éí t'áá íiyisí hadzistih , áádóó haye'ké éí Ízrel dine'é t'áá ałtso yich'į' ááníłígíí baa hozdiizts'ą́ą́' , ákót'éego níbaal bii' dahozdísinii bich'éédą́ą'gi asdzání nidaal'a' biniyé áłah nádleehígíí ła' bił názhníjahgo baa niji'aash lá .
9:2:023:0	Áko Íílai haye'ké ábizhdííniid , Yáadishą' bąą t'óó nichxǫ́'ígi óht'į́ . Diné t'áá ałtso bits'ą́ą́dóó t'óó baa'ihígi óht'į́įgo nihaa hodiists'a' .
9:2:024:0	Dooda , shiye'ké , doo yá'áshónígi óht'į́įgo nihaa hane'go diists'a' . Bóhólníihii bidine'é bee haz'áanii dayiitíihgo íínóhsin lá .
9:2:025:0	Diné ła'da diné náánáła' yich'į' ádił ni'iilzíihgo ánihwii'aahii haa nídóot'įįł , nidi diné ła' Bóhólníihii bich'į' ádił adzisiihgo háishą' há na'ak'íyádoołtih ? Azhą́ haye'ké kóbizhdííniid nidi doo hwíists'ą́ą' da nít'éé' , háálá Bóhólníihii áhodeeshdįįł , nízin .
9:2:026:0	Áko ashkii Sámuel jinoosééł áádóó t'ááłáhígi át'éego hach'oha'níigo Bóhólníihii índa diné bił jílį́į́ nít'éé' .
9:2:027:0	Áko Diyin God bits'ą́ą́dóó diné léi' Íílai yaa níyáago áyidííniid , Bóhólníihii kóní , Nizhé'é yę́ę bada'áłchíní Ííjip kéyahdi Féro yinaalte' danilį́ yę́ędą́ą́' bich'į' ííshjání í'diishyaa .
9:2:028:0	Áádóó Ízrel dine'é t'áá ałtso bitahdóó shináá'iiłniihii jílį́į doo biniyé náhodiiłtį́įgo éí tsin bijeeh dilidgo łikání halchingo nááhániihii shibikáá' náá'iiniihí bikáa'jį' náájiiłniih doo índa shinááł íífad wolyéii bee hazhdít'ée doo . Áko nizhé'é yę́ę áádóó ba'áłchíní náás da'ahílchíihii éí didlidgo nááhániihii Ízrel dine'é baa diní'ą́ .
9:2:029:0	Áko ha'át'éegoshą' didlidgo nááhániihii áádóó nááhániihii bee nihoní'áanii doo nihił danilį́į́góó bik'i naahkai , áádóó ha'át'éegoshą' shiláahgo niye'ké nił yílįįdgo t'áá nihí ádadisinoołk'ahgo shidine'é Ízrel bits'ą́ą́dóó nááhániihii aláahgo ádaat'éii bídin óhnééh lá ?
9:2:030:0	Éí bąą Ízrel dine'é biBóhólníihii Diyin God kóní , Díí shí bee nihá nihoní'ą́ą ni' : nidine'é áádóó nizhé'é yę́ę bidine'é shinááł naaldeehgo hool'áágóó shá nidaal'a' doo , nidi k'ad Bóhólníihii ání , K'ad t'áá ákódí doo ; shił dajílínígíí éí hoł danishłį́ , nidi doo dashinízinii doo hoł danishłį́į da .
9:2:031:0	Jó , bich'į' yoołkááł ; nibee adziilii ádeeshdįįł índa nizhé'é yę́ę bidine'é bibee adziilii ádeeshdįįł , ákohgo nik'éí t'áadoo hadaatihí dadínóonééł .
9:2:032:0	Áko shiníbaal bii' hodílzinii biyi' éí nighahodidoot'áałii nił bééhodoozįįł ; Diyin God éí Ízrel dine'é ts'ídá yá'ádaat'éehii yeidiní'ą́ą nidi ákóhodoonííł , áko nighandóó danilíinii bitahgi diné haastihii doo hólǫ́ǫ́góó ahool'áa doo .
9:2:033:0	Áádóó bikáá' náá'iiniihí shíhígíí t'áadoo bits'ą́ąjį' nideestsiłígíí éí t'áá awołí bee daahchago índa nihijéí yínííł danilį́įgo ádayósin doo , áádóó nihik'éí t'ah tsíłkéí danilį́įgo dadínóonééł .
9:2:034:0	Áko díí bee nich'į' ééhózin doo : éí niye' nidilt'éego bik'i hwiidooleeł , Háfnai áádóó Fíniyas t'áá ła'óo jį́ t'áá ájíłah jidínóonéé ł .
9:2:035:0	Áádóó náá'iiłniihii ba'ahódlíii ádá nídideeshtéłígíí éí shijéí yinízinii áádóó baa nitséskeesii yik'eh hół'į́į doo , áádóó náás oochííłgóó shá naal'a' doo , índa ak'ah bik'i yaadziidgo yilzį́į'ii shíhígíí yinááł hináago ahool'áa doo .
9:2:036:0	Áádóó éí ákódaadzaadóó nits'ą́ą́dóó yichíiłii daadzí'ígíí t'ááłá'í nítínígo yich'į' nitséédígohgo béésh łigaii ła' áádóó bááh ła' yíyókeed doo índa ádidooniił , Nánihooshkąąh , náá'iiłniihii binaanish danilíinii ła' shaa diní'aah , áko bááh ła' yishą́ą doo .
