9:12:001:1	Sámuel éí diné yich'į' yááłti'
9:12:001:0	Áko Sámuel éí Ízrel dine'é t'áá ałtso ábizhdííniid , Ádashidooniidígíí t'áá ałtso nihá diséts'ą́ą́' , áko aláahgo naat'áanii nihinant'áago ánihiishłaa .
9:12:002:0	Shoo , k'ad éí aláahgo naat'áanii nihá yigááł ; shí éí hasistihgo shitsii' yiiba' ; jó , shiye'ké nihił yikah , índa shí éí t'áá ániid naasháádą́ą́' díí jį́įjį' nihinááł níyá .
9:12:003:0	Shoo , kǫ́ǫ́ sézį́ ; Bóhólníihii binááł áádóó ak'ah yik'i yayiiziidgo yiyíísį́į'ii binááł shaa dahołne' . Háishą' bibéégashii bigha nishtį́ ? Háishą' bitélii bigha nishtį́ ? Háishą' bi'délo' ? Háishą' bide íinisin ? Háishą' bee naho'diiniihii sheinínilgo shíni' ííłdingo áyiilaa ? Éí nihił k'éédahodeeshdǫǫł .
9:12:004:0	Áko ádahodííniid , Doo nihinisínílo' da , doodaii' t'áadoo nihide íininizį́į' da , doodaii' t'áadoo le'é ła' t'áadoo diné bigháínídláa da .
9:12:005:0	Áko ábizhdííniid , Bóhólníihii éí oo'íinii nilį́ áádóó díí jį́ ak'ah yik'i yayiiziidgo yiyíísį́į'ii éí oo'íinii nilį́įgo ha'át'íhída t'áadoo shílák'eedóó nídadooláa da , áko ádaaní , Jó , bí oo'íinii nilį́į́ lá .
9:12:006:0	Áko Sámuel éí diné áyidííniid , Bóhólníihii éí Mózes áádóó Éran niinínilgo danihizhé'é yę́ę Ííjip kéyahdę́ę́' ch'íiní'eezh .
9:12:007:0	Éí bąą k'ad hazhó'ó nidasoozį́ ; Bóhólníihii binááł t'áá ákogi át'éego Bóhólníihii nihá áát'įįdígíí áádóó danihizhé'é yę́ę yá áát'įįdígíí bídadéét'i'ii bee nihich'į' haasdziih .
9:12:008:0	Áko Ííjip kéyahgóó Jéíkab ííyáago áádóó danihizhé'é yę́ę Bóhólníihii nídayooskango Bóhólníihii éí Mózes áádóó Éran ákǫ́ǫ́ yiyííł'aadgo Ííjip kéyahdę́ę́' danihizhé'é yę́ę ch'íiní'eezh áádóó díí kéyahgi kééhojit'į́įgo áhoolaa .
9:12:009:0	Nidi Bóhólníihii haDiyin God baa dadziyooznah , áko Héízor kin haal'áádóó siláo binanit'a'í Sísera áádóó Filístiya dine'é índa Mó'ab dine'é binanit'a'í bich'į' nidaho'diiznii'go bił da'ahijigą́ą́ nít'éé' .
9:12:010:0	Áko Bóhólníihii nídayookąąhgo ádadííniid , Ádił nida'ayiilzíihgo Bóhólníihii yóó'adadiit'ą́ą́ lá , áádóó eda'alyaii Béíyal wolyéii índa Áshtarath wolyéii bá nideiil'a' nít'éé' . Nidi k'ad nihida'ana'í bílák'eedę́ę́' háánihí'níiłgo ná nideiil'a' doo .
9:12:011:0	Áko Jerabéíyal áádóó Bíídan áádóó Jéfthah índa Sámuel éí Bóhólníihii dabííł'aadgo nihi'ana'í bits'ą́ąjį' yisdádanihiiznil , áko hasih haz'ą́ągi kéédahoht'į́ .
9:12:012:0	Áko Áman dine'é aláahgo binanit'a'í Néíhash wolyéii nihich'į' nídiibaa'go ádashidooniid , Doodayéi , aláahgo naat'áanii yee' ła' nihinant'áa doo , azhą́ Bóhólníihii nihiDiyin God aláahgo nihinant'áa nidi ákódadooniid .
9:12:013:0	Éí bąą k'ad aláahgo naat'áanii nídadoołtíinii danół'į́ , eii dahonohsinii ájít'į́ ; jó , Bóhólníihii aláahgo naat'áanii jílíinii nihinazhnit'áago áhoolaa .
9:12:014:0	Bóhólníihii dadíínóhsinígíí bá nidaał'a'go áádóó bizaad bik'eh dahonoł'į́įgo índa Bóhólníihii bibik'eh ó'oo'níi łii doo bich'į' nidaałteehgóogo nihí áádóó aláahgo naat'áanii nihinant'áago Bóhólníihii nihiDiyin God bikéé' dayínóhkáah dooleeł .
