9:25:001:1	David áádóó Ábigeil
9:25:001:0	Áko Sámuel daaztsą́ągo Ízrel dine'é t'áá a łtso áłah silį́į'go haa dáácha , áádóó Réímah kin shijaa'gi t'áá hó haghandi yóó'ádahoolaa . Ákohgo David nídii'na'go Péíran honoojíígóó ííyá .
9:25:002:0	Áko áadi Méíyan kin shijaa'gi diné léi' bighango éí Kármel kin shijaa'gi iiná yee ííł'ínígíí bee hólǫ́ǫgo t'áá íiyisí at'íinii nilį́ . Dibé éí táadi mííl áádóó tł'ízí éí miilgo bilį́į́' . Áko Kármelgi bidibé táidigéésh .
9:25:003:0	Éí Néíbal joolyé , áádóó hwe'asdzą́ą́ éí Ábigeil wolyé . Asdzání nizhónígo ak'idi'yiitįįhii nilį́įgo t'áá íiyisí baa dzólní , nidi diné éí t'áá íiyisí bidooya' go ts'ídá doo yá'áshóonii t'éí yeigááł . Éí Kéíleb dine'é bitahdóó diné nilį́ .
9:25:004:0	David honoojíidi naagháago éí Néíbal bidibé táidigéeshgo yiyíínii' .
9:25:005:0	Ákohgo David éí dinééh neeznált'éego ákǫ́ǫ́ dazdees'a'ígíí ábijiní , Nílááh , Kármel kin shijaa'góó dohkááh , índa Néíbal baa doohkahgo shízhi' binahjį' yá'át'ééh shá dabijiniih .
9:25:006:0	Áko shá k'é dabidooniidgo ádabididoohniił , Nich'į' hózhǫ́ǫ doo , índa na'áłchíní ałdó' bich'į' hózhǫ́ǫ doo , áádóó nee hólóonii t'áá ałtso bich'į' hózhǫ́ǫ dooleeł .
9:25:007:0	Táda'digéeshii ná táda'digéésh ha'níigo naa hodisíts'ą́ą́' . Áko k'ad dząądi ná na'niłkaadí danilíinii nihił naakai nít'éé' , áko doo haada deil'įįd da , áádóó t'áadoo yídahasáhí da ; Kármel kin shijaa'gi nida'niłkaad yę́ędą́ą́' ákót'éé nít'éé' .
9:25:008:0	Nidinééh danilíinii bí nabídídííłkiłgo hazhó'ó yee nił dahodoolnih . Éí bąą shí shidinééh ajooba' bee bich'oninéego baa nitsíníkees le' , háálá áda'azįįd bijį́ niikai . Baa nánihooshkąąh , t'áá ha'át'íhída naa nídéelii éí ná nidaal'a'í áádóó David niye' baa didíí'ááł .
9:25:009:0	David bidinééh áadi yíkaigo díí saad t'áá ałtso David bízhi' binahjį' Néíbal yił dahoolne'go áhodidoo'niiłgi yiba' ádaat'é .
9:25:010:0	Áko Néíbal éí David bá nidaal'a'í áyidííniid , Davidshą' éí háí át'į́ ? Háishą' Jésii biye' nilį́ ? Naal'a'í t'óó ahayóí díí jį́į́góó binanit'a'í yits'ą́ą́' yóó'ahijeeh .
9:25:011:0	Shá táda'digéeshii bááh áádóó tó índa atsį' bee baa jooshba'ígíí náánáła' doo bééhasingóó nidaakaísh ba'iistsóod doo ?
9:25:012:0	Ákohgo David bidinééh t'ą́ą́' dah nídiikai , áádóó nákaigo díí t'áá ałtso bee hoł hóóne' .
9:25:013:0	Áko David hadiné bił nijikaígíí ábizhdííniid , Diné t'ááłá'í nootínígo nihidiltłish bił áká daałzas . Áko diné t'ááłá'í nítínígo bidiltłish yił áká daaszas . David ałdó' hadiltłish bił áká dzíszas . Áko diné dį́įdi neeznádiin ánéelą́ą́' David yikéé' dah diikai ; naakidi neeznádiin yilt'éego éí t'áá ákwe'é hééł yaa ádahalyą́ .
9:25:014:0	Nidi dinééh ła' Néíbal be'asdzą́ą́ Ábigeil yił hoolne'go ání , Shoo , David bá nidaal'a'í éí nihinanit'a'í k'é deididooniił biniyé honoojíídę́ę́' niyiis'a' ; nít'éé' doo aaníígóó yich'į' hahaasdzíí' .
9:25:015:0	Diné danilíinii t'áá íiyisí nihaa dajooba'go t'áadoo haada danihiilaa da , índa t'áadoo ha'át'íhída bídahosiilza' da ; éí nahós'a'gi bił neiikai yę́ędą́ą́' ákódaniit'éé nít'éé' .
9:25:016:0	T'áá ákwíí tł'éé' áádóó t'áá ákwíí jį́ nihinídaas'áá nít'éé' ; dibé baa ádahwiilyą́ągo bił ákódaniit'éé nít'éé' .
9:25:017:0	Éí bąą éí nił bééhózingo índa nabik'ítsíníłkeesgo bik'ehgo ádíínííł , háálá nihinanit'a'í doo yá'áshóonii beiníst'įįd áádóó ba'áłchíní t'áá ałtso yeinít'į́ . Áko diné doo yá'áshóonii biniinaa doo ła' bich'į' haodziih át'ée da .
9:25:018:0	Ákohgo Ábigeil éí tsxį́įłgo bááh naakidi neeznádiingo áádóó tó abid wáin bee naaljidígíí naaki áádóó dibé ashdla' naaztseed bíighahgo áádóó tł'oh naadą́ą́' sit'éhígíí ts'aa' ashdla' bee yikáałgo áádóó ch'il na'atł'o'ii bąąh bineest'ą' dah naazyíinii nááltseii t'ááłáhídi neeznádiin bíighahgo índa tsin sikaadii fig wolyéii bineest'ą' ahídiiłjée'ii naakidi neeznádiin bíighahgo éí dahatélii bikáá' dah dadziizyį́ .
9:25:019:0	Áko há nidaal'a'í ábizhdííniid , Nílááh , shilą́ąjį' wohkah ; jó , shí éí nihikéé' yisháał doo , hałní . Nidi hahastiin Néíbal t'áadoo bił hojoolne' da .
9:25:020:0	Áko asdzání éí télii bił yildloshgo dziłtsį́į́góó nahont'in góyaa hadajííyá . Áko , shoo , David áádóó diné yił naakaígíí hach'į' yikahgo bidááshníyá .
9:25:021:0	Íídą́ą́' David ázhdííniid , T'áá aaníí t'áadoo biniyéhígóó honoojíidi díí diné t'áá ałtsoní bá baa áháshyą́ą́ nít'éé' , áko t'áadoo bóhoohya'í da . Áádóó díí diné bich'į' yá'át'éhígi íisdzaa nidi doo yá'áshónígi ánáshiidlaa .
