64:1:001:1	K'é ha'níinii
64:1:001:0	Da'oodlání yá aląąjį' sizíinii nishłį́įgo, Géíyas ayóó'óó'níinii, t'áá aaníinii binahjį' ayóó'óósh'níigo, bich'į' naaltsoos áshłééh. 
64:1:002:0	Shik'is ayóó'ánósh'níinii, kodóó nił hózhǫ́ǫgo shił bééhózin, áko nii' sizíinii bił yá'áhoot'éhígi át'éego t'áá ałtsoní yá'át'éehgo ná ááníił doo, índa doo nąąh tééhgóó hinínáa doogo ná bíká sodiszin. 
64:1:003:0	Christ bee nihik'isóó danilíinii ła' neheeskaigo t'áá aaníinii bee sínízį́įgo naa dahoolne'ígíí t'áá íiyisí baa shił hózhǫ́. Jó, t'áá aaníinii t'éiyá bik'ehgo hinínáago shił bééhózin. 
64:1:002:1	Géíyas éí baa ha'niih
64:1:004:0	Sha'áłchíní éí t'áá aaníinii yik'ehgo dayíkáahgo baa hodisíts'ą́'ígíí éí biláahgo baa shił nááhodoojǫǫłii t'áá ádin. 
64:1:005:0	Shik'is ayóó'ánósh'níinii, nihik'isóó danilíinii, azhą́ doo béédahonísinii nidi, naa dadzólíigo bíká anánílwo' lá. 
64:1:006:0	Kwe'é da'oodlání áłah nádleehígi ne'ayóó'ó'ó'ni' yee naa dahalne'. Éí náásgóó deíkááhgóó chodayooł'į́į dooleełígíí bee bíká anánílwo'go Diyin God baa bił hózhǫ́ǫ doo biniyé ánít'į́. 
64:1:007:0	Háálá Christ yá nidaal'a'go dah dahidiikááhgóó doo da'oodlání, Nihíká adoohjah, doo deiłníi da. 
64:1:003:1	Daiyátrifiiz éí John yits'ą́ą́jí nilį́
64:1:008:0	Éí bąą oodlání daniidlíinii díí Christ yá nidaal'a'í danilíinii bíká anéiijahgo yá'át'ééh. Bíká anéiijahgo t'áá aaníinii bee bił nideiilnish dooleeł. 
64:1:009:0	Aadi da'oodlání áłah nádleehii bich'į' naaltsoos íishłaa, nidi Daiyátrifiiz éí aląąjį' na'ídílt'e'go t'éí bił yá'át'ééh, shóhólníhígíí doo bił nilį́į da. 
64:1:004:1	Demíítriyas yá'át'éehgo baa hane'
64:1:010:0	Áko shí aadi níyáá ládą́ą́' saad nichxǫ́'í yee nihá hahadziihgo t'áá ádzaagóó nihaa halne'go yaa naagháhígíí béénihidiyeeshnih. Nidi nichxǫ́'ógo nihaa nahalne'ígíí doo bił sih da, Christ bee nihił danilíinii ákwii nehekáhígíí doo yich'į' k'é nídzin da, índa t'áá háiida bich'į' k'é daznidzin dooleeł yę́ę nidi yich'ą́ą́h naagháago oodlání áłah nádleehii bitahgi k'é daznidzinígíí nahjį' hahodii'níił doo nízin! 
64:1:011:0	Shik'is ayóó'ánósh'níinii, doo yá'át'éehii yaa nidaakaígíí t'áadoo bi'íł'íní, nidi yá'át'éehii yaa nidaakaígíí éí bi'íł'į́. T'áá háiida yá'át'éhígi ájooníłígíí Diyin God bíí' jílį́, nidi t'áá háiida doo yá'át'éhígi ájooníłígíí éí Diyin God doo yizdoołtséeł da. 
64:1:005:1	K'é ha'níigo bee naaltsoos niilt'i'ii
64:1:012:0	Demíítriyas éí diné t'áá ałtso bił danilį́įgo baa ch'ídahwii'aah, t'áá aaníinii bik'ehgo diné yá'át'éehii nilį́. Áko nihí ałdó', Diné ákót'éii át'é, dadii'ní, áko t'áá aaníígóó ádadii'níigo nihá nił bééhózin. 
64:1:013:0	T'óó ahayóígóó bee nił hodeeshnihii hólǫ́, ákondi ak'e'ashchíigo éí doo bee nił hodeeshnih da, 
64:1:014:0	nidi t'áá shí naa deesháałgo t'áá yíní át'éegi ahił nahodiilnihígíí éí bíká shił chohoo'į́. 
64:1:015:0	Nich'į' hózhǫ́ǫ le'. Kodóó nik'is danilíinii k'é daniłní. Aadi nihik'is danilíinii shá k'é bijiniih.
