66:13:001:1	Naaldlooshii naayéé' nilíinii naaki
66:13:001:0	Áko tónteel bibąąhgi séítahdóó yiizį' . Nít'éé' tónteel biyi'dę́ę́' naaldlooshii naayéé' nilíinii ła' bidee' neeznáá áádóó bitsiits'iin tsosts'id naat'á ch'ah bidee' t'áá neeznáá binídaazt'i'go , índa yízhí bee Diyin God í'díl'íinii dabitsiits'iin t'ááłá'í ní'ánígo bik'idaasdzohgo , haagháahgo yiiłtsą́ .
66:13:002:0	Naaldlooshii naayéé' nilíinii yiiłtsánígíí náshdóítsoh łikizhígíí nahalin , bikee' shash bikee' nahalin , bizéé' náshdóítsoh bitsiijį' ditł'ooígíí bizéé' nahalin . Áko na'ashǫ́'iitsoh t'áá bí yee bidziilii áádóó yikáá'dóó naha'áii índa bee bóhólnííh ayóó át'éii naayéé' nilíinii yeidiní'ą́ .
66:13:003:0	Bitsiits'iin ła' t'áá bidiyoołhéełgo k'áák'eh nít'éé' nahalin , nidi t'áá bidiyoołhéełgo k'áák'eh nít'ée'ii náádzíí' lá , áko nihokáá' dine'é t'áá át'éé nít'éé' t'óó bił adahayóigo díí naaldlooshii naayéé' nilíinii yikéé' dah diikai .
66:13:004:0	Diné éí na'ashǫ́'iitsoh yich'į' nidahasá , háálá bibee óhólníihii éí naayéé' yeidiní'ą́ . Áádóó , Háishą' naaldlooshii naayéé' nilíinii yił aheełt'é ? Háishą' yił ahidoogą́ąłgo yíneel'ą́ ? daaníigo naayéé' yich'į' nidahasá .
66:13:005:0	Saad bee ádaa ha'niihii índa saad bee da'ódziihii naaldlooshii naayéé' nilíinii bizaalyáago dízdiindóó ba'aan naaki nídeezidjį' bee bóhólníihgo yee ááníił doogo baa deet'ą́ .
66:13:006:0	Áko Diyin God yíídóodzihgo házhi' áádóó kééhojit'į́įdi índa yá'ąąshdi kéédahat'íinii ałdó' yíídóodzihgo bizéé' ąą áhoolaa .
66:13:007:0	Áádóó Diyin God bidiyį́į́' yich'į' anaa' áhodoolííł índa yik'eh didoodleełgo baa deet'ą́ . Ał'ąą dine'é áádóó nihokáá' dine'é danilíinii áádóó bizaad ał'ąą ádaat'éii índa ał'ąą dine'é bił dah nidahaz'áanii t'áá ałtso bee bóhólníih doogo baa deet'ą́ .
66:13:008:0	Áko nahasdzáán bikáa'gi kéédahat'íinii t'áá ałtso , nahasdzáán niit'ą́ą́dę́ę́' Dibé Yázhí seesyį́ nilíinii iináájí naaltsoos bíhígíí bii' t'áadoo dabízhi' ádaalyaii , naayéé' yich'į' nidahodoołaał .
66:13:009:0	T'áá háiida daz'diits'a'ii háni'dii ajíists'ą́ą́' !
66:13:010:0	T'áá háiida yisnááh abi'didoolníłígíí éí háni'dii yisnááh jílį́į doo ; t'áá háiida diltłish bee ajiisxínígíí háni'dii diltłish bee hodi'yoolyééł . Díí biniinaa Diyin God bidiyį́į́' dajílíinii ts'ídá hada'jólníi doo áádóó aa deijólíi doo .
66:13:011:0	Nít'éé' náánáła' naaldlooshii naayéé' nilíinii nahasdzáán biyi'dę́ę́' haagháahgo náánéiłtsą́ . Dibé yázhí nahalingo bidee' naaki , áádóó na'ashǫ́'iitsohgi át'éego haadzíí' .
66:13:012:0	Naaldlooshii naayéé' nilíinii átséhígíí bee bóhólníhígíí t'áá binááł t'áá ałtso yee ádínááhólníihgo yaa naaghá . Naaldlooshii naayéé' nilíinii átséhígíí t'áá bidiyoołhéełgo k'áák'eh nít'ée'go náádzí'ígíí nahasdzáán índa bikáa'gi kéédahat'íinii bich'į' nidahałáago áyósin .
66:13:013:0	Álílee k'ehgo bee éédahózinii ayóó ádaat'éii yaa naaghá , azhą́ yádiłhił biyi'dę́ę́' nidi diné binááł nahasdzáán bikáa'jį' kǫ' hadah hidinaadgo áyoolííł .
66:13:014:0	Áádóó naaldlooshii naayéé' nilíinii nihokáá' dine'é yideezlo' , Naayéé' diltłish bee t'áá bidiyoołhéełgo k'áák'eh nít'ée'ii nidi hinááh násdlį́į'ii be'elyaago ádaahłééh , yiłníigo , naaldlooshii naayéé' nilíinii binááł álílee k'ehgo bee éédahózinii yaa naagháa doogo baa deet'ánígíí bee nihokáa'gi kéédahat'íinii yina'alo' .
66:13:015:0	Índa naaldlooshii naayéé' nilíinii be'elyaii yee nídídzihii yiih yiyííláago yáłti'go nidi íidoolíiłgo baa deet'ą́ áádóó naaldlooshii naayéé' nilíinii be'elyaii doo bich'į' nidahojiłáa daígíí nidaho'ditseed dooleełgo baa deet'ą́ .
66:13:016:0	Índída a'ohgo ádaat'éii índa ayóó ádaat'éii , áádóó da'at'íinii índa badahojoobá'íii , áádóó doo naalte' danilíinii índa naalte' danilíinii t'áá ałtso dabíla' nish'náájí éí doodaléi' dabítáa'gi bídadi'doodliłgo yee hooł'a' .
66:13:017:0	Áko ła'da doo nizhdi'yoołnih da áádóó doo haa nidi'yoonih da , díí naaldlooshii naayéé' nilíinii bízhi' éí doodaléi' bízhi' be'éélta'ii bee hó'diidlidgo t'éiyá .
66:13:018:0	Díí hódzą́ át'é . Éé'di'yiitįįhii bíni'dii naaldlooshii naayéé' nilíinii be'éélta'ii yéé'deetįįh , háálá éí nihokáá' dine'é be'éélta'ii át'é , be'éélta'ii hastą́ądi neeznádiindóó ba'aan hastą́diindóó ba'aan hastą́ą́h .
