66:21:001:1	Yádiłhił índa nahasdzáán ániidíii
66:21:001:0	Nít'éé' yádiłhił ániidíii índa nahasdzáán ániidíii yiiłtsą́ . Yádiłhił áłtséhígíí índa nahasdzáán áłtséhígíí bił yóó'ahóóyá , áádóó tónteel ałdó' ádin .
66:21:002:0	Áko yá'ąąshdę́ę́' Diyin God bits'ą́ą́dóó diyingo kin haal'áii , Jerúsalem ániidíii , bá'iigehii bahastiin yiba' hasht'e'ádiilyaagi át'éego hasht'e'ádiilyaago hadahooleełgo yiiłtsą́ .
66:21:003:0	Áko bikáá'dóó nahat'áii bits'ą́ą́dóó ayóó íits'a'go iinéé' kóníigo diséts'ą́ą́' , Jó'akon , Diyin God yii' kééhat'íinii diné bił hólǫ́ . Éí bił kééhojit'į́į doo , áádóó bidine'é dajílį́į doo . Diyin God t'áá bí hoł hólǫ́ǫ doo , índa haDiyin God nilį́į doo .
66:21:004:0	Dabinák'eeshto' t'áá ałtso yá yidoot'oł , aniné ádin doo , áádóó atínáhodinidleeh ádin doo , áádóó cha ádin doo índa adiniih ádin doo , háálá áłtséédą́ą́' dahólóonii bił yóó'ahóóyá .
66:21:005:0	Bikáá'dóó nahat'áii yikáá'dóó dah sidáii ání , Jó'akon , t'áá ałtsoní ániidígo ánáshdlééh ! Áádóó ałdó' ánáádí'ní , Díí bee ak'e'íłchí , háálá díí saad t'áá aaníinii áádóó bada'ahódlíii ádaat'é .
66:21:006:0	Áádóó áshidííniid , K'ad lą́ą ałtso ádzaa ! Álfa áádóó Oméga , bee hodeezt'i'ii índa bee nihonít'i'ii shí éí nishłį́ . Dibáá' jílíinii iiná tó háálį́į́dóó t'áá jíík'e tó haa deeshkááł .
66:21:007:0	T'áá ak'esdeesdlį́'ígíí díí hóó' dooleeł : haDiyin God nishłį́į doo , índa hó shiye' jílį́į doo .
66:21:002:1	Jerúsalem ániidíii
66:21:008:0	Nidi ninádanihinilyéesii , doo da'oodlání , doo daaldinígi ádaat'íinii , diné nideiłtseedii , ałjiłnii , binda'adlo'go álílee k'ehgo nidahałáii , e'elyaii yich'į' nidahałáii índa dabiyooch'íidii t'áá ałtso éí kǫ' tsékǫ' bił be'ek'id dook'ą́ąłii biyi' góne' bá nahaz'ą́ , áko éidíígíí naakidi ná'ní'né át'é .
66:21:009:0	Nít'éé' diyingo nidaal'a'í tsosts'idgo , bee ach'į' nidahwiiłnáanii tsosts'idgo akée'diígíí łeets'aa' tsosts'id hadadeezbingo dah dayíkaahii ła' shaa níyáago kóníigo shich'į' haadzíí' , Tį' , bá'ásgehii , Dibé Yázhí nilíinii be'asdzą́ą́ dínííł'įįł .
66:21:010:0	Áádóó Níłch'i Diyinii shił hólǫ́ǫgo dził ayóó áníłtso léi' bighą́ą'jį' hasistį́įgo , yá'ąąshdę́ę́' Diyin God bits'ą́ą́dóó Jerúsalem diyingo kin haal'áii hadah hooleełgo shich'į' yit'íní áyiilaa .
66:21:011:0	Éí Diyin God bee bits'ádi'nílíidii bee bits'ádi'nílíidgo , bits'ádi'nílídígíí tsé ílíinii bik'i nizdidlaadígíigi át'é , jásper wolyéhígíí nahalingo , tséghádi'nídíniigi át'éego niłtólí .
66:21:012:0	Ayóo da'át'é áádóó wódahgo ditą́ągo binaa ahéé'ítł'in , naakits'áadahgóó ch'é'étiin , áko naakits'áadahgóó ch'é'étiinígíí diyingo naal'a'í yik'eh nízį́ , éí naakits'áadahgo ch'é'étiin bikáa'gi Ízrel ba'áłchíní naakits'áadahgo dine'é danilíinii dabízhi' t'áá da'níł'ąą bee bik'ida'ashchį́ .
66:21:013:0	Ha'a'aahdę́ę'go táa'go ch'é'étiin , náhookǫsdę́ę'go ałdó' táa'go ch'é'étiin , shádi'ááhdę́ę'go ałdó' táa'go ch'é'étiin , e'e'aahdę́ę'go ałdó' táa'go ch'é'étiin .
66:21:014:0	Áádóó kin haal'á ditą́ągo binaa ahéé'ítł'inii bee hadaastł'inii naakits'áadah lá , áko éí bikáa'gi Dibé Yázhí nilíinii bá daal'aadii naakits'áadahgoígíí dabízhi' t'áá da'níł'ąą bee bik'ida'ashchį́ .
66:21:015:0	Áádóó shich'į' yájíłti'ii óola bee ída'neel'ąąhí éí kin haal'áhígíí áádóó ch'ída'iiztiingóó índa ditą́ągo binaa ahéé'ítł'inígíí bee bídazhdí'nóoł'ąąłgo dah jootį́į́ł .
