66:5:001:1	Naaltsoos yisdisii áádóó Dibé Yázhí nilíinii
66:5:001:0	Bikáá'dóó nahat'áii bikáá'dóó dah sidáii nish'náájí bílák'eegi naaltsoos yisdisii yiiłtsą́ . Éí biyi'dę́ę́' áádóó bikáá'dę́ę́' bik'e'ashchį́įgo , bee ída'diiljeehí tsosts'id bee bidáda'deeshjéé' .
66:5:002:0	Áádóó diyingo naal'a'í ayóó ábóodziilii yiiłtsą́ . Éí ayóó íits'a'go ání , Háíyee' díí naaltsoos bee bidáda'deeshjée'ii ąą deididoozǫ́ǫsgo ąą íidoolíiłgo yą́ą́h nilį́ ?
66:5:003:0	Nít'éé' yá'ąąshdi , doodaii' nahasdzáán bikáa'gi , doodaii' nahasdzáán biyi'di , ła'da naaltsoos ąą ázhdoolíiłgo biyi' góne' jidídóo'įįłgo doo bízhneel'ání da lá .
66:5:004:0	Áko t'áá íiyisí yícha , háálá ła'da naaltsoos ąą ázhdoolíiłgo [ yízhdóołtah , éí doodago] biyi' góne' jidídóo'įįłgo ts'ídá doo bą́ą́h jílíní da lá .
66:5:005:0	Nít'éé' hastóí ła' áshidííniid , T'áadoo nichaí ; jó'akon , Náshdóítsoh Bitsiijį' Ditł'ooígíí Júdah bidine'é bits'ą́ą́dóó nilíinii , t'áá éí David Bihétł'óól nilíinii ak'eh deesdlį́'ígíí , éí naaltsoos áádóó bee ída'diiljeehí tsosts'id bee bidáda'deeshjée'ii ąą íidoolíiłgo yíneel'ą́ .
66:5:006:0	Bikáá'dóó nahat'áii áádóó ha'át'íí shį́į́ dahináanii dį́'ígíí índa hastóí danilíinii bitahgi , Dibé Yázhí nilíinii seesyį́į́ nít'éé' nahalingo sizį́įgo yiiłtsą́ , éí bidee' tsosts'id , bináá' ałdó' tsosts'id , anáá' tsosts'idígíí éí Diyin God biNíłch'i tsosts'idgoígíí nahasdzáán bikáá'góó t'áá níłtéél nít'éé' tadabi'doos'a'ígíí ádaat'é .
66:5:007:0	Dibé Yázhí nilíinii éí bikáá'dóó nahat'áii bikáá'dóó dah sidáii yich'į' dah diiyáago nish'náájígo bílák'eedóó naaltsoos néidii'ą́ .
66:5:008:0	Naaltsoos néidii'ą́ągo , ha'át'íí shį́į́ dahináanii dį́'ígíí índa naadiin dį́į́' hastóí t'ááłá'í nítínígo tsin tł'óół bąąh daneelzhee'go bee nida'a'néii dah dayítįįh , índa óola łeets'aa' biyi'dóó tsin bijeeh dilidgo łikání halchinígíí bii' hadadeezbingo dah dayíkaah , éí Diyin God bidiyį́į́' bisodizin ádaat'éego , éí yił Dibé Yázhí nilíinii bidáahjį' tsé'yaa daneeshjool .
66:5:009:0	Kódaaníigo sin ániidíii yee dahóótáál : Naaltsoos nídidíí'áałgo bee ída'diiljeehí bee bidáda'deeshjée'iiąą ádadíílíiłgo bą́ą́h nílį́ , háálá ni'diisyį́į́ nít'ée'go ał'ąą dine'é áádóó bizaad ał'ąą ádaat'éii áádóó nihokáá' dine'é danilíinii índa ał'ąą dine'é bił dah nidahaz'áaniit'áá át'éé nít'éé' bitahdę́ę́' Diyin God bá nidił bee diné bik'é niná'íínídlá .
66:5:010:0	Índa nihiDiyin God yá aláahgo naat'áanii danilį́įgoáádóó Diyin God yá nááda'iiłniihii danilį́įgo íinilaa , áko nahasdzáán bikáa'gi bídahólníihgo nidant'áa doo .
66:5:011:0	Áko déé'į́į'go bikáá'dóó nahat'áii áádóó ha'át'íí shį́į́ dahináanii índa hastóí danilíinii binaadę́ę́' t'óó ahayóí diyingo nidaal'a'í , t'áadoo bee néelą́'ígóó míildi míilgo
66:5:012:0	dabiinéé' ayóó íits'a'go diséts'ą́ą́' , kódaaníigo , Dibé Yázhí seesyį́ nilíinii éí óhólnííh , at'į́ , hódzą́ , adziil , ił ídlį́ , ayóó é'ét'é índa aa ha'niih bee hodooleełgo yą́ą́h nilį́ !
66:5:013:0	Nít'éé' yá'ąąshdi áádóó nahasdzáán bikáa'gi áádóó nahasdzáán biyi'di índa táyi'di nidaaldeehii , áádóó biyi'di dahólóonii t'áá ałtso kódaaníigo diséts'ą́ą́' , Bikáá'dóó nahat'áii bikáá'dóó dah sidáii índa Dibé Yázhí nilíinii éí aa ha'niih , ił ídlį́ , ayóó é'ét'é índa adziil hool'áágóó ahóyéel'áágóó bíí' dooleeł !
66:5:014:0	Áádóó ha'át'íí shį́į́ dahináanii dį́'ígíí , T'áá ákót'ée doo ! dadííniid , índa naadiin dį́į́' hastóí danilíinii tsé'yaa daneeshjoolgo hool'áágóó ahóyéel'áágóó hináanii yich'į' nidahasá .
