66:18:001:1	Bábilan ahiih náhwiiłdaas
66:18:001:0	Kódzaadóó bik'ijį' náánáła' diyingo naal'a'í ayóó át'éego bóhólníihgo , yá'ąąshdę́ę́' hadah hooleełgo yiiłtsą́ . Bee bits'ádi'nílíidii nahasdzáán bikáa'gi bee hoos'įįd .
66:18:002:0	Áko kóníigo ayóó íits'a'go hadoolghaazh , Bábilan , ayóó áhoot'éii ahiih náhwiiłdaas , ahiih náhwiiłdaas ! Ákwii níłch'i bida'iiníziinii kéédahat'į́ silį́į́' ; níłch'i danchxǫ́'ígíí ákwii ahanináhákááh índa nidaat'a'ii danchxǫ́'ógo doo daaldinii t'áá ałtso ákwii ahanináhákááh silį́į́' .
66:18:003:0	Háálá wáin bee tsi'na'adáhígi át'éego ał'ąą dine'é bił dah nidahaz'áanii t'áá ałtso t'óó báhádzidgo na'ageh yee tsi'naagháii bił tsi'nidziskai . Áádóó nahasdzáán bikáá'góó aláahgo naat'áanii danilíinii hoł ahá nida'asgeh , índa jit'íinii t'óó bee nijinéego binahjį' nahasdzáán bikáá'góó diné baa nida'iiniihii da'at'į́ daazlį́į́' .
66:18:004:0	Ákohgo yá'ąąshdę́ę́' náánáła' iinéé' kóníigo náádiséts'ą́ą́' , Bibąąhági át'éii doo bił baa nidaahkai da doo biniyé , índa bee bich'į' naho'diilnáanii doo bił ałts'ą́ą́' da'nołk'iiz da doo biniyébits'ą́ąjį' ch'íhóhkááh , shidine'é !
66:18:005:0	Háálá bibąąhági át'éii yá'ąąsh bíneel'ą́ silį́į́' , áádóó Diyin God éí doo ákǫ́ǫ́ ájíít'įįdígíí yénáálnii' .
66:18:006:0	T'áá ájíít'įįdígíí bik'ehgo áádóó ahą́ą́h nániidlá bik'ehgo k'éédahodohdlééh . Bee adlání bii' ałtah azníziidii naakidi ákónánéilt'e'go há ałtah nánóhdzííd .
66:18:007:0	Ádaa hoji'niih áádóó jit'íinii t'óó bee nijizne'ígíí t'áá éigi áníłtsogo atíńdahohdlééh áádóó atíńdizhnidleehgo ádahohłééh . Háálá t'áá hayi'ídi kójíní , Asdzą́ą́ naat'ááh nishłį́įgo dah sédá ! Doo bąąh áhásdįįdii nishłį́į da , atínáhodinidleeh éí ts'ídá doo yideestséeł da !
66:18:008:0	Éí bąą bee hach'į' nahodiyoolnaałii ła'a jį́ hak'i hwiidooleeł , éí aniné , atínáhodinidleeh , índa hodichin , áádóó kǫ' bee ahodi'doolk'ą́ą́ł , háálá Bóhólníihii Diyin God hainít'íinii ayóó ábóodziilii nilį́ .
66:18:009:0	Áko nahasdzáán bikáá'góó aláahgo naat'áanii danilíinii bił ahá nida'dzisgeh áádóó bił t'óó ádee nidadzis'ne'ígíí éí jidook'ą́ąłgo halid dayiiłtsą́ągo , haa atíńdadinidleeh índa ák'idadiit'aah doo .
66:18:010:0	Éí bee atího'diilyaaígíí yéédaaldzidgo ayóó ánízáádę́ę́' naazį́įgo kódaaní , Héi' ! Héi' ! Bábilan ayóó át'éego kin haal'á nílíinii ! T'ááłáhídi ahéé'ílkidjį' atíńdiilyaa !
