66:11:001:1	Oo'íinii k'ehgo halne'ii naaki
66:11:001:0	Nít'éé' bee ída'neel'ąąhí gish nahalin léi' shaa yítą́ągo áshi'doo'niid , Nídiidáahgo Diyin God bikin bii' sohodizin áádóó bikáá' náá'iiniihí índa diné ákóne' nidahałáhígíí bída'neeł'ąąh .
66:11:002:0	Nidi kin bii' sohodizin binaagi haz'ánígíí doo bídí'nííł'ąął da . Éí t'áadoo baa nánít'íní , háálá ał'ąą dine'é bił dah nidahaz'áanii baa deet'ą́ , áko diyingo kin haal'áii yik'i naaldeehgo dízdiindóó ba'aan naaki nídidooził .
66:11:003:0	Oo'íinii k'ehgo shá halne'ii nidilt'éego t'ááłáhídi mííldóó ba'aan naakidi neeznádiindóó ba'aan hastą́diin yiską́ąjį' , aghaashzhiin yistł'ǫ́ǫgo yee hadít'éego Diyin God yá halne' doogo bee adziilii baa dideesh'ááł .
66:11:004:0	Diyin God éí nahasdzáán yee Bóhólníihii bidááhdóó díí áliv naaki sikaadgo íí'áhígíí áádóó naakigo bee hool'iní bá yadaa'áhígíí oo'íinii át'é .
66:11:005:0	Diné ła'da atíhodeeshłííł hó'níigo , hazéé'dóó kǫ' hazdoosihgo hwe'ana'í danilíinii bee ázhdoołdįįł ; ła'da atíhodeeshłííł hó'níigo t'áá ákót'éego nabidi'dootsił .
66:11:006:0	Ádahodooníiłii yaa halne'go yoołkááł góne' doo nahałtingóó íidoolííł biniyé yá yidádi'doołkałgo bee óhólníihii bee hólǫ́ , áádóó tó dił íidoolíiłgo , índa t'áá ánéiniidzįįh bik'eh bee ach'į' nidahwiilnáanii t'áá ałtso nahasdzáán bikáa'gi ánáyoodlíiłgo bee óhólníihii bee hólǫ́ .
66:11:007:0	Áko ałtso nahasne'go , a'áán doo nihoodzą́ą́dę́ę́' naaldlooshii naayéé' nilíinii haayáii hak'ijį' anaa' áhodoolíiłgo hak'eh didoodleełgo nahodoołtsił ,
66:11:008:0	áko ayóó át'éego kin haal'áii , Sádam áádóó Íijip t'óó bik'ijį' si'ą́ągo bee wójíii , bitaa'aztiingi , nihiBóhólníihii tsin ałnáoszid bikáa'jį' bił o'oolkaal yę́ęgi bits'íís shitéezh doo .
66:11:009:0	Tágí jį́ azlį́į́'dóó ałní'ní'ą́ąjį' nihokáá' dine'é danilíinii áádóó ał'ąą dine'é áádóó bizaad ał'ąą ádaat'éii índa ał'ąą dine'é bił dah nidahaz'áanii dabitahdę́ę́' bits'íís deiníł'į́įgo , yóó'ádoolníiłgi dooda , daaníi doo .
66:11:010:0	Díí Diyin God yá halne'ii nidilt'éego nahasdzáán bikáá'góó kéédahat'íinii atííł'į́į́ nít'é'ígíí biniinaa nahasdzáán bikáá'góó kéédahat'íinii jineeznánígíí bąą bił dahózhǫ́ǫ doo , honeeni yaa naakai doo , índa ahidiníłnáago t'áadoo le'é ahaa dayii'níił doo .
66:11:011:0	Nidi tágí jį́ azlį́į́'dóó ałní'ní'ą́ągo Diyin God bits'ą́ą́dę́ę́' ayol bee iiná biih hóóle'go , nídiit'áazhgo yiizį' , áko dabiiłtsánígíí ayóó át'éego bik'ee bił dahóóyéé' .
66:11:012:0	Nít'éé' yá'ąąshdę́ę́' iinéé' ayóó íits'a'go kóbíłníigo yidiizts'ą́ą́' , Wóshdę́ę́' hashoh'aash ! Áko bida'ana'í dabinááł yá'ąąsh góde k'os yee íí'áázh .
66:11:013:0	Éí oolkiłígíí biyi' ayóó át'éego ni' nahaasnáa'go kin haal'áii neeznáágóó ałts'áádzooígíí t'ááłáhígo haadzo naa'ííłdááz , índa ni' nahaasnáa'go tsosts'idi mííl diné yiyííghą́ą́' , łahjį'ígíí éí nídaasdzíidgo yá'ąąshdi Diyin God nilíinii yaa dahaznih .
66:11:002:1	Dilní tsosts'id góne'ígíí
66:11:014:0	Naaki góne' yéé' silį́į'ii bibanááhodooshzhiizh ; jó'akon , táá' góne' yéé' náádoodleełii k'adę́ę baa nááhoolzhíísh !
66:11:015:0	Ákohgo diyingo naal'a'í tsosts'id góne'ígíí bidilní yee ádííniidgo , yá'ąąshdi ayóó át'éego iinéé' dadiists'ą́ą'go kódadííniid , Nihokáá' bee óhólníihgo bił haz'áanii éí nihiBóhólníihii índa biChrist bee bóhólníihgo bił haz'áanii silį́į́' , éí hool'áágóó ahóyéel'áágóó yinant'áa doo .
66:11:016:0	Áko naadiin dį́į́' hastóí danilíinii bibikáá'dóó nidahat'áii bikáá'dóó Diyin God yidáahjį' dah nidaháaztánígíí tsé'yaa daneeshjoolgo Diyin God yich'į' nidahasá ,
66:11:017:0	kódaaníigo : Bóhólníihii Diyin God Aláahgo Ayóó'ánóodziilii honílóonii áádóó hodeeyáádę́ę́' honílóonii [ índa díínáałii] , nich'į' ahééh daniidzin , háálá nidziil ayóó át'éii nídiniláago naat'áanii nílį́įgo ch'íhwíínísá .
66:11:018:0	Ał'ąą dine'é bił dah nidahaz'áanii bádahazhchįįd . Áádóó t'óó báhádzidgo bee atí'éł'íinii baa hoolzhiizh , daneeznáanii baa nídahódóot'įįł , ná nidaal'a'ii , Diyin God yá dahalne'ii áádóó Diyin God bidiyį́į́'áádóó nízhi' deidísinii , éí a'ohgo ádaat'éii índa ayóó ádaat'éii , bich'į' nidadi'yoolyééł , índa nahasdzáán nidayiiłchxǫǫhii ádooldįįłii baa hoolzhiizh .
66:11:019:0	Áádóó yá'ąąshdi Diyin God bikin bii' sohodizin ąą ádzaago , biyi'di tsits'aa' dílzinii bibee aha'deet'áanii bii' sinilii yit'íní silį́į́' . Áádóó atsiniltł'ish anídahata' áádóó ayóó íits'a'go dahodiists'ą́ą́' , áádóó da'di'ní , áádóó ni' nidaha'ná , índa nílótsoh nááłtą́ .
