66:8:001:1	Bee ída'diiljeehí tsosts'idígíí
66:8:001:0	Dibé Yázhí nilíinii bee ída'diiljeehí naaltsoos bee bidáda'deeshjée'ii tsosts'id góne'ígíí ąą yidinízǫ́ǫzgo , yá'ąąshdi tádiin dahalzhinjį' daats'í hodiiyeel .
66:8:002:0	Nít'éé' diyingo naal'a'í tsosts'idgo Diyin God yidááhdę́ę́' naazį́įgo , índa béésh łitsoii dilní tsosts'idgo bitaas'nii'go yiiłtsą́ .
66:8:003:0	Náánáła' diyingo naal'a'í óola łeets'aa' biyi'dóó tsin bijeeh dilidgo łikání halchinii dilidii dah yoo'áałgo , bikáá' náá'iiniihí yíighahjį' niníyáago yiizį' . Éí óola bikáá' náá'iiniihí bikáá'dóó nahat'áii bidáahgi si'ánígíí bikáa'gi tsin bijeeh dilidgo łikání halchinígíí Diyin God bidiyį́į́' t'áá ałtso bisodizin yił ałtaanéidooził biniyé lą'í baa yíjaa' .
66:8:004:0	Áádóó diyingo naal'a'í bílák'eedóó éí tsin bijeeh dilidgo łikání halchinii bilid Diyin God bidiyį́į́' bisodizin bił , Diyin God bidáahjį' i'iijooł .
66:8:002:1	Dilní bee ádahodoo'niid
66:8:005:0	Diyingo naal'a'í éí bikáá' náá'iiniihí bikáá'dóó éí łeets'aa' kǫ' yii' haidééłbįįdgo , nahasdzáán bikáá'góó ayííłkaad , áko da'di'ní , áádóó iinéé' dadiists'ą́ą́' , áádóó atsiniltł'ish anídahata' índa ni' naha'ná .
66:8:006:0	Nít'éé' diyingo nidaal'a'í tsosts'idgo dilní tsosts'id bik'eh nítą́ągo dah dayíjáhígíí yee ádadidooniiłgo hasht'e'ádadiilyaa .
66:8:007:0	Diyingo naal'a'í átséhígíí bidilní yee ádííniidgo , bikéé'dę́ę́' níló índa kǫ' , dił bił ałtahgo , nahasdzáán bikáa'jį' nááłtą́ . Áko nahasdzáán táá'góó ałts'áádzooígíí t'ááłáhígo haadzo ałtso díílid , áádóó tsin táá'góó ałts'áádzooígíí t'ááłáhígo haadzo adíík'ą́ą́' , índa tł'oh dayítsoii ałtso adahideezk'ą́ą́' .
66:8:008:0	Diyingo naal'a'í naaki góne'ígíí bidilní yee ádííniidgo , ha'át'íí shį́į́ dził ayóó áníłtsogo dook'ą́ą́ł nahalingo tónteel biyi' góne' ahoolghan , áko tónteel táá'góó ałts'áádzooígíí t'ááłáhígo haadzo dił silį́į́' ,
66:8:009:0	tónteel biyi'di dahináanii táá'góó ałts'áá'nilii t'ááłáhígo sinil bíighahgo daneezná , índa tsinaa'eeł táá'góó ałts'áá'nilii t'ááłáhígo sinil ásdįįd .
66:8:010:0	Diyingo naal'a'í táá' góne'ígíí bidilní yee ádííniidgo , yá'ąąshdę́ę́' sǫ' ayóó áníłtso léi' , honooyééł dook'ą́łígi át'éego dook'ą́ąłgo naalts'id , éí tooh táá'góó ałts'áádzooígíí t'ááłáhígo haadzo áádóó tó hadaazlíinii bik'ijį' naalts'id .
66:8:011:0	Sǫ' éí Dích'íi'ii wolyé . Áko tóhígíí táá'góó ałts'áádzooígíí t'ááłáhígo haadzo dích'íí' silį́į́' , éí dích'íí' silį́'ígíí biniinaa diné lą'í daneezná .
66:8:012:0	Diyingo naal'a'í dį́į́' góne'ígíí bidilní yee ádííniidgo , jį́honaa'éí áádóó tł'éhonaa'éí índa sǫ' táá'góó ałts'áádzooígíí t'ááłáhígo haadzo haa shį́į́ daadzaago bił chadahasxéél ; jį́įgo adinídínígíí táá'góó ałts'áádzooígíí t'ááłáhígo haadzo bíighahgo doo adinídíin da silį́į́' , tł'ée'goígíí ałdó' t'áá ákódzaa .
66:8:013:0	Ákohgo déé'į́į́' nít'éé' diyingo naal'a'í léi' yá ałníi'gi yit'ahgo ayóó íits'a'go áníigo diséts'ą́ą́' , nahasdzáán bikáa'gi kéédahat'ínígíí bich'į' , Doo hojooba' ájíníi da ! doo hojooba' ájíníi da ! doo hojooba' ájíníi da ! níigo , háálá diyingo nidaal'a'í táa'go k'adę́ę dilní yee ádaaniih .
