66:17:001:1	Ałjiłnii ná'áyóí át'éii áádóó naaldlooshii naayéé' nilíinii
66:17:001:0	Nít'éé' diyingo nidaal'a'í tsosts'idgo łeets'aa' tsosts'id dah dayíjáhígíí ła' kóshidííniid , Tį' , ałjiłnii ná'áyóí át'éii tó t'óó ahayóigo yik'ijį' dah sidáhígíí bee baa náhódóot'įįłii nił bééhodeesįįł biniyé dínííł'įįł .
66:17:002:0	Éidí nahasdzáán bikáá'góó aláahgo naat'áanii danilíinii yił ahá nida'asgeh , áádóó éí na'ageh yee tsi'naagháii , wáingi át'éego nahasdzáán bikáá'góó kéédahat'íinii bik'ee tsi'nidaaskai .
66:17:003:0	Áádóó éí diyingo naal'a'í honoojíígóó Níłch'i Diyinii yee ashííłtį́ , nít'éé' naaldlooshii naayéé' nilíinii łichxíi'go bitsiits'iin tsosts'idgo áádóó bidee' neeznáá yiiłtsą́ . Éí yízhí bee da'ódziihii t'áá át'éé nít'éé' bee bik'e'ashchį́ , éí asdzání léi' bik'i dah sidáago yiiłtsą́ .
66:17:004:0	Díí asdzání , naak'ą' tsídídééh nahalingo łichí'ígíí áádóó naak'ą' ałchxíí' yee hadít'é , áádóó óola , tsé da'ílíinii índa diichiłí yee naashch'ąą' . Doo daaldinii índa t'óó baa'ihgo na'ageh yee tsi'naagháii óola bee adlání bii' hadeezbingo dah yookááł .
66:17:005:0	Áádóó bítáa'gi , Bábilan ayóó át'éii , da'ałjiłnii áádóó nahasdzáán bikáa'gi doo daaldinii bimá , níigo yízhí doo bééhózinii bee bik'e'ashchį́ .
66:17:006:0	Díí asdzání éí Diyin God bidiyį́į́' dabidił yę́ę índa Jesus yá daneeznáanii dabidił yę́ę yik'ee tsi'naagháago yiiłtsą́ . Kót'éego yiiłtsą́ągo t'áá íiyisí bik'ee t'óó shił ahóóyóí .
66:17:007:0	Nidi diyingo naal'a'í áshidííniid , Ha'át'íísh bik'ee t'óó nił ahayóí ? Asdzání áádóó naaldlooshii naayéé' nilíinii bitsiits'iin tsosts'idgo índa bidee' neeznáá , asdzání bik'i dah sidáhígíí ááhyiłníinii doo bééhózin da yę́ę bee nił hodeeshnih .
66:17:008:0	Naaldlooshii naayéé' nilíinii yiniłtsánígíí , hólǫ́ǫ́ nít'ée'ii k'ad ádinii , éí a'áán doo nihoodzą́ą́dę́ę́' hadoogáałgo í'dooldįįłgo haz'ą́ąjį' dah didoogááł . Nahasdzáán niit'ą́ą́dę́ę́' éí nihokáá'góó kéédahat'íinii iináájí naaltsoos bii' doo bízhi' ádaalyaii naaldlooshii naayéé' nilíinii dayiiłtsą́ągo bik'ee t'óó bił adahayói doo , háálá éí hólǫ́ǫ́ nít'éé' , éí k'ad ádin , nidi nídoodááł .
66:17:009:0	Hojíyáanii áádóó ak'izhdi'yiitįįhii t'éiyá díí ááhyiłníinii hoł bééhodoozįįł . Tsosts'id atsiits'iinígíí éí tsosts'idgo dah yisk'id ádaat'é , áko éí asdzání yikáá' dah sidá .
66:17:010:0	Éí ałdó' aláahgo naat'áanii tsosts'idgo ádaat'é , t'áá éí ashdla'go nahjį' haníídee' , ła' éí t'ah nant'á , ła' éí t'ah doo yígháah da , níyáago t'óó kónígháníjį' bee hodidoonaał .
66:17:011:0	Naaldlooshii naayéé' nilíinii hólǫ́ǫ́ nít'éé' k'ad ádinígíí , éí tseebíí góne' nilį́į nidi tsosts'idígíí yitah nilį́ , éí í'dooldįįłgo haz'ą́ąjį' dah didoogááł .
66:17:012:0	Adee' neeznáá yiniłtsánígíí éí aláahgo naat'áanii neeznáá yilt'éego bee bídahólníih dooleełii t'ah doo bee dahaleehii ádaat'į́ , t'ááłá'í ahéé'ílkidjį' naaldlooshii naayéé' nilíinii bił aláahgo naat'áanii danilíinii bee óhólnííh bee dahodooleeł .
66:17:013:0	Díí t'ááłá'í yee nitsídaakeesgo bee adziilii áádóó bee bídahólníhígíí naaldlooshii naayéé' nilíinii yaa deidii'aah .
66:17:014:0	Éí Dibé Yázhí nilíinii yich'į' anaa' ádahodoolííł , nidi Dibé Yázhí nilíinii áádóó bíká ádahodoo'niidii áádóó bitah dahaasdláa'ii índa bada'ahódlíii bił naakaigo bik'eh dadidoodleeł , háálá Dibé Yázhí nilíinii éí bídahólníihii bee Bóhólníihii nilį́ , áádóó aláahgo naat'áanii danilíinii yiNanit'a'í nilį́ .
66:17:015:0	Áádóó diyingo naal'a'í ánááshidoo'niid , Tooh yiniłtsánígíí , ałjiłnii yikáá' dah sidáhígíí , éí nihokáá' dine'é danilíinii áádóó diné t'óó ahayóí dayíl'áii áádóó ał'ąą dine'é bił dah nidahaz'áanii índa bizaad ał'ąą ádaat'éii éí ádaat'é .
66:17:016:0	Adee' neeznáá yiniłtsánígíí éí naaldlooshii naayéé' nilíinii yił , ałjiłnii deijoołáa doo , éí doo ajílį́į́góó índa t'áá jilchí'ígo ádahodoolíiłgo hatsį' deidoolghał índa adahodidoołk'ą́ą́ł .
66:17:017:0	Háálá Diyin God bizaad ałtso bohoolyaajį' Diyin God íinízinii bidazh'doolííł biniyé t'ááłá'í bee nitsídadzikees dadzizlį́į'go , bee hódahólníhígíí naaldlooshii naayéé' nilíinii baa dazhdidoo'áałgo , Diyin God hwiih yiyiizla' .
66:17:018:0	Asdzání yiniłtsánígíí éí ayóó át'éego kin haal'áii , éí nahasdzáán bikáá'góó aláahgo naat'áanii danilíinii yinant'áii át'į́ .
