7:13:001:1	Sámson yizhchį́
7:13:001:0	Bóhólníihii binááł Ízrel dine'é doo yá'áshónígi ánáádáát'įįd biniinaa dízdiin nááhaijį' Bóhólníihii éí Filístiya dine'é yílák'ee hodíí'ą́. 
7:13:002:0	Áko ákwii Zórah kin haal'áádóó diné léi' Dan dine'é jílį́įgo Manówah joolyéé lá. Áko hwe'asdzą́ą́ doo ałchíígóó ha'áłchíní doo haleeh da. 
7:13:003:0	Áko Bóhólníihii bidiyingo naal'a'í éí asdzání yich'į' yit'íní í'diilyaago áyidííniid, Jó, doo ałchíhí nílį́įgo na'áłchíní t'ah doo haleeh da, ákondi i'dí'nííltsąął, índa ashkii dííłchííł. 
7:13:004:0	Éí bąą bits'ąą ádaa áhólyą́ą dooleełii baa nánooshkąąh; wáin, doodaii' tó tsi'na'iiłáii t'áadoo nidlání, índa doo daadą́ą́góó bee nihá haz'áanii doo ła' dííyį́įł da, 
7:13:005:0	háálá i'dí'nííltsąął, jó'akon, áádóó ashkii dííłchííł. Hatsii' doo k'ídoogish da, háálá ashkii t'áá yizhchį́į́dę́ę́' Diyin God bich'į' Názarait jílį́į dooleeł, áko Filístiya dine'é bits'ą́ąjį' Ízrel dine'é yisdéidiyoonił. 
7:13:006:0	Áko asdzání níyáago bahastiin yił hoolne'go ání, Diyin God bits'ą́ą́dę́ę́' diné léi' shaa níyá, ánoolninígíí éí Diyin God bidiyingo naal'a'í noolnin; níl'į́įgo t'óó báhádzid. Nidi naagháádę́ę́' t'áadoo bínabídééłkid da, índa bízhi' nidi t'áadoo yee shił hoolne' da. 
7:13:007:0	Nidi áshidííniid, I'dí'nííltsąął, jó'akon, áádóó ashkii dííłchííł, áko wáin, doodaii' tó tsi'na'iiłáii t'áadoo nidlání, índa doo daadą́ą́góó bee nihá haz'áanii doo ła' dííyį́įł da, háálá ashkii t'áá yizhchį́į́dóó daaztsą́ąjį' Diyin God bich'į' Názarait nilį́į dooleeł. 
7:13:008:0	Ákohgo Manówah ts'ídá haleebee Bóhólníihii náyookąąhgo ání, Bóhólníihii nílíinii, nánooshkąąh, háni'dii Diyin God bits'ą́ą́dóó diné nilíinii nihich'į' yííníł'a'ígíí nihaa náádoodááł, áko ashkii yizhchį́įgo ádiilníłígi bínanihizhdínóołtįįł. 
7:13:009:0	Áko Diyin God éí Manówah nábookąąhgo yidiizts'ą́ą'go asdzání dá'ák'ehgi sidáago Diyin God bidiyingo naal'a'í baa náánádzá, nidi bahastiin Manówah éí doo ákwii bił naa'aashgóó. 
7:13:010:0	Áko asdzání haneetehee hahastiin baa jílwodgo bił hojoolne'go ájíní, Shoo, diné léi' shich'į' yit'íní í'diilyaa yę́ę shaa náánádzá. 
7:13:011:0	Áko Manówah nídii'na'go t'áá áko be'asdzą́ą́ yikéé' dah diiyáago diné yaa níyáago áyidííniid, Da' niísh díí asdzání bich'į' yáníłti' nít'éé'. Áko ání, Éí lá shí ásht'į́ ni. 
7:13:012:0	Áko Manówah ádííniid, Nizaad bihoolyaago ashkii haash yit'éego hináa doo, índa ha'át'íishą' yaa naagháa doo? 
7:13:013:0	Áko Diyin God bidiyingo naal'a'í éí Manówah ánéidoo'niid, Ne'asdzą́ą́ ábidííniidígíí t'áá át'é yik'ehgo ádaa áhályą́ą doo. 
7:13:014:0	Ha'át'íhída ch'il na'atł'o'ii bits'ą́ą́dóó ályaaígíí t'áadoo jiyání doo, wáin, doodaii' tó tsi'na'iiłáii t'áadoo jidlání doo, índa doo daadą́ą́góó bee nihá haz'áanii doo jidooyį́įł da; bee hach'į' haasdzí'ígíí t'áá át'é ts'ídá bik'eh hojíł'į́į doo. 
7:13:015:0	Áko Manówah éí Bóhólníihii bidiyingo naal'a'í ánéidoo'niid, T'áá shǫǫdí átsé t'áá kǫ́ǫ́ sínídáago tł'ízí yázhí ła' ná nídiil'ah. 
7:13:016:0	Áko Bóhólníihii bidiyingo naal'a'í éí Manówah ánéidoo'niid, T'áá kǫ́ǫ́ sédáago nihich'iyą' doo deeshį́įł da, nidi didlidgo nááhániihii ła' hasht'edoohłíiłgo Bóhólníihii bich'į' nááhidoołnih. Jó, Manówah éí Bóhólníihii bidiyingo naal'a'í át'ínígíí doo hoł bééhózin da. 
7:13:017:0	Áko Manówah éí Bóhólníihii bidiyingo naal'a'í ánéidoo'niid, Haashą' yinílyé, áko ádínínígíí t'áá aaníí bihoolyaago nił niidlį́į doo? 
7:13:018:0	Bóhólníihii bidiyingo naal'a'í ánááhodoo'niid, Ha'át'íishą' biniyé shízhi' bínashídíłkid? Jó, doo bééhózingóó ayóó ánoolninii át'é. 
7:13:019:0	Áko Manówah éí tł'ízí yázhí ła' ak'áán nááhidoonihii yił néidiinilgo tsé'éłkáa'gi Bóhólníihii yich'į' nááyiisnii', índa Manówah áádóó be'asdzą́ą́ binááł t'óó bik'e'ayóigi áhoodzaa. 
7:13:020:0	Nít'éé' bikáá' náá'iiniihí bikáá'dóó dego wót'áahjigo kǫ' dah nídíno'go, Bóhólníihii bidiyingo naal'a'í éí yiih hóóle'go yá'ąąshgóó anáhóóle'. Áko Manówah áádóó be'asdzą́ą́ éí yiníł'į́įgo yik'ee tsé'yaa aníídee'. 
7:13:021:0	Áko Bóhólníihii bidiyingo naal'a'í éí Manówah áádóó hwe'asdzą́ą́ bił t'áadoo hach'į' yit'íní ánáá'diilyaa da. Ákohgo Manówah éí Bóhólníihii bidiyingo naal'a'í át'į́įgo hoł bééhoozin. 
7:13:022:0	Áko Manówah hwe'asdzą́ą́ ábizhdííniid, T'áá aaníí díníi'nééł lá; jó, Diyin God níil'į́į́'. 
7:13:023:0	Nidi hwe'asdzą́ą́ áhodííniid, Bóhólníihii nanihidoołtsił biniyé át'į́įgo didlidgo nááhaaznii'ii índa ak'áán nááhaaznii'ii nihílák'eedóó doo néidiiláa da doo nít'éé', doodaii' díí t'áá ałtso t'áadoo nihich'į' áyiilaa da doo nít'éé', doodaii' díí ákódooníłígíí nidi t'áadoo yee nihi'níłnii' da doo nít'éé'. 
7:13:024:0	Áko asdzání biyáázh yishchį́ áádóó Sámson bee jíízhi', áko ashkii nooyéełgo Bóhólníihii bik'ijidlí. 
7:13:025:0	Zórah kin haal'áii áádóó Éshteiyal kin shijaa' bita'gi Dan dine'é dah yinéłídi nijigháago Bóhólníihii biNíłch'i Diyinii nábidiiłnáahgo hodeeshzhiizh.
