7:1:001:1	Júdah dine'é áádóó Símiyan dine'é éí
7:1:002:1	Adónai-bíízek deisná
7:1:001:0	Jáshowa daaztsą́ą́dóó bik'ijį' Ízrel dine'é éí Bóhólníihii nideídééłkidgo ádaaní, Háishą' nihá alą́ąjį' Kéínan dine'é yich'į' anaa' ádahodoolíiłgo yił da'ahidoogą́ą́ł? 
7:1:002:0	Bóhólníihii ádííniid, Júdah dine'é anaa' ádahodoolííł; jó, éí kéyah bílák'edíí'ą́. 
7:1:003:0	Áko Júdah dine'é éí hak'is Símiyan dine'é ádabizhdííniid, Haa'íshą' kéyah nihaa deet'ánígíí bich'į' nihił doohkahgo Kéínan dine'é bił da'ahidiigą́ą́ł. Índa nihí ałdó' t'áá ákót'éego kéyah nihaa deet'ánígíí bich'į' nihił dadiibah. Áko Símiyan dine'é hodiikaigo hoł dah diikai. 
7:1:004:0	Áádóó Júdah dine'é dashdiiná, áko Bóhólníihii éí Kéínan dine'é índa Píírez dine'é hálák'eidíí'ą́ągo Bíízek kin haal'áagi neeznáadi mííl nidadzistseed. 
7:1:005:0	Áádóó Bíízek kin haal'áhígi Adónai-bíízek wolyéii bik'ídazneeztą́ą'go bił da'ahijoogą́ą́', áko Kéínan dine'é índa Píírez dine'é bits'ą́ą́' nidzistseed. 
7:1:006:0	Nidi Adónai-bíízek éí dah díníichą́ą́', áko yikéé' nídiijée'go yił dadeezdéél, índa bílátsoh áádóó bikétsoh yits'ą́ą́' dayiizhgizh. 
7:1:003:1	Júdah dine'é éí Jerúsalem dine'é áádóó Hííbran dine'é deisná
7:1:007:0	Adónai-bíízek ání, Tsosts'idiingo aláahgo naat'áanii bílátsoh índa bikétsoh dahágizh; éí shibikáá' adání bikáá'dę́ę́' ch'iyáán hadahineezdee'ígíí deiyą́ą́ nít'éé'. Ákódeishłaaígi át'éego Diyin God k'ééshidiidlaa. Áko Jerúsalem kin haal'áágóó dahazyį́įgo áadi dadziztsą́. 
7:1:008:0	Áádóó Júdah dine'é éí Jerúsalem dine'é yik'iijée'go deisná índa diltłish yee ałtso nideistseedgo kin haal'áii yiih dahodeeznil. 
7:1:009:0	Éí bik'ijį' Júdah dine'é éí Kéínan dine'é dził bąąhgóó áádóó shádi'ááhjí haz'ánígóó índa halgaijigo kéédahat'ínígíí yik'iijéé'. 
7:1:004:1	Áthniyel éí Dííber kin haal'áii yisná áádóó Áksa hwe'asdzą́ą́ silį́į́'
7:1:010:0	Áádóó Júdah dine'é éí Kéínan dine'é Hííbran kin haal'áagi kéédahat'ínígíí yik'iijée'go deisná; (Hííbran hoolyéhígi átséédą́ą́' Kírjath-árba hoolyéé nít'éé'); áadi Shííshai áádóó Aháíman índa Tálmai nideistseed. 
7:1:011:0	Áádóó dah náádiikaigo Dííber kin haal'áagi kéédahat'íinii yik'iijée'go deisná. (Dííber hoolyéegi átséédą́ą́' Kírjath-síífer hoolyéé nít'éé'.) 
7:1:012:0	Áko Kéíleb ání, T'áá háiida Kírjath-síífer baatįįh jííyáago bik'eh dzideesdlį́'ígíí éí shitsi' Áksa hwe'asdzą́ą doo biniyé haa deeshtééł. 
7:1:013:0	Áko Kéíleb bitsilí Kíínez biye' Áthniyel wolyéii éí ak'eh deesdlį́į'go Kéíleb bitsi' Áksa éí Áthniyel be'asdzą́ą dooleełgo yeiníłtį́. 
7:1:014:0	Ákódzaago Áksa éí Áthniyel bił ahizhdii'áazhgo níjookąąhgo ábijiní, Shizhé'é kéyah ła' bíídííkił. Áádóó Áksa éí hatélii bik'i nijííyáago Kéíleb áhodííniid, Ha'át'íí lá haniná? 
7:1:005:1	Áhoníłtéelgo Júdah dine'é áádóó Bénjamin dine'é naazbaa'ígíí
