7:3:001:1	Ał'ąą dine'é yidziihígíí bee Ízrel dine'é hwééhodoozįįł
7:3:001:0	Bóhólníihii díí ał'ąą ana'í yidziihgo áyiilaa; éí bee Ízrel dine'é hwééhózíní áhodoolíiłgo nahwíintaah; Kéínan kéyahgi Ízrel dine'é ła' anaa' baa nida'asdee'ígíí doo bił béédahózin da. 
7:3:002:0	Ts'ídá díidíígíí t'éiyá biniyé ákót'éego Ízrel dine'é náás ahoolchíiłii bił ééhodoozįįłgo ákóyiilaa; éí anaa' bich'į' na'abaah doo bił béédahózin dago anaa' bíńdabidi'niltin doo. 
7:3:003:0	Díí lą́ą: Filístiya dine'é éí binanit'a'í ashdlalt'éego yił bikin hadaas'á áádóó Kéínan dine'é t'áá ałtso kéyahgi kéédahat'į́į́ nít'éé' áádóó Sáídan dine'é índa Háíva dine'é Dził Lébanangóó éí Dził Béíyal-hérman si'ánídóó Héímath kin haal'áii yah ahóót'i'jį' kéédahat'į́į́ nít'éé'. 
7:3:004:0	Áko t'áá bí bee Ízrel dine'é nayídeintaahgo bik'eh ó'oo'níiłii dayíists'ą́ą'go daats'í bił béédahodoozįįł; éí dabizhé'é yę́ę yich'į' Mózes yiniit'aa yee haadzíí' nít'éé'. 
7:3:005:0	Ákohgo Ízrel dine'é éí Kéínan dine'é áádóó Het dine'é áádóó Ámor dine'é áádóó Píírez dine'é áádóó Háíva dine'é índa Jííbas dine'é yitahgóó kéédahat'į́į́ nít'éé'. 
7:3:002:1	Áthniyel éí Kúshan-rishathéíyim yits'ą́ąjį' Ízrel dine'é yisdáyíínil
7:3:006:0	Áko Ízrel dine'é éí ana'í dabitsi'ké bida'asdzą́ą doo biniyé t'áá bí ádá nídayiisdláá', áádóó dahatsi'ké éí dabiye'ké bił ahaa dayii'nííł nít'éé', índa bidiyin dabidi'níinii bich'į' nidahojiłáá nít'éé'. 
7:3:007:0	Ízrel dine'é éí Bóhólníihii binááł doo yá'áshónígi ádajíít'įįd áádóó Bóhólníihii haDiyin God baa dajiyooznah, áko Béíyal índa Ashíírah eda'alyaii bich'į' nidahojiłáá nít'éé'. 
7:3:008:0	Éí bąą Bóhólníihii éí Ízrel dine'é yich'į' báhóóchįįdgo, Mesopotéímiya kéyahdóó aláahgo naat'áanii Kúshan-rishathéíyim wolyéii hasnáago Ízrel dine'é éí Kúshan-rishathéíyim yinaalte' danilį́įgo tseebíí nááhai. 
7:3:009:0	Áádóó Ízrel dine'é éí Bóhólníihii nídayookąąhgo Bóhólníihii éí Ízrel dine'é yisdáyiiníił dooígíí niiníłtį́įgo Ízrel dine'é yisdáyíínil; éí Kéíleb bitsilí Kíínez biye' Áthniyel wolyé. 
7:3:010:0	Éí Bóhólníihii biNíłch'i Diyinii hak'i hoole'go Ízrel dine'é yá nihodiyii'aah nít'éé' áádóó anaa' baa na'aldeehgóó dah diiyá; Bóhólníihii éí Mesopotéímiya kéyahdóó aláahgo naat'áanii Kúshan-rishathéíyim wolyéii hálák'eidíí'ą́; Kúshan-rishathéíyim bik'ijį' jílį́įgo bik'esdeesdlį́į́'. 
7:3:003:1	Ííhad éí Mó'ab dine'é yits'ą́ąjį' Ízrel dine'é yisdáyíínil
7:3:011:0	Áádóó éí kéyahgi hasht'ehodít'éego dízdiin nááhai. Ákohgo Kíínez biye' Áthniyel daaztsą́. 
7:3:012:0	Nít'éé' Ízrel dine'é éí Bóhólníihii binááł doo yá'áshónígi ánáádáát'įįd. Áko Mó'ab kéyahdóó aláahgo naat'áanii Églan wolyéii Bóhólníihii bidziil ábiilaago Ízrel dine'é atíyiilaa, háálá Bóhólníihii binááł doo yá'áshónígi ádajíít'įįd. 
7:3:013:0	Églan éí Áman dine'é índa Ámalek dine'é áłah áyiilaago Ízrel dine' é yaa heekaigo yik'eh dadeesdlį́į́', áko kin haal'áii tsin páam yíl'áii hoolyéii bíí' daazlį́į́'. 
7:3:014:0	Áko Ízrel dine'é éí Mó'ab kéyahdóó aláahgo naat'áanii Églan wolyéii yá nidaal'a'go tseebííts'áadah nááhai. 
7:3:015:0	Nidi Ízrel dine'é éí Bóhólníihii nídayookąąhgo Bóhólníihii éí yisdáhwiiníił dooígíí niiníłtį́; Ííhad éí Gííra biye' Bénjamin dine'é nilíinii éí diné nitł'aii nilį́. Mó'ab kéyahdóó aláahgo naat'áanii Églan wolyéii baa doolyéełii yił hach'į' Ízrel dine'é ida'as'a'. 
7:3:016:0	Áko Ííhad t'áá bí diltłish ałts'ą́ąjį' deenínígíí t'ááłá'ídóó ałníí' ké silá áníłnéezgo áyiilaa, índa bik'ai' nish'náájí bi'éé' biyaadi yił ákászaazgo áyiilaa. 
7:3:017:0	Áko Mó'ab kéyahdóó aláahgo naat'áanii Églan wolyéii baa doolyéełii bich'į' jiníjaa'. Églan éí t'áá íiyisí diné neesk'ahii jílį́. 
7:3:018:0	Áádóó aa doolyéełii bich'į' nizh'nínilgo, ada'azláii dah nídazhdiił'a'. 
7:3:019:0	Nidi Gílgal haz'ání bíighahgi tsé eda'alyaii bik'i nida'ashk'aazhii sinilíjį' yił niikaigo Églan yich'į' t'ą́ą́' nádzáago ííłní, Aláahgo naat'áanii nílíinii, t'áá ádííghahígo hane' ła' bee nił hodeeshnih. Áádóó naat'áanii ání, Haa'íshą' diiłhééł. Áko bíighahgóó naazínígíí ałtso ch'ékai. 
7:3:020:0	Áádóó Ííhad hach'į' niníyá; t'áá sáhí chaha'oh biyaagi dzizdáago áhodííniid, Diyin God bits'ą́ą́dę́ę́' hane' ła' bee nił hodeeshnih. Áko dzizdáhídóó nízhdii'na'go 
7:3:021:0	Ííhad bik'ai' nish'náájí diltłish bąąh ní'áhígíí nishtł'ají yee yił háádéelgo habid góne' yaa ayííłgeed. 
7:3:022:0	Diltłish bitsiin t'áá bił baa eelwodgo bik'ah bee diltłish t'áá át'é doo yit'į́į́góó áyiilaa, áko bibid biyi'dę́ę́' diltłish doo háájótą́ą́' át'ée da silį́į́' índa bibid biyi'dę́ę́' chąą' háágo'. 
7:3:023:0	Ákohgo Ííhad éí dah náhást'ání góne' ajoolwodgo chaha'ohgi dáń'da'ditį́hígi dáda'deeskaalgo ájiilaa. 
7:3:024:0	Índa Ííhad ch'élwodgo Églan bá nidaal'a'í níjée'go chaha'ohgi dáádílkał dáda'deeskaalgo dayiiłtsą́, nít'éé' ádaaní, Nii'ohdi sidá sha'shin. 
7:3:025:0	Áko haba' nidaakaigo dadooshch'iizh, nidi chaha'ohgi dáádadilkał t'áadoo ąą ájíléhí t'óó bee ąą ńdítį́hí nídeidiinilgo ąą ádayiilaa; nít'éé' binanit'a'í daaztsą́ągo ni'góó sitį́įgo dayiiłtsą́. 
7:3:026:0	T'ah nida'áhodilziidgo Ííhad ch'élwodgo tsé bik'i nida'ashk'aazhii eda'alyaii sinilígíí bine' góne' ch'íneet'į́į́', áádóó Siyáírath haz'áníjį' yisdáálwod. 
