61:2:001:1	Łi'didlii Kwaa Haa Geech'ǫąąhtan Nąįį
61:2:001:0	Vit'eegwijyąhchy'aa eenjit ginkhii adaa'įį nąįį yeenii Jews tee googwinli' , izhit gwik'it juk chan nakhwatee Vit'eegwijyąhchy'aa Viginjik eech'ǫąąhtan adaa'įį nąįį gweheelyaa . Gwineetak łi'didlii kwaa haa geech'agǫąąhtan . Gook'eegwaadhat Jesus gooveenjit goiinkwat ąįį haa gwiindaii kwaa giheejyaa , ąįį geh'an khan an adagahaatsyaa nagwahaadhal .
61:2:002:0	Izhit googaa , gwik'injiighit lęįį nąįį gook'it t'igii'in ts'ą' gwiizųų nihłaa nigwigwii'ąįį giheelyaa , jyaa digii'in geh'an gwik'injiighit kwaa nąįį Jesus vatąįį ąįį tr'agwaanduu giheenjyaa ts'ą' geegigiheekhyaa .
61:2:003:0	Laraa zhrįh giindhan ts'ą' jii Vit'eegwijyąhchy'aa eenjit ginkhii adaa'įį nąįį zhyaa łi'didlii nilii kwaa haa geech'agoohąąhchyaa laraa gahaatsyaa eenjit . Niighit dąį' gwats'an Vit'eegwijyąhchy'aa giizųų gavahnyąą chy'aa adan ąįį niighit kwaa an neegoohahtsyaa gwizhrįh goo'aii .
61:2:004:0	Vit'eegwijyąhchy'aa yeenaa dąį' zheekat-gwich'in iizųų dhidlit nąįį ch'ihłak gaa akhoonyąą kwaa ts'ą' hell gwizhit t'eegoovahnaii , izhit hee Ch'aroahkat Drin gwats'ą' tǫǫ gwizhit ch'iitsii tły'ah haa dagahohchaa .
61:2:005:0	Vit'eegwijyąhchy'aa yeenaa dąį' , jii nankat chųų haa an gwiłtsąįį dąį' , vakat dinjii Vit'eegwijyąhchy'aa inehts'į' nilii nąįį , giik'eegwahthat kwaa , ts'ą' chųų haa an gooviłtsąįį , gaa Noah t'ee Vit'eegwijyąhchy'aa vandee ts'ą' gwinzii gwizhrįh tr'agwah'in ts'ą' Vit'eegwijyąhchy'aa k'eegohthat nyąą dinjii nąįį ts'ą' geech'ǫąąhtan , ąįį zhit geh'an Noah ts'ą' vizhehk'aa 7 nąįį haa zhrįh an gaadlit kwaa gooviłtsąįį .
61:2:006:0	Vit'eegwijyąhchy'aa ąįį Sodom ts'ą' Gomorrah kwaiik'it gwachoo kǫ' haa an gwiłtsąįį , Vit'eegwijyąhchy'aa inehts'į' nilii nąįį googwahąąh'yaa ts'ą' geedan chan an giheelyaa kwaa gwits'į' t'agoovah'in .
61:2:007:0	Lot zhrįh gwats'an tr'ąąhchįį , dinjii nizįį nilii geh'an , Vit'eegwijyąhchy'aa va-law k'eegwahthat kwaa nąįį ts'ą' tr'agwaanduu nihłaa nigwigwii'ąįį gwąąh'in geenjit łyaa gitr'ii'ee .
61:2:008:0	Dinjii nizįį nilii ts'ą' gootee gwich'įį gaa drin gwiteegwaanchy'aa vandah gwiizųų t'igwii'in , gwąąh'in akwat gwiitth'ak eenjit gwantł'oo viyinji' zhit gwiizųų ts'ą' ąįį ts'an khaiinjich'iighit .
61:2:009:0	Ch'aroahkat Drin nigwiindhat ji' Vit'eegwijyąhchy'aa gwik'injiighit kwaa iizųų nąįį khaiinjich'igiheeghit ts'ą' an goovahahtsyaa gaandaii , gaa juk gweendaa gwik'injiighit nąįį khaiinjich'igiighit gwats'an tr'iineegooviheelyaa .
61:2:010:0	Zhit juu tr'agwaanduu ch'aanagoih'aa zhrįh niindhan nąįį Vit'eegwijyąhchy'aa gook'aa t'aih di'įį geenjit niinjich'agadhat kwaa nąįį ch'andaa khaiinjich'ahahthat . Geech'ǫąąhtan adaa'įį nąįį t'ee , ts'ą' khaiinjigihil'ee gwizhit zheekat gwich'in vich'eegwąhndit nąįį gihił'ee kwaa ts'ą' gwiizųų goots'ą' giginkhii .
61:2:011:0	Geech'ǫąąhtan adaa'įį nąįį , zheekat gwich'in iizųų gaadlit nąįį goovandaa giint'aii googaa duuyeh Vit'eegwijyąhchy'aa andah gwiizųų goots'ą' geegiginkhii .
