61:3:001:1	Diik'eegwaadhat Nineeheedyaa Gwinyąą Łyaa T'igwinyąą
61:3:001:0	Shijyaa nakhweet'ihthan nąįį , juk it'ee neekwat nakhwats'ą' dęhtły'aa ałtsii . Ąįį dęhtły'aa neekwaii danoihtł'oo ąįį kat juk łi'didlii zhit gwinzii niinjich'ahohthat eenjit khit gineehoondaii eenjit nakhwaa neegwaaldak t'ihnyąą .
61:3:002:0	Yeenaa dąį' Vit'eegwijyąhchy'aa Eenjit Ginkhii shroodiinyąą nąįį googinjik haa jyaa giinyą' ąįį ganoondaii , Jesus ditsyaa Tr'ihił'e' nąįį ąįį dahnyąą gineehoondaii yuu , Diik'eegwaadhat neediihahshii viginjik nakhwantł'eegiinlii ąįį zhit chan ganoondaii .
61:3:003:0	Jii ch'andaa oodǫǫhk'įį , Khaiinkǫǫ Drin zhit nigwiindhat ji' dinjii nąįį tr'agwaanduu datthak gwizhrįh t'igiindhan chy'aa gwizhrįh t'igihee'yaa , ts'ą' nakhwak'injigwiighit eenjit nakhwageheedlaa .
61:3:004:0	Ąįį nąįį nakhwageheedlaa gwizhit nakhwagahąąhkat , “ Yeenii diilak ch'adąį' hee nigiinjik gaa jii nan goodlit tth'aii hee nihk'it t'iichy'aa . Jesus oo'ee neehihdyaa nakhwarahnyąą chy'aa adaajii ? ”
61:3:005:0	Niighit dąį' łi'haa Vit'eegwijyąhchy'aa viginjik haa jii nan , zhee haa goodlit izhit shroondaii gwigweheechy'aa kwaa . Chųų tee nan khaiinlik jyąhts'ą' t'ee chųų ts'an nan goodlit t'agwarahnyąą .
61:3:006:0	Niighit dąį' Vit'eegwijyąhchy'aa chųų haa nan gwakat an gwiłtsąįį .
61:3:007:0	Gaa Vit'eegwijyąhchy'aa gwehkįį dąį' diginjik haa datthak gwiłtsąįį gaa juk dahthee nan akwat zhee zhit datthak , kǫ' haa an gwahahtsyaa eenjit gwats'ą' shroondaii nagwal'in . Izhit Ch'aroahkat Drin zhit ji' , Vit'eegwijyąhchy'aa nehts'į' nilii nąįį an giheelyaa goo'aii .
61:3:008:0	Shijyaa nakhweet'ihthan nąįį , jii ganoondee shrǫ' ! Vit'eegwijyąhchy'aa drin ch'ihłak akwat 1 , 000 years haa nihk'it veenjit t'oonchy'aa , it'ee shrit jiintsii ts'ąįį zhyaa k'it veenjit t'oonchy'aa .
61:3:009:0	Dinjii lat nąįį Diik'eegwaadhat oo'ee neeheedyaa kwaa giindhan gooveenjit niighyuk gwahthaa geh'an . Nakhwatee dinjii ch'ihłak gaa an oolį' shrǫ' niindhan geh'an khalchį' kwaa ts'ą' datthak tr'agwaanduu t'igii'in akhagagoonyąą ji' gavoonyąą , łyaa deenyąą gwik'it t'ihee'yaa t'inyąą .
61:3:010:0	K'eegwaadhat oo'ee neeheedyaa Drin ji' zhit gwa'an dinjii ch'iheen'įį eenjit neech'ahaan'ik izhit gwik'it t'iheenjyaa , diirahtee t'igweheenjyaa . Izhit Drin ji' zheetii shraa hee'aa ts'ą' gwint'aii deegweheentsai' , ąįįt'ee tǫǫ aadrii , są' , ąįįts'ą' jidii zheetii dhidlii datthak kǫ' haa gweheek'an ts'ą' an gwilii t'igwinyąą , jii nan datthak haa jyaa nagwahaadhal .
61:3:011:0	Jyąhts'ą' t'ee jidii datthak an heelyaa t'igwinyąą akwat nats'ahts'ą' dinjii ǫhłį' nohthan ? Juk gwats'an Vit'eegwijyąhchy'aa vik'eegohthat ts'ą' shroodiinyąą ǫhłįį .
61:3:012:0	Nakhwan , K'eegwaadhat oo'ee neeheedyaa eenjit nagoodhoo'in ts'ą' khan oo'ee neeheedyaa eenjit khadhoochį' , niighit kwaa gwik'it gweheelyaa eenjit dinjii nizįį ǫhłįį . Zheetii dhidlii datthak an heelyaa ts'ą' heek'an ts'ą' datthak kǫ' ts'an tthah gęhdaa kwaa niindhaa haa neegahaaghwan ts'ą' an gweheelyaa t'oonchy'aa .
61:3:013:0	Vit'eegwijyąhchy'aa deeshi'yaa nyąą datthak eenjit nagooril'in , zheetii k'eejit ts'ą' , nan k'eejit haa nineehaatth'aa ąįį kat juu nąįį datthak Vit'eegwijyąhchy'aa deenyąą gwik'it t'igiheechy'aa ts'ą' gwigweheechy'aa .
61:3:014:0	Ąįįts'ą' t'ee , shijyaa nąįį , izhit drin geenjit nagoodhoo'in , gwiizhit Vit'eegwijyąhchy'aa vandee ts'ą' gwinzii t'akhwa'yaa gwizhrįh gwik'eegǫhdaii ts'ą' vaa tsinehdan zhit gǫhdaii .
61:3:015:0	Jii juk gooh'in , Diik'eegwaadhat oo'ee neeheedyaa eenjit khadhoochį' kwaa , neenakhwahahshii ji' eenjit khai' ts'ą' gwahthaa t'ii'in . Jyąhts'ą' diijyaa Paul diiyaantł'oo , Vit'eegwijyąhchy'aa digwizhi' yintł'eiin'ąįį ąįį t'aahchy'aa t'ii'in .
61:3:016:0	Vidęhtły'aa kwaii kat datthak jii gǫhju' deenakhwaiinyą' adan chan gwik'it t'anakhwaiinyą' . Gwalat deiinyą' kwaii vagwantrii ts'ą' dinjii tr'igwinjik ts'ą' gwik'injiighit niint'aii kwaa di'įį nąįį zhyaa k'ii'an giidęhtły'aa kat łihteech'igeelyaa , ch'adanh Dęhtły'aa Choh kat gwadanakhwatł'oo ąįį kwaii zhyaa k'ii'an eegiginkhii . Ąįįts'ą' idigeenjit gwiizųų googwaatsii , Vit'eegwijyąhchy'aa an goovahahtsyaa t'oonchy'aa .
61:3:017:0	Shijyaa nąįį nakhwan ąįį , ch'adąį' hee gaakhwandaii , khit adak'ǫǫntii , Vit'eegwijyąhchy'aa va-law k'eegwahthat kwaa akwat gaandaii kwaa nąįį nakhwateeheelyaa gwits'į' adak'ǫǫntii . Gwik'injiighit niint'aii khwa'įį ąįį an heelyaa gwits'į' gwak'ǫǫhtii .
61:3:018:0	Diik'eegwaadhat Jesus Christ neediinahahshii ts'ą' Vich'eegoonzhrii tr'ii'įį gwandaa vaakhwandaii k'iighai' nakhwak'injigwiighit heent'aii ts'ą' nitsii hohtsyaa gwik'eegǫhdaii . Vats'a' ch'eegwąhndit gooli' , juk akwat ye'eendaa datthak ! Amen ! !
