46:14:001:1	Pen xiiij .
46:14:002:1	Eiriel bot cariat y mae ef , a’ chanmol dawn tavodae , a’ doniae ysprytol ereill . Eithyr yn bennaf prophwyto . Y mae ef yn gorchymyn i verchet ymostegu yn yr Eccles , Ac y mae yn dangos pa ryw vrddasdrefn a ddylit ei gadw yn yr Ecclee .
46:14:001:0	DIlynwch gariat , a’ deisyfwch ddoniæ ysprytawl , ac yn hytrach bot y chwi prophwyto .
46:14:002:0	Can ys yr hwn a ymddiddan davot dieithr , nyd wrth ddynion yr ymddiddan , anyd wrth Dduw : can nad oes neb yn ei glywet : er hynny yn yr yspryt y mae ef yn ymðiddan dirgelion :
46:14:003:0	eithr hwn ’sy ’n prophwyto , a ymddiddan wrth ddynion er adailad , ac er cygor , a’ chonfort .
46:14:004:0	Yr hwn a ddywait mevvn tavot dieithr , ai hadail y hunan : anyd yr vn a prophwyta a adail yr Eccles .
46:14:005:0	Mi vynnwn pe llavarech bawp davot diethr , anyd yn gynt bot y chwi prophwyto : can ys mwy yw ’r vn a brophwyta , na ’r vn a lefair amryvv davodae , o ddieithr yðo ei ddeongl , y gahel o’r Eccles dderbyn adailad .
46:14:006:0	Ac yr awrhon , vroder , a’s dawaf i atoch gan lavaru amrafael davodae , pa les a wnaf ychwy , dyeithr ymddiddan o hanaf wrthych , ai drwy ddatguddiat , ai drwy wybyddieth , ai drwy brophetolieth , ai drwy ddysceidaeth ?
46:14:007:0	Hefyt petheu di enaid wrth roi llais , pa vn bynac vo ai chwibanogl ai telyn , dyeithr yðynt roi gohan yn y llesiae , pa wedd y gwyðir beth a genir ar y chwibanogl neu ar y delyn ?
46:14:008:0	A’ hefyt a’s yr vtcorn a rydd lais anhynod , pwy a ymbaratoa i rhyvel ?
46:14:009:0	Ac velly chwitheu , trwy’r tavod o ðyeithr ywch adrodd geiriae yn arwyddocau , pa wedd y dyellir beth a ddyweder ? can ys byddwch yn ymddiddan yn yr awyr .
46:14:010:0	Y mae cynniuer o rywiegaethe lleisiae , ( val y bydd ) yn y byd , ac nyd oes vn o hanynt yn vut .
46:14:011:0	Can hyny a ddyeithr ym’ wybot grym y llais , mi vyddaf yn varbarus ir vn a vo yn ymðiddan , a’r vn a ymddiddan , vydd barbarus i minheu .
46:14:012:0	Ac velly chwitheu yn gymeint ach bot yn deisyfy doniæ ysprytol , ceisiwch draragori tuac at adeiladeth yr Eccles .
46:14:013:0	Erwydd paam , gweðiet yr hwn a ymddiddan a thafod dieithr , ar yddo vedry ddeongl .
46:14:014:0	Can ys a’s gweddiaf mevvn tavod diethr , e weddia vy yspryt : anyd y mae vy dyall eb ddimffrwyth .
46:14:015:0	Beth wrth hyny ? gweðiaf gan yr yspryt a’ gweddiaf gan ddyal hefyt , canaf a’r yspryt ’a chanaf a’r dyall hefyt .
46:14:016:0	Ac anyd ef , pan vendithych gan yr yspryt , pa wedd y byð ir hwn ’sy yn lle andyscedic , ddywedyt Amen , ar bryd dy ddiolwch di , can na wyr ef beth a ddywedy ?
46:14:017:0	Can ys diau dy vot ti yn diolvvch yn ddivei , eithr nad yw’r llal’ yn cael adailadaeth .
46:14:018:0	Im Duw y diolchaf , vy‐bot yn dywedyt tafodeu yn vwy na chwi oll .
46:14:019:0	Er hyny yn yr Eccles gwell genyf ðywedyt pemp gair a’m dyall er mwyn ymy hefyt addyscu eraill , na dec mil o eriae mewn tavod dieithr .
46:14:020:0	Vroder , na vyðwch vechcin o ðyall , eithr am ðrigioni byðwch vechcin , anyd o ddyall byddwch gwbl‐oedran .
46:14:021:0	Yny Ddeðyf yð yscrivenir , Drwy ’rei o davodae ereill , a’ thrwy iaithoedd eraill yr ymadroddaf wrth y popul hyn : eto velly ny chlywant vi , með yr Arglwyð .
46:14:022:0	Can hyny tavodae dieithr ynt yn lle arwyð , nyd ir sawl a credāt , anyd ir sawl ny chredant : eithyr propwytoliaeth a vvasanaetha nyd ir ei a credant , anyd ir ei ny chredant .
46:14:023:0	A’s can hyny , pan ddel yr oll Eccles ynghyt yn vn , a phawp yn dywedyt tavodeu dieithr , daw y mewn ’rei andyscetic , neu rei eb gredu , any ddywedant , eich bot wedy gorphwyllo ?
46:14:024:0	Eithyr a’s pawp a propwytant , a’ dyvot y mewn vn eb gredu , neu vn andyscedic , ef a arguoeddir gan bawp , at a vernir gan bawp .
46:14:025:0	Ac velly yr amlygir dirgeloedd ei galon , ac velly y cwymp ef ar ei wynep ac yr addola Dduw , ac a ddywait yn ’oleu vot Duw ynoch yn ddiau ,
46:14:026:0	Beth bellach , vroder ? pan ddeloch yn‐cyt , vvrth val y bo gan bop vn o hanoch psalm , neu vot ganto ddysceidaeth , neu vot ganto davot , neu vot gantho ddatguddd , neu vot gantho esponiat , byddet pop peth oll er adailieth .
46:14:027:0	A dywait nep davot dieithyr gvvneler bob ddau neu or mwyaf bob dri , a hyny ar gylch ac esponet vn .
46:14:028:0	Ac any bydd esponiwr , tawet a son yn yr Eccles , yr hvvn a ddavvait iaithoedd , a’ dywedet wrtho yhunā , ac wrth Dduw .
46:14:029:0	Dywedet y Propwyti ddau , neu dri , a’ barnet y llaill .
46:14:030:0	Ac a’s datguddiwyt dim y arall a vo yn eisteð yno , tawet y cyntaf .
46:14:031:0	Can ys chwi ellwch oll bropwyto bop vn ac vn , val y gallont oll ddyscu , ac oll gael confforth .
46:14:032:0	Ac ysprytoeð y Prophwyti ’sy ðarestyngedic ir Prophwyti .
