46:13:001:1	Pen . xiij .
46:13:002:1	Can vot cariat yn ffynnon ac yn rheol y adailat yr Eccles , y mae ef yn yscythru ei natur , ei swydd ai voliant .
46:13:001:0	PEd ymddiðanwn a’ thafodeu dynion ac Angelion , a mi eb gariat , perfeith genyf , yr wyf val efydd yn seiniaw , neu cymbal yn tincian ,
46:13:002:0	a’ phe gvvyddvvn prophwyto , a’ gwybot oll ddirgelion , a’ phop celfyddyt , a’ phe bei genyf yr oll ffydd , mal y gallwn ysmuto mynyddedd , a’ bod eb gariat , nyd wyf ddim .
46:13:003:0	A’ phe porthwn y tlodion am oll da , a’ phe rhoddwn vy‐corph , im llosci , a’ bod eb gariat , nyd dim lles‐ymy .
46:13:004:0	Cariat ys y ddyoddefus , y mae yn gymwynascar : cariat ny chenvigena ; cariat nyd ymffrostia : nyd ymchwydda :
46:13:005:0	ny ddiystyra : ny chais yr yddaw y hunan : ny chythruddir : ny veddwl drwc :
46:13:006:0	ny lawenha am ancyfiawnder , anyd cydlawenhau a gwirionedd :
46:13:007:0	goðef pop dim , credu pop dim : gobeitho pop dim : ymaros ym pop dim .
46:13:008:0	Cariat byth ny chwymp ymeith , cyd pallo prophetolaethae , ai peidiaw tavodae , ai divlannu gwybodaeth .
46:13:009:0	Can ys o ran y gwyddom , ac o ran ydd ym yn prophwyto .
46:13:010:0	Anyd gwedy y del yr hyn ’sy perfeith , yno yr hyn ’sydd o ran , a ddilëir .
46:13:011:0	Pan oeddwn yn vachcen , mal bachen yr ymðiðanwn , mal bachcen y dyallwn , mal bachcen y meddyliwn : and pam aethym yn wr , mi roisym heibio vachceneiddrwydd .
46:13:012:0	Can ys yr awrhon yddym yn gweled mewn drych ar ddamec : and yno y gvvelvvn wynep yn wynep . Yr awrhon yr adwaen o ran : and yno yr adnabyddaf megis ac im adwaenir .
46:13:013:0	Ac yr awrhon y mae yn aros ffydd , gobeith a’ chariat , sef y tri hyn : a’r pennaf or ei hyn yvv cariat .
