46:12:001:1	Pen xij .
46:12:002:1	Gohanieth donieu yr Yspryt glan a ddylir ei arverer adail . Eccles Christ , Megis y mae aelodae corph dyn yn gwasanaethu er mwynianteu eu gylydd .
46:12:001:0	NEllach am ysprytawl ddoniæ , vrodur , ny vynnwn y chwi anwybot .
46:12:002:0	Gwyddoch mae Genetloedd oeðech , ac ich dugit ffvvrdd at eidoleu mution , megis ich tywysit .
46:12:003:0	Am hyny ydd espesaf y’wch , nad oes nep yn ymadrodd trwy Yspryt Duw , yn galw Iesu yn escommunbeth : hefyd nyd oes nep a all dywedyt mae ’r Iesu yw ’r Arglwydd , a ddieithr trwy ’r Yspryt glan .
46:12:004:0	Sef y mae amryw ddonieu , eithr yr vn Yspryt .
46:12:005:0	Ac y mae amryw wasanaetheu , eithyr yr vn Arglwydd .
46:12:006:0	Ac ymae amryw weithrediadae , anyd yr vn Duw ydyw , ysydd yn gweithredu yr ol’ petheu hyny ym‐pawp .
46:12:007:0	Eithyr amlygiat yr Yspryt y bop vn y rhoddir er llesiant .
46:12:008:0	Can ys y vn y rhoddir trwy ’r Yspryt ymadrodd doethinep : ac y arall y rhoðir ymadrodd gwybyddieth , trwy’r vnryvv Yspryt :
46:12:009:0	ac y arall y rroddir ffydd , trwy’r vn ryvv Yspryt : ac y arall doniae i iachau trwy ’r vnryvv Yspryt :
46:12:010:0	ac y arall weithredyadæ gweithredoedd mawriō : ac y arall propwytoliaeth : ac y arall vvybot gohanieth ysprytoedd : ac y arall , amryw davodew : ac y arall ladmerieth tavodeu .
46:12:011:0	A’r oll petheu hyn a weithreda ’sef yr vn ryw Yspryt , gā rannu yn ailltuawl i bop dyn megis yr ewyllysa ef .
46:12:012:0	Can ys megis y mae y corph yn vn , ac yddaw lawer o aylodae , a’r oll aelodae yr vn corph , cyd baent llawer , eto nyd ynt anyd vn corph : ac velly y mae Christ .
46:12:013:0	Can ys trwy ’r vn Yspryt in batyddiwyt yn vn corph , pa vn bynac vom ai Iuddaeon , ai Groecwyr , ai caithion vom , ai rhyddion , ac in gwnaethpwyt y yfet yn yr vn Yspryt .
46:12:014:0	Can ys y corph hefyt nyd yw vn aylod , anyd llawer .
46:12:015:0	A’s y troed a ddywait , Can nad wyf y llaw , nyd wyf o’r corph , anyd yw hi er hyny o’r corph ?
46:12:016:0	Ac a’s dywait y glust , Can nad wyf i lygat , nyd wyf o’r corph : anyd yw hi er hyny o’r corph ?
46:12:017:0	A’s yr oll corph vyddei lygat , p’le byddei ’r clywedigeth ? a’s y cwbl vyddei yn glywedigeth , p’le bydei’r arogledigeth ?
46:12:018:0	Ac yr awrhon ef a ’osodawdd Duw yr aelodae bop vn o hanyn yn y corph val y bu da ganto ef .
46:12:019:0	Can ys pe baent oll vn aelod , p’le byddei ’r corph ?
46:12:020:0	And yr awrhon y mae aelodae lawer , ac eto vn corph .
46:12:021:0	A’r llygod ny all dywedyt wrth y llaw , Nyd rait i mi wrthyt : na’r pen drachefn wrth y traet , Nyd raid y mi wrthych .
46:12:022:0	Eithyr yn vwy o lawer yr aebodae hyny ir corph , a dybir eu bot yn l’escaf , ’syð yn angenreidiol .
46:12:023:0	A’r aelodae hyny ir corph , yr ei a dybiwn eu bot yn anparchedichaf , y gosodwn vwy o barch yn ei cylch : a’n aelodae anharð ’sy a mwy o harddiwch am danwynt .
46:12:024:0	Can nad rait in aelode hairddion vvrthavv : eithyr Duw a gyd ardemperawdd y corph , gan roðy mwy o barch ir lle ’r oedd yn ddefficiol :
46:12:025:0	Rac bot ancydvot yn y corph : anyd bot i’r aelodeu gyd ’ofalu dros y gylyð .
46:12:026:0	Can hyny a’s doluria vn aylod , e gyd‐doluria ’r oll aelodae : a’s anrydeddir vn aylod , e gyd‐doluria’r oll aelodae : as anrydeddir vn aylod , cyd lawenhau a wna’r ol’ aeloodae .
46:12:027:0	Ac yð yw chwi yn gorph Christ , ac yn aelodae bob vn o ran .
46:12:028:0	A’ Duw a lunieithawð rei yn yr Eccles : megis yn gyntaf , Apostolion , yn ail Propwyti , yn trydyð dyscyawdwyr , yno yr ei wnant wyrthiae : gwedy hyny , donieu iachau , canhorthwywyr , llywodaethwyr , rhywiae tavodyð .
46:12:029:0	Ai Apostolion pawp ? ai Propwyti pawp ? ai dyscawdwyr pawp ? a wna pawp wyrthieu ?
46:12:030:0	a oes gan bawp ddoniae i iachau ? a yw pawp yn cael ymadroð a’ thavodeu ? a ydyw pawp yn medry latimeru ?
46:12:031:0	A’ deisyfwchvvi y donieu goreu , ac eto y dangosaf ywch ffordd draf arddderchawc .
