46:16:001:1	Pen . xvj .
46:16:002:1	Mae ef yn dwyn ar gof yddwynt am gasclu ir broder tlodion yn‐Caersalem , Raid i ni barhau yn y ffydd , yn‐cariat ar Christ a’n cymydawc . Gwedy ei hanerchion , y may ef yn damunaw yddwynt cwbl lwyddiant .
46:16:001:0	TUac at am y cascl ir Sainctæ , megis yr ordeiniais yn Ecclesi Galatia , velly gwnew‐chwitheu hefyt .
46:16:002:0	Pop dydd cyntaf o’r wythnos , dodet pop vn o hanoch heibio wrtho y hun , gan roi y gadw megis y rhoes Duvv yddaw lwyddiant , val na bo ddim or casclu pan ddelwyfi .
46:16:003:0	A’ gwedy ’delwyf pa ’rei bynac a gymradwyoch drwy lythyrae , yr ei hyny a ddanvonaf y ddwyn ych caridawt y Caerusalem .
46:16:004:0	Ac a’s bydd yn gymesur mynet o hano vi hefyt wy ddawant y gyd a mi .
46:16:005:0	Yno y dawaf atoch , gwedy ydd elwyf trwy Macedonia ( canys mi af trwy Macedonia )
46:16:006:0	ac ef al’ei yr arosaf , ie , neu y gayafaf gyd a chwi , val im hebryngoch y b’le bynac ydd elwyf .
46:16:007:0	Can nad oes im bryd ym welet a chwi yr awrhon ar vy hynt , and gobeithaf yr arosaf enhyd gyd a chwi , a’s gady yr Arglwydd .
46:16:008:0	A’ mi a arosaf yn Ephesus yd Pentecost .
46:16:009:0	Can ys agorwyt i mi ðrws mawr a’ grymus : anyd bot gwrthnebwyr lawer .
46:16:010:0	Ac a’s Timotheus a ddaw , edrychwch am y vot ef yn ddiofn y gyd a chwi : can ys efe ’sy yn gweithio gwaith yr Arglwydd , vegis ac ydd vvy vinef .
46:16:011:0	Am hyny na ddiystyret nep ef : anyd hebryngwch ef yn‐tangneddyfus , val y delo at y vi : can vy‐bot yn edrych am danaw y gyd a’r brodur .
46:16:012:0	Ac am ein brawd Apollos , mi a ddeisyfeis arno yn vawr , ddyvot atoch y gyd a’r brodur : eithyr nad oedd yn y vryd ef yn ollawl ddyvot yr awrhon : anyd e ddaw pan gaffo amser cyfaddas .
46:16:013:0	Gwiliwch : sefwch‐yn‐’lud yn y ffydd : ymwrolwch , ac ymnerthwch .
46:16:014:0	Gwneler eich oll petheu yn‐cariat :
46:16:015:0	Weithiā , vrodur , atolygaf ywch ( chvvi adwaenoch duylu Stephanas , y vod yn vlaenffrwyth Achaia , a’ darvot yddyn ymroi y weini ir Sainctæ )
46:16:016:0	vot o hanoch yn vvydd ir cyfryw , ac y bawp ’sy yn cydweithio a ni ac yn llavurio .
46:16:017:0	Llawē wyf am ðyvodiat Stephanas , a’ Fortunatus , ac Achaicus : can yddyn hwy gyflawny y deffic o hano‐chwi .
46:16:018:0	Can ys diddanesont vy yspryt i a’r vn yddoch : cydnabyddwch gan hyny y cyfryw ’rei .
46:16:019:0	Yr Ecclesidd yr Asia ach anerchant . Aquila ac Phriscilla y gyd a’r Eccles ys ydd yn y tuy hwy , a’ch anerchant yn vawr yn yr Arglwydd .
46:16:020:0	Yr oll vrodur ach anerchant . Anerchwch bavvp y gylydd a chusan sainctaiddol .
46:16:021:0	Vy anerchiat i Paul a’r l’aw veuvi .
46:16:022:0	A’d oes neb nyd yw yn caru yr Arglwyð Iesu Christ , bid ef anathema maranatha .
46:16:023:0	Rat ein Arglwydd Iesu Christ gyd a chwi .
46:16:024:0	Bo vy‐cariat i gyd a chwi oll yn‐Christ Iesu , Amen . Yr epistol cyntaf at y Corinthieit , yscrivenedic o Philippi , ac anvonedic trwy lavv Stephanas , a’ Fortunatus , ac Achaicus , a’ Thimotheus .
