46:4:001:1	Pen . iiij .
46:4:002:1	Gwedy darvot iddo ddosparthu swydd Apostol cywir , Can na chydnabyddent ef yn gyfryw vn , Ymae ef yn ymarðel a barn Duw . Can guro y lawr y gogoniant hwy yr hwn ei rhwystrei i voliānu y peth , a ancāmolēt ynto ef . Y mae ef yn dangos pa beth y mae yn y erchi ar y rhan hwy , a’ pha beth a ddylyent y edrych am dano ar y law ef gwedy ’del atwynt .
46:4:001:0	CYmret dyn nyni mal hyn , megis gweinidogion Christ , a’ llywodraethwyr dirgelion Duw .
46:4:002:0	Acam ben hyn , y gofynynnir gan y llywodraethwyr , gael pop vn yn ffyddlon .
46:4:003:0	Am dana vi , lleiaf dim cenyf , bot im barnu genwch , neu gan varn dyn : ac nyd wyf chwaith im barnu vy hunan .
46:4:004:0	Can na wn i arna vy hun ddim evoc , anyd ny’m cyfiawnheir er hyny : eithyr yr hwn am barn i , yw yr Arglwydd .
46:4:005:0	Er mwyn hyny na vernwch ddim cyn yr amser , y’n y ddel yr Arglwydd , rhwn a ’oleuha guddiedigion betheu ’r tywyllwch , ac a eglurha veddylyae’r galon , ac yno y bydd moliant y bawp gan Dduw .
46:4:006:0	Sef y petheu hyn , vrodur , ar gyffelypiaeth a gyssoneis ata vyhun ac Apollos , er eich mwyn chwi , val y dyscech wrthym ni , na bo y neb ryvygu yn uwch nac hyn a yscrifenwyt val nad ymchwyðo vn yn erbyn y l’all er mwyn nebū .
46:4:007:0	Canys pwy ath ’ohana di ? a’ pha beth ’sygenyt a’r ny dderbynieist ? ac a’s derbyniest , paam ydd ymhoffy di , megis na’s derbyniesyt ?
46:4:008:0	Yn awr yð yw‐chwi yn llawn : yn awr ich cyvoethogwyt : yð ych yn tëyrnasu ebom ni , a’ Duw na baech yn teyrnasu val y teyrnasem nineu y gyd a chwi .
46:4:009:0	Can ys ydd wyf yn tybiet vod y Dduw ein danvon ni yr Apostolion dywethaf , val ’r ei wedy ei darparu y angeu : can ys in gwnaethpwyt ni yn ys‐ddrych ir byt , ac i’r Angelion , ac i ddynion .
46:4:010:0	Ydd ym ni yn ffolieit er mwyn Christ , a’ chwithe yn ddaethion in‐Christ : nyni yn weinion , a’ chwithe yn gryfion : chvvychwi yn anrydeddus , a’ nineu yn ddianrydedd .
46:4:011:0	Yd yr awr hon ydd ym ni yn newynu , ac yn sychedu , ac yn noethion , ac in bonclustir , ac eb wastadva ,
46:4:012:0	ac yn lavurio gan weithio an dwylo ein hunain : nyni a gawn senneu a ’bēdithio ydd ym : ydd ys in hymlid , ac ydd ym yn dyoddef .
46:4:013:0	Ydd ys in cablu , ac ydd ym yn gweddio : in gwnaethpwyt ni val carthion y byt , yn greifion pop peth , yd hyn .
46:4:014:0	Nyd wyf yn yscrivennu y pethe hyn er eich cywilyddio , anyd val vy‐plant caredigion ydd wyf ich rybuðio .
46:4:015:0	Can ys cyd bei y chwi ðec mil o athrawon in‐Christ , er hyny nyd oes ychvvi nemor o dadeu : can ys in‐Christ Iesu myvi a’ch enillais trwy’r Euangel .
46:4:016:0	Am hyn yr atolygaf ywch’ , vot yn ddilynwyr i mi .
46:4:017:0	O bleit hynn yd anvonais Timothëus atoch yr hwn yw vy‐caredic vap , a’ ffyddlon yn yr Arglwydd , yr vn a goffa i chwi vy ffyrdd i yn‐Christ megis yddwyf ympop lle yn ei dyscu ym‐pop‐Eccles .
46:4:018:0	Y mae ’r ei wedy ymchwyddo vegis pe na ddelwn atoch .
46:4:019:0	Eithyr mi ddawaf atoch ar vyrder , a’s ewyllysa yr Arglwydd , ac a wybyddaf , nyd ymadrodd yr ei ’sy vvedy ’r ymchwyddo , anyd y meddiant Ysprydol .
46:4:020:0	Can ys teyrnas Duw nyd yvv yn‐gair , anyd ym‐meddiant .
46:4:021:0	Beth a ewyllysiwch ? a ddawaf vi atoch’ a gwialen , ai a chariat , ac yn Yspryt boneddigeiddrwydd .
