46:3:001:1	Pen . iij .
46:3:002:1	Paul yn ceryddu y gohanedigaethen a’r
46:3:003:1	*
46:3:004:1	awdurieit
46:3:005:1	cychwynwyr . Ny ddyly neb gredu may a’r law y gweinidogion y mae ei iechydwrieth , amyn y ar law Duw . Bot yddynt ymogelyt rac cam ddysc . Bot Christ yn sailvaenei Eccles . Urddas a’ swydd yn gystal y gweinidogion a’r oll ffyddlonieit .
46:3:001:0	AC ny allwn i ymadrodd wrthych , vroder , megis wrth rei ysprytawl , anyd wrth rei cnawdol , ’sef megis wrth blant‐bychain yn‐Christ .
46:3:002:0	Llaeth a rois yn ddiot ywch , ac nyd bwyt : can nad allech eto y oddef , ac ny’s gellwch etwa chwaith ,
46:3:003:0	Can ys etwa cnawdol ytych : o bleit bot yn ych plith ymgenvigenu , a’ chynnen , ac ymrysoneu , anyd ydych chwi yn gnawdol ac yn rhodio val dynion ?
46:3:004:0	Can ys pan ddywait vn , Ys mi vn i Paul , ac arall . Ys mi i Apollos , anyd ych yn gnawdol ?
46:3:005:0	Pwy gan hyny yw Paul ? a’ phwy yw Apollos , anyd y gweinigogiō drwy’r ei y credesoch , a’ megis y rroes yr arglwyð y bop vn ?
46:3:006:0	Mivi a blannais , Apollos a ddyfrhaoð , eithr Duw a roðes y cynyð .
46:3:007:0	Ac vel’y , na yr hwn’ sy yn planu , nyd yw ddim , na’r hwn ’sy yn dyfrhau , anyd Duw yr hwn ’sy yn rhoi ’r cynnyð .
46:3:008:0	A’ hwn a blann , a’ hwn a ddyfrha , yr vn ynt , a’ phop vn a dderbyn ei gyfloc , erwydd ei lavur .
46:3:009:0	Can ys nyni cydweithwyr Duw ydym : chvvitheu yw llafurwaith Duw , ac adailadeth Duw .
46:3:010:0	Erwydd y rrat Duw y roespwyt y‐my , megis penadailwr celfydd , y gosodeis y sailiad , ac arall ’sy yn adailiad arnaw : anyd edrychet pop vn , pa vodd yr adaila arnaw .
46:3:011:0	O bleit sailiat arall ny ddychon neb y ’osot dyeithr yr hwn a ’osodet eisioes , yr hwn yw Iesu y Christ .
46:3:012:0	Ac a’s adeilat neb ar y sailiat hwn , aur , ariāt , main gwerthfawr , prenneu , gwair , ne sofl ,
46:3:013:0	gwaith pop vn a amlygir : can ys y dydd ei dengys , can ys gan y tan y datguddir : a’r tan a braw waith pop dvn pa ryw wedd vo .
46:3:014:0	A’s bydd gwaith vn a’r a adailadodd ef arucha , yn aros , ef a gaiff gyfloc .
46:3:015:0	A’s llysc gwaith vn , ef a goll , eithr cadwedic vydd ef e : and er hyny megis gan y tan .
46:3:016:0	Any wyddoch may Templ Dduw ydych , a’ bot Yspryt Duw yn trigo ynoch ?
46:3:017:0	A’s dinistra neb Tēpl Duw , hwnw a ðinistr Duw : can ys Templ Duw sanctaidd yw , yr hwn yw‐chwi .
46:3:018:0	Na thwyllet neb y hunan . A’s nep yn eich plith ’sy yn tybiet y vot yn ddoeth yn y byt hwn , byddet ffol , val y bo yn ddoeth .
46:3:019:0	Can ys doethinep y byt hwn , ffolinep yw gyd a Duw : o bleit may yn ysgrifenedic , Ef a ðalha y doethion yn eu callter ehunain
46:3:020:0	A’ thrachefn , Yr Arglwydd a wyr vot meddyliae ’r doethion yn weigion .
46:3:021:0	Ac am hyny nac ymhoffet neb yn‐dynion : can ys pop dim ’sydd y chwi .
46:3:022:0	Pa vn bynac ai Paul , ai Apollos , ai Cephas ai’r byt , ai bywyt ai angeu , ai petheu cydrychiol , ai petheu y ðyvot , ’sef yddy chwi ynt oll ,
46:3:023:0	a’ chwi ’sydd yddo Christ , a’ Christ yddo Duw .
