46:15:001:1	Pen . xv .
46:15:002:1	Mae ef yn provi bot cyvodedigaeth y meirw . Ac yn gyntaf bot Christ gwedy cyvodi . Yno y bydd y ninbeu gyfody . A’r modd pa wedd .
46:15:001:0	AC vvele , vroder , llyma vi yn menegi ywch yr Euāgel , rhon a euangelais y chwy , yr hon hefyt a dderbyniesoch , ac yn yr hon ydd ych yn sefyll ,
46:15:002:0	a’ thrwy ’r hon ich iachëir , a’s cedwch yn eich cof , pa vodd yr euangelais y hi ychwy , a ddieithr darvot ywch gredu yn over .
46:15:003:0	Can ys yn gyntaf dim , y rhoðeis ychwi yr hyn a dderbyniais , paweð y bu varw Christ tros ein pechateu , erwydd yr Scrythurae ,
46:15:004:0	a’y gladdu ef , ac iddo gyvody y trydydd dydd , erwydd yr Scrythurae ,
46:15:005:0	a’ ei weled ef gan Cephas , yno gan y dauddec .
46:15:006:0	Gwedy hyny , y gwelwyt ef gan vwy na phempcāt broder ar vnwaith : o’r sawl y mae ’r ei yn aros hyd hyn , a’r ei hefyt gwedy hunaw .
46:15:007:0	Gwedy hyny , e welspwyt gan Iaco : yno y gan yr oll Apostolion .
46:15:008:0	Ac yn ddywethaf oll e welspwyt geny vine hefyt vegis gan vn antempic .
46:15:009:0	Can ys mi yw ’r lleiaf o’r Apostolion , rhwn nid wyf deilwng , val im galwer yn Apostol , can erlid o hanof Eccles Duw .
46:15:010:0	Eithr gan ’rat Duw ydd wyf , hyn ydwyf : a’ ei rat rhwn ’sy ynof , ny bu over : eithyr mi a lavuriais yn helaethach nac wyntwy oll : nyd mi hagen , amyn y rhat Duw a’r y’sy gyd a mi .
46:15:011:0	Can hynny pa vn bynac ai myvi , a’i wyntwy , velly y precethwn , ac velly y credesoch .
46:15:012:0	Ac a’s precethir ddarvot cyvodi Christ o veirw , pa vodd y dywait ’r ei yn eich plith chwi , nad oes cyvodiadigeth y meirw ?
46:15:013:0	O bleit anyd oes cyfodiadigeth y meirw , velly ny chyfodwyt Christ .
46:15:014:0	Ac any chyvodwyt Christ , mae yntef ein precaeth ni yn over , ac ys over hefyt yw ych ffydd chwi .
46:15:015:0	Ac in ceffir ni hefyt yn testion gauawc i Dduo : can ys testiasam o Dduw ddarvot yðaw ef gyvody Christ y vynydd : ’rhwn ny’s cyfodawdd ef y vyny , any chyfodir y meirw .
46:15:016:0	Cā ys any chyfodir y meirw , ny chyfodwyt Christ chwaith .
46:15:017:0	Ac any chyfodwyt Christ , ys over yw ych ffyð chvvi : yð ych eto yn eich pechotae .
46:15:018:0	Ac velly yr ei ’sy wedy hunaw yn‐Christ , a gyfergollwyt .
