46:7:001:1	Pen . vij .
46:7:002:1	Yr Apostol yn atep i ryw
46:7:003:1	*
46:7:004:1	gwestione
46:7:005:1	’orchestion , a ðeisyfei y Corinthiait gael eu gwybot , megis am vyw o vn eb priodi , Am ddlyed priodas . Am ancydvyddiaeth ac amrafaelion mewn priodas . Am priodas rhwng ffyddlonion ac anffyddlonion . Am ddianwaedu yr enwaededic . Am gaethiwet . Am vorwyntdot . Ac ail priodas .
46:7:001:0	BEllach am y petheu a scrivenesoch ataf , Da oedd i ddyn na chyfwrddei a’ gwreic .
46:7:002:0	Anyd er hyny , y ymgadvv rac godineb , bid ei wraic i bop gwr , a bid ei gwr priod i bop gwreic .
46:7:003:0	Roðet y gwr ir wreic gariat dylyedawl , a’r vn moð hefyt y wreic ir gwr .
46:7:004:0	Nyd oes ir wraic veðiāt ar y chorph y hunan , anyd ir gwr : a’r vn ffynyt hefyt nyd oes ir gwr veddiant ar y gorph y hunan , anyd ir wreic .
46:7:005:0	Na siomwch ddim y gylyð , oddyeithr o gydsynniat dros amser , val y galloch ymroi i vmprydio a’ gweddio , a’ thrachefn dyvot ynghyt rac y Satan eich temto o bleit eich ancymmesurwydd .
46:7:006:0	A’ hyn a ddywedaf o ganiataad , ac nyd wrth ’orchymyn .
46:7:007:0	Can ys mynnwn vot pawp megis ac ydd vvyf vi vyhun : eithr i bop vn y mae ei briod ðawn gan Dduw , i vn vellhyn , i arall vellhyn accvv .
46:7:008:0	Am hyny y dywedaf wrth yr ei’sy eb priodi , a’r gvvragedd gweddwon , mae da yw yddynt pe’s arosent megis ac ydd vvy vi .
46:7:009:0	Eithyr an ’ys ymgynnaliant , priodent : can ys gwell yw priodi , nac ymlosci .
46:7:010:0	Ac ir ei priot y gorchmynaf , nyd mi , anyd yr Arglwyð , Nac ymadawet y wreic ywrth ey gwr :
46:7:011:0	ac a’s ymedy , aroset eb priodi , neu , gymmoder hi ai gwr , ac na roed gwr ei wreic ymeith .
46:7:012:0	Ac wrth y relyw mi ’sy yn dywedyt , ac nyd yr Arglwydd , A’s bydd vn brawd a gwreic iddo , eb iddi gredu , a’ hithe yn voddlon y drigo gyd ac ef , na wrthðodet ef y hi .
46:7:013:0	A’r wreic y bo iddi wr eb gredu , ac ef yn voddlon y drigo y gyd a hi , na wrthddodet hi efo .
46:7:014:0	Can ys y gwr di‐gred a sainteiddir gan y wreic , a’r wreic ddigred a saincteiddir gan y gwr , a’s amgen , e vyddei eich plant chvvi yn aflan : ac yr owrhō y maent vvy yn sainctaidd .
