46:6:001:1	Pen . vj .
46:6:002:1	Ef yn y beio arnyn am ymgyfreithio geir bron y Cenetloeð anffyddlon . Bot yn iawn i Christnogion yn gynt ddyoddef . Y mae ef yn ceryddu y cam arver o’r ryðdit Christianol . Ac yn dangos y dlem ni wasanaethu Duw yn burol ys o gorph ac enait .
46:6:001:0	A Vaiddia yr vn o hanoch chvvi ’sy iðo a hawl a’r y llall , gymryd barn y dan yr ei ancyfion , ac nyd yn gynt y dan y Saintæ ?
46:6:002:0	Any wyddoch , mae’r sainctæ a varnan y byt ? A’s y byt gan hyny a vernir genw‐chwi , a ydyw‐chwi anteilwng y varnu am bethau o’r lleiaf ?
46:6:003:0	Any wyddoch y barnwn ni yr Angelion ? chwaythach barnu petheu ’sy ’n perthynu tu ac at ein buchedd ni ?
46:6:004:0	A’ chan hyny a’d oes genwch varneu am betheu ’sy yn perthynu ir vuchedd hon , cadeiriwch yr ei diystyraf yn yr Eccles .
46:6:005:0	Er cywilydd yw’ch y dywedaf . Velly anyd oes neb doeth yn eich plith chvvi ? nac oes vn , a vedr varnu rhwng y broder ?
46:6:006:0	Anyd bot brawd yn ymgyfreithio a brawd , a’ hynny y dan anffyddlonieit .
46:6:007:0	Yr owhon gan hyny y mae yn ollawl anortho yn eich plith , can ychwy ymgyfreithio ai gylydd : paam yn gynt na ddyoddefwch gam ? paam yn gynt na vyddwch dan gollet ?
46:6:008:0	Eithyr ydd yw‐chwi yn gwneuthur cam , ac yn peri colled , a’ hyny y ’ch brodur .
46:6:009:0	A ny wyddoch na etivedda ’r ei ancyfiawn deyrnas Duw ? Na thwyller chwi : ac nyd godinebwyr , na delw‐addolwyr na ’r ei a doro‐priodas , na ’r ei drythyll , na gwryw‐gydwyr ,
46:6:010:0	na llatron , na chupyddion , na meddwon , na senwyr , na chribdeilwyr , a etiveddant deyrnas Duw .
46:6:011:0	A’ chyfryw oedd ’r ei o hanoch vvi : eithyr darfot ych golchi , eithyr darvot ych sancteiddio , eithr darvot ych cyfiawnhau yn Enw ein Arglwydd Iesu , a’ chan Yspryt ein Duw ni .
46:6:012:0	Y mae pop peth yn gyfreithlon y mi : and nad pop peth yn gwneuthur lles . Y mae pop peth yn rhydd ym , eithr ny bydda vi y dan awdurtot dim .
46:6:013:0	Bwyd a ordeinivvyt ir bola , a’r bola ir bwydyð : a’ Duw a ddinistr bop vn or ðau . Weithian y corph nyd yw y ’odineb , anyd ir Arglwydd , a’r Arglwyð ir corph .
46:6:014:0	A’ Duw hefyt gyfodawdd yr Arglwydd i vyny ac a’n cyfyd nineu gan ei veddiant .
46:6:015:0	A ny wyddoch vot eich cyrph yn aelodae i Christ ? velly a gymeraf vinef aelodae Christ , a’u gwneuthu’r yn aelodae putain ? Na ato Duw .
46:6:016:0	Any wyðoch , am yr hwn a ymlyn a phutain , y vot yn vn corph ? can ys y ddau , eb yr ef , vyddant vn cnawt .
46:6:017:0	Anyd yr hwn a gyssylltir ar Arglwydd , vn yspryt yw .
46:6:018:0	Ciliwch rac godineb : pop pechat a wna dyn , o ddyallan y corph y mae : anyd yr hwn a wna ’odinep , a becha yn erbyn y gorph y hunan .
46:6:019:0	Any wyddoch , vot eich cyrph yn Templ ir Yspryt glan , yr hvvn ’sy ynoch , yr vn ’sydd y‐chwi gan Duw ? ac nyd ydywch yddoch ych hunain .
46:6:020:0	Can ys prynwyt chwi er pridgwerth : can hyny gogoneðwch Dduw yn eich cyrph , ac yn eich yspryt : can ys yddo Duw ydynt .
