46:9:001:1	Pen . ix .
46:9:002:1	Mae yn ei hannoc wrth y esempl ef y arver oi ryðdit y adeilad eraill . Bod yddyn redec yn yr vn rediat ac y dechreusont .
46:9:001:0	ANyd wyf yn Apostol ? any dwyf vvr ryð ? any wlais i Iesu Christ ein Arglwyð ? anyd vy‐gwaith i ydyw‐chwi yn yr Arglwyð ?
46:9:002:0	Any dwyf yn Apostol i erail’ , eto diau yvv vy‐bot y chwi : can ys yð yw‐chwi yn insel o’m Apostolieth yn yr Arglwyð .
46:9:003:0	Vy atep ir ei am holant i , yw hyn ,
46:9:004:0	Anyd oes i ni veddiant y vwyta ac y yfet ?
46:9:005:0	Neu anyd oes i ni veðiant i arwein y amgylch gwreic a vei chwaer , megis ac y mae’r Apostolion eraill , a’ megis broder yr Arglwydd , a’ Chephas ?
46:9:006:0	Ai myvi yn vnic a’ Barnabas , anyd oes i ni veddiant y weithiaw ?
46:9:007:0	Pwy a i ryfely vn amser ar ei ’osymddaith i hun ? Pwy a blann winllan , ac eb vwyta oi ffrwyth ? neu pwy a borth dda , ac ny vwyty o laeth y da ?
46:9:008:0	A ddywedaf i hyn erwydd dyn ? Any ddywait y Ddeddyf y petheu hyn hefyt ?
46:9:009:0	Can ys scrivenedic yw yn‐Deddyf Moysen , Na phenrhwyma eneu yr ych a vo yn dyludo’r yd : a ydyw Duw yn gofalu dros yr ychen ?
46:9:010:0	Ai ynte ðywet ef hyn yn ollawl er ein mwyn ni ? Er ein mwyn ni yn ðioer yð scrivenwyt hyn , bot y hwn a arðo , aredic dan ’obaith : ac y hwn a ddyrno dan ’obeith , vod yn gyfranoc oi ’obaith .
46:9:011:0	A’s heuesam ni ychwi betheu sprytol , ai mawr yvv a’s ni a vedvvn eich petheu dayarol chwi ?
46:9:012:0	A’d oes eraill yn eich plith yn cahel ran o’r meðiant hvvn , paam yn gynt nad ym ni ? er hyny nyd arveresam ni o’r meddiant hwn : anyd goðef ydd ym pop dim , rrac y ni rwystro Euangel Christ .
46:9:013:0	Any wyddoch vvi am yr ei ’sy yn gweithio’ ynghylch petheu sainctaidd , y bot wy yn bwyta o betheu ’r Dempl ? a’r ei ’sy yn gwasanaethu’r allor , y bot wy yn gyfranoc gyd a’r allor ?
46:9:014:0	Velly hefyt yr ordeiniawdd yr Arglwydd , bot ir ei a precethant yr Euangel , vyw wrth yr Euangel .
46:9:015:0	Er hyny mi nyd ymarvereis o ddim o’r petheu hyn : ac nyd scrivenais hynn yma , val y gwnelit velly i mi : can ys gwell vyðei i mi varw , na gwacau o neb vy‐gorvoleð .
46:9:016:0	O bleit a’s Euangelaf , nyd oes ym ’orvoledd : can ys angen ’sy im gyrru , a’ gwae vyvi , anyd Euangelaf .
46:9:017:0	Can ys a’s gwnaf hyn yn ewyllysgar , y mae mi daliat : and a’s yn anwyllysgar y gvvnaf , e roddet arnaf y gorchwyl yma eisius .
46:9:018:0	Pa daliad vydd ymy gan hyny ? sef pan Euangelwyf , bot ymy beri Euangel Christ yn rhat val na chamarverwyf vy awdurdot yn yr Euangel .
46:9:019:0	Can ys cyd bwyf yn yn rhydd ywrth bawp , eto mi am gwneuthym vyhun yn was i bawp , val yr enillwn vwy o hanynt .
46:9:020:0	Ac ir Iuddeon ir ymwneuthum val Idddew , val yr enillwm yr Iuddeon : i’r ei sydd y dan y Ddeddyf , val pe bysvvn y dan y Ddeddyf , val yr enillwn yr ei ’sy dan y Ddeddyf :
46:9:021:0	i’r ei di‐ddeddyf , val vn diddeddyf ( a’ minehu eb vot yn ddiddeddf tu ac at Dduw , anyd yn y Ddeddyf gan Christ ) val yr enillwm yr ei di‐ddeddyf .
46:9:022:0	Ir gweiniō yr ymwneuthym yn wan , val yr enillwn y gweinion : i bawp yr ymwneuthum yn bop dimval ygallwn ym‐pop modd gadw’rei .
46:9:023:0	A’ hyn wyf yn ei wneuthur er mwyn yr Euangel , val y bwyf yn gyfranoc o hanei gyd a chvvi . Yr Epistol ar y Sul Septuagesima
46:9:024:0	Any wyddoch , am yr ei a vo yn rhedec mevvn gyrfa , vot pawp yn rhedec , er hyny bot vn yn mynet a’r gamp ? velly rhedwch nes cael gavael .
46:9:025:0	A’ phop dvn a ymdrechoam‐gamp , a ymgymedrola rrac pop dim : ac wy a vvnant hynn er mwyn cael coron ðarvodedic : a’ nineu er vn andarvodetic .
46:9:026:0	Am hyny ddwyf vi yn rhedec , nyd val yn anilys : velly ddwyf yn ymdrech , nyd mal vn yn curo yr awyr .
46:9:027:0	Eithr ydd wy vi yn goarsengi vy‐corph ac yn y ddarestwng : rac mewn vn modd gwedy ym precethu i eraill , vy‐bot vy hunan yn ancymeradwy .
