46:11:001:1	Pen . xj .
46:11:002:1	Mae ef yn ceryddu y cammarverae a ymlithresynt y Eccles hwy . Megis ynghylch gweddiaw , propwyto , A ’gwasanaethu Swper yr Arglwydd , Gan eu hedvryd yw ’osodiat cyntaf .
46:11:001:0	BYddwch ddilynwyr i mi , vegis ae ydd wyvi i Christ .
46:11:002:0	Yr owrhon , vrodur , ich canmolaf , can ywch coffau vy oll betheu , a’ chadw ’r ordenhadeu , val y rhoesym y’wch .
46:11:003:0	A mi a wyllyswn ywch wybot , mae Christ yw pen pop gwr : a’r gwr yw pen y wreic : a’ Duw yw pen Christ .
46:11:004:0	Pop gwr yn gweddiaw , neu yn propwytaw ac a’ dim am ei ben , a amparcha ei ben .
46:11:005:0	Eithyr pop gwreic a weddia neu a bropwyta yn bennoeth , amparcha hi phen : can ys yr vnryw beth yw hyny a’ phe bei wedy eilliaw .
46:11:006:0	Can hyny any bydd y wreic a dim am hei phen cneifier hi hefyt : a’s gwradwyðus i wraic hi chneifio neu h’eillio , rhoed beth am hi phen .
46:11:007:0	Can ys gwr ny ddyly wisco am i ben : can y vot ef yn ddelw ac yn ’ogoniant Duw : a’r wreic yw gogoniāt y gwr .
46:11:008:0	Can nad yw ’r gwr o’r wreic , amyn y wreic o’r gwr .
46:11:009:0	Can na chreawyt y gwr er mwyn y wraic , anyd y wreic er mwyn y gwr .
46:11:010:0	Am hyny y dylei y wreic vod yddei veddiant ar y phen , o bleit yr Angelion .
46:11:011:0	Er hyny , ac nyd yw ’r gwr eb y wreic , na’r wreic eb y gwr yn yr Arglwydd .
46:11:012:0	Can ys megis y mae’r wreic o’r gwr , velly y mae’r gwr hefyt trwy’r wreic : a’ phop dim ’sy o Dduw .
46:11:013:0	Bernwch ynoch ych vnain , ai hardd yw y wreic weddiaw Duw eb ðim am i phen ?
46:11:014:0	Anyd yw yntef anian y dyscu ywch , a’s bydd briger i wr , mae mae anglod yw iðo ?
46:11:015:0	Ac a’s byð briger i wreic , clod yw yðei : can ys ei briger a roed yddei tu ac wisc pen .
46:11:016:0	A’d oes nep a vyn vot yn ymrysongar , nyd oes genym ni gyfryw gynnevot na chan ecclesi Duw . Yr Epistol ddydd Iou cyn die Pasc
46:11:017:0	Weithian yn hyn a venagaf , ny ’ch canmolaf , sef ych bot yn ymgynull , nyd er lles , anyd ir afles .
46:11:018:0	Can ys yn gynta dim , pan ymgynulloch ir Eccles , mi a glywaf vot ymrysoneu yn eich plith : ac ydd wyf yn credu y vot yn vvir o ran .
46:11:019:0	Can ys dir yw bot travvs‐opinionae yn eich plith , megis y bo yn eglur yr ei ’sy yn berffeith yn eich plith .
46:11:020:0	Am hyny pan ddeloch ynghyt ir vn lle , nyd hynn yw bwyta Swper yr Arglwyð .
46:11:021:0	Can ys pop vn wrth vwyta , a gymer y swper y hun o’r blaen , ac vn ’sy a newyn arno , ac arall ’sy veðw .
46:11:022:0	Anyd oes ychwi dai i vwyta ac y yvet ynthynt ? a dremygwch‐vvi Eccles Dew , ac a warthew‐chwi ’r ei nyd oes dim ganthwynt ? pa beth a ddywedaf wrthych ? a ganmolaf chwi yn hyn ? na chanmolaf .
46:11:023:0	Can ys derbyniais y gan yr Arglwydd yr hyn ac a roddais y chwi , nid amgen , Bot ir Arglwydd Iesu y nos‐hon y bradychwyt ef , gymeryt bara .
46:11:024:0	A’ gwedy yddo ddiolovvch , ef au tores , ac a ddyvot , Cymerwch , bwytewch : hwn yw vy‐corph , yr hwn a dorir drosoch : gwnewch hyn er coffa am danaf .
46:11:025:0	Yr vn modd hefyt y cymerth ef y phiol , gwedy yddaw swpery , gan ddywedyt , Y phiol hon yw ’r Testament newydd yn vy‐gwaet : gwnewch hyn cynniuer‐gwaith‐bynac yr yfoch , er coffa am danaf .
46:11:026:0	Can ys cynniuer gwaith bynac y bwytaoch y bara hwn , ac yr yfoch y phiol hon , y dangoswch angeu yr Arglwydd y ’n y ðelo .
46:11:027:0	Can hyny , pwybynac a vwytao ’r bara hwn , ac a yfo y phiol yn anteilwng , a vydd ’auawc am ddirmygu corph a’ gwaed yr Arglwyð .
46:11:028:0	Am hyny provet pop dyn yhun , ac velly bwytaet o’r bara hwn , ac yfet o’r phiol hon .
46:11:029:0	Can ys hwn a vwyta o ac a yfo yn anteilwng , a vwyty ac a yf y varnedigaeth y hun , can nad yw yn iawn‐varnu am gorph yr Arglwydd .
46:11:030:0	O bleit hyn y mae llawer yn weinion , ac yn gleifion yn eich plith , a’ llawer yn hunaw .
46:11:031:0	Can ys pe in barnem einhunain , ny ein bernit ni ddim .
46:11:032:0	Eithr pan in barnir , in cospir y gan yr Arglwyð , rac ein barnu‐yn‐euawc gyd a’r byt .
46:11:033:0	Can hyny , vy‐brodur , pan ddeloch ynghyt i vwyta , aroswch eu gylydd .
46:11:034:0	Ac a’s bydd newyn ar neb , bwytaet gratref , rac eich dyvot yn‐cyt i varnedigeth . Tu ac at am petheu eraill , mi au trefnaf pan ddelwyf .
