46:1:001:1	Pen . j .
46:1:002:1	Ef yn canmol mowrion
46:1:003:1	*
46:1:004:1	doniæ
46:1:005:1	radae Duw a ddangoswyt yddynt wy , Gan ei hannoc wy i gyfundap a’ gestyngeiddrwydd . Ef yn curo y lawr oll valchedd , a’ doehinep ar ny sailiwyt ar Dduw , gan ddangos pwy a ddetholes Duw i wradwyddo doethinep y byt .
46:1:001:0	PAul galwedic yvot yn Apostol IESV CHRIst trwy’wyllys Duw , a ’n brawt Sosthenes ,
46:1:002:0	at yr Eccles Duw rhō sy yn‐Corinthus , at yr ei sainctiedic yn Christ Iesu , Sainctæ wrth ’alwedigeth y gyd ac oll a’r a ymor alwant ar Enw ein Arglwið Iesu Christ ym‐pop lle , sef y Arglvvydd hwy , a’n vn ni :
46:1:003:0	Rat vo gyd a chwi , a’ thangneddyf gan Dduw ein Tat , a’ chan yr Arglwydd Iesu christ . Yr Epistol y xviij . Sul gwedy Trintat .
46:1:004:0	Diolchaf i’m Duw yn’oystat drosochwi am y Rat Duw , a roddet y chwi in Christ Iesu ,
46:1:005:0	am ddarvot ym‐pop peth eich cyfoethogi ynthaw ef , ym‐pop ryw ymadrodd a’ phop gwybodaeth :
46:1:006:0	me‐gis y cadarnhawyt testoliaeth Iesu Christ ynoch .
46:1:007:0	Yd nad ydych yn ddefficiol o vn dawn : gan edrych am ymddangosiat Iesu Christ .
46:1:008:0	Yr hwn Dduvv hefyt ach gadarnha chwi yd ydywedd , val y boch yn ddihawl yn‐dydd ein Arglwydd Iesu Christ .
46:1:009:0	Fyðlon yw Duw , trwy’r hwn ich galwyt y gymddeithas y Vap ef Iesu Christ eyn Arglwydd .
46:1:010:0	Ac atolwgaf ywch , vroder , gan Enw eun Arglwydd Iesu Christ , bot ychwi oll ddywedyt yr vn‐peth , ac na bo ymrysoniō yn eich plith : eithyr cyssyllter chwi ynghyt yn vn veðwl , ac yn vn varn .
46:1:011:0	Can ys declariwyt i mi , vy‐broder , am danoch gā yr ei ’sy o duy Cloe vot cynneniō yn eich plith .
46:1:012:0	A’ hyn a ðywedaf , vot pop vn o hanochwi yn dywedyt , Ys mi yw vn i Bawl , a’ mineu vn i Apollos , a’ mineu i Cephas , ac ys mineu i Christ .
46:1:013:0	A rannwyt Christ ? Ai Paul a groget trosoch ? nei ach batyðiwyt chvvi yn enw Paul ?
46:1:014:0	Im Dduw y diolchaf , na vetyðiais i neb o hanoch , anyd Chrispus a’ Gaius ,
46:1:015:0	rac y nep ddywedyt , ddarvoc i mi vatyddio ym henw vy hunan .
46:1:016:0	Mi vatyðiais hefyt duylwyth ty Stephanas : bellach ny wn a vetyddiais i neb arall .
46:1:017:0	Can na ddanvonawdd Christ vi y vatyddiaw , anyd y Euadgelu , nyd a doethinep ymadrodd , rac gwneuthur croc Christ yn ði‐rym .
46:1:018:0	Can ys precethu o’r groc ir ei a gyfergollir , ’sy gantynt wy yn ynvydrwydd : a’ chenym ni , yr ei a iacheir , rhinwedd Duw yddyw .
46:1:019:0	Can ys y mae yn scrivenedic , Ys dileaf ddoethinep y doethion , ac a vwriaf ymaith ddyal y dyallwyr .
46:1:020:0	P’le mae ’r doeth ? p’le mae’r Gwr‐llen ? p’le mae dadleuwr y byt hwn ? any wnaeth Duw ddoethinep y byt hwn yn ynvydrwydd ?
46:1:021:0	O bleit ir byt gan ddoethinep nad adnabu Dduw yn‐doethinep Duw , e welawdd Duw yn dda trwy ynvydrwydd precethu iachau yr ei a gredant :
46:1:022:0	pan ytyw hefyd yr Iuddaion yn gofyn arwyð , a’r Groecwyr , yn ceisio doethinep .
46:1:023:0	Eithyr nyni sy yn precethu Christ wedy ei grogi : ir Iuðaion ’sef yn drancwyddfa , ac ir Groecwyr , yn ynvydrwydd :
46:1:024:0	anyd ir ei a ’alwyt , ys ir Iuddaion , a’r Groegiwyr y precethvvn Christ , ys nerth Duw , a’ doethinep Duw .
46:1:025:0	Can ys ynvydrwyð Duw ’sy ðoethach na dynion , a’ gwendit Duw sy gadarnach no dynion .
46:1:026:0	Can ys , vroder , chvvi welwch eich galwedigeth pa vodd nad llawer o ðoethion erwyð y cnawd , nad llawer o gedyrn , nad llawer o wyr cenhedloc a alvvyt .
46:1:027:0	Eithyr Duw a ddetholawdd y petheu ynvydion y byt y wradwyðo ’r doethion , a’ Duw a ddetholawdd y petheu gweinion y byt , y wradwyddo y petheu cedyrn .
46:1:028:0	A’r petheu gwaelion y byt , a’ phetheu a dremygir , a ddetholes Duw , a’ phetheu nyd ynt , y ddilëu y petheu ynt .
46:1:029:0	Val nad ymhoffei neb cnawd yn y wydd ef .
46:1:030:0	A’ chvvy chwi sy o hanaw ef yn‐Christ Iesu , yr hwn gan Dduw a wnaethpwyt i ni , yn ddoethinep , a’ chyfiawnder , a’ sanctedigeth , a’ phrynedigeth :
46:1:031:0	Megis erwyð yr yscrivenwyt , Yr hwn a ymhoffo ymhoffet yn yr Arglwydd .
