46:12:001:1	Ch'anky'aa Shroodiinyąą Ts'an Jidii Geenjit Vit'eegwahahchy'aa Diinantł'eiinlii .
46:12:001:0	Shachaa nąįį shats'ą' ch'adanǫǫtł'oo dąį' Ch'anky'aa Shroodiinyąą jidii vit'eegwahahchy'aa eenjit diinantł'eiinlii ąįį łi'didlii t'inchy'aa nakhwaihnyąą .
46:12:002:0	Tth'aii hee gwik'injuhkhit kwaa gwizhit , gwinlęįį ch'ik'itiltsį' gwandaii kwaa k'injuhkhit haa tee khadhoojil goodlit t'oonchy'aa .
46:12:003:0	Jii gaakhwandaii gwizhrįh , juu Vit'eegwijyąhchy'aa Vanky'aa Shroodiinyąą nizhit haa inkhaa ji' duuyeh , “ Jesus vaagoozųų ! ” diinyąą , ts'ą' Ch'anky'aa Shroodiinyąą ni'įį kwaa ji' duuyeh “ Jesus t'ee K'eegwaadhat nilii t'inchy'aa ! ” nyąą t'oonchy'aa .
46:12:004:0	Gwinlęįį nihłehjuk gwitr'it t'agwarah'in gwirii'įį , gaa Ch'anky'aa Shroodiinyąą ąįį datthak diits'an yiłtsąįį t'inchy'aa .
46:12:005:0	Gwik'injiighit nąįį chan nihłehjuk K'eegwaadhat eenjit tr'agwah'in , gaa K'eegwaadhat ch'ihłak zhrįh eenjit tr'agwarah'in .
46:12:006:0	Gwinlęįį nihłehjuk gwitr'it t'agwarah'in geenjit t'aih gwanlii gaa Vit'eegwijyąhchy'aa ąįį dinjii tee gwagwaanchy'aa ts'ą' jidii gwitr'it t'agwagwah'in geenjit t'aih goots'an iłtsąįį .
46:12:007:0	Ch'anky'aa Shroodiinyąą ąįį diitee gwagwaanchy'aa ts'ą' jidii vaa gwitr'it t'agwarahah'yaa diinantł'eiinlii dąį' vaa tr'igiinkhii zheh gwizhit datthak gwits'ireheenjyaa eenjit t'iiyah'in .
46:12:008:0	Jii Ch'anky'aa Shroodiinyąą ąįį dinjii ch'ihłak gwizhįh haa gwahaandak yats'an iłtsąįį , gwizhit ch'izhii dinjii chan jidii gaandaii Vit'eegwijyąhchy'aa yats'ą' gwigweełkįį geegwahaandak antł'eegwiin'ąįį .
46:12:009:0	Ch'anky'aa Shroodiinyąą chan jidii Vit'eegwijyąhchy'aa gwintsii t'ihee'yaa ąįį gaaheendaii eenjit dinjii ch'ihłak gwik'injigwiighit nitsii antł'eegwiin'ąįį , ch'izhii dinjii chan iłts'ik nąįį shrineeheelik geenjit t'aih yats'an iłtsąįį .
46:12:010:0	Ch'anky'aa Shroodiinyąą chan dinjii ch'ihłak geegwaroolii kwaa t'ihee'yaa geenjit t'aih yantł'eegwiin'ąįį , dinjii ch'ihłak chan Vit'eegwijyąhchy'aa viginjik eegiheekhyaa geenjit yantł'eegwiin'ąįį , ts'ą' dinjii ch'ihłak chan Ch'anky'aa Shroodiinyąą nats'ąą ch'anky'aa ts'an t'oonchy'aa akwat Ch'anky'aa Shroodiinyąą ts'an t'oonchy'aa kwaa gaaheendaii geenjit yantł'eegwiin'ąįį . Dinjii ch'ihłak chan Ch'anky'aa Shroodiinyąą gwikyaa haa ginkhii antł'eegwiin'ąįį . Gwizhit dinjii ch'ihłak ąįį gwikyaa zhit deenyąą t'inyąą geegwahaandak geenjit antł'eegwiin'ąįį .
